y_test_pred,y_test_proba,y_test,A_test
1.0,0.6794348518093688,0,1
0.0,0.0013799576470827604,0,1
0.0,0.004849778015975385,0,1
0.0,0.6794348518093688,1,1
1.0,0.9967470413749221,1,1
0.0,0.040768543182483734,0,1
1.0,0.7188201848815824,1,0
1.0,0.9801863821137713,1,1
0.0,0.0010394728014808416,0,1
0.0,0.0002912681952161838,0,0
0.0,0.00658487566838038,0,1
0.0,1.2896172091483887e-05,0,0
1.0,0.9843463234971056,1,1
0.0,0.4476090914209946,0,1
1.0,0.9287472573785912,1,1
0.0,0.0008228210344254084,0,0
0.0,1.2015882992656175e-06,0,1
0.0,0.0316555158972425,1,0
0.0,0.0006281720203630047,0,1
0.0,0.998975067349508,1,1
1.0,0.6794348518093688,0,1
0.0,0.0004942322384161614,0,1
1.0,1.8231091826669494e-05,0,0
0.0,0.004814826532718793,0,1
0.0,0.008060791066202928,0,1
0.0,2.296524049613421e-06,0,0
0.0,0.0001775693400260835,0,0
1.0,0.8618414426704649,0,1
0.0,0.47404415834153857,1,1
0.0,0.9612442394966634,1,1
1.0,0.5414552876169171,0,1
0.0,0.0006054517847536951,0,0
0.0,0.013870972225725264,0,0
0.0,5.877113638606869e-06,0,0
1.0,0.7046793023833987,0,1
1.0,0.9922994059217012,0,1
0.0,0.6794348518093688,0,1
0.0,0.035089394030619524,1,1
0.0,0.04046735146552133,0,1
0.0,0.0002700246745794169,0,0
1.0,0.9994544939538904,1,1
0.0,0.0006625733990938657,0,1
1.0,0.8093432085084991,0,1
1.0,0.9146278101492528,1,0
1.0,0.5057741025248262,0,1
0.0,0.04821619192421385,0,0
0.0,0.00048087894746233836,0,0
0.0,0.00014094074002322934,0,1
1.0,0.9959421323675263,1,1
0.0,0.1651286229838724,1,0
1.0,0.7814594412988084,0,1
0.0,0.6100566386469373,0,1
0.0,7.100157011548276e-05,0,0
1.0,0.8950269770340055,0,1
0.0,6.2397123131327265e-06,0,1
0.0,0.004242246919314843,0,0
0.0,0.00046375343959352425,0,1
0.0,0.0025222122147052235,0,0
1.0,0.8398923751432794,1,1
1.0,0.8635819715268314,1,0
0.0,0.00027479715382990635,0,0
1.0,0.0001698049632475521,0,0
0.0,0.004849778015975385,0,0
0.0,0.9529908660104698,1,1
0.0,6.448403057184292e-05,0,1
1.0,0.8950269770340055,0,1
0.0,0.8950269770340055,0,1
1.0,0.0002751443992861478,0,0
1.0,0.0018438895289494236,0,0
0.0,0.9862463072663389,1,1
1.0,0.0003530804519396847,0,0
0.0,0.00011702195840889527,0,1
1.0,6.0969828009534396e-05,0,0
1.0,0.9671527914882138,1,1
0.0,0.9287472573785912,0,1
0.0,8.129035405497451e-05,0,0
1.0,0.991469784182114,0,1
0.0,0.15113463895966786,1,1
1.0,0.9736262223362623,1,1
0.0,0.010334020053875343,0,1
0.0,9.291567098400801e-05,0,0
1.0,0.9498282786021206,0,1
0.0,0.2659404088380488,0,1
0.0,0.1898387789137128,0,1
0.0,0.758512921647752,0,1
1.0,0.7530387039077453,0,1
0.0,0.026293380402613926,1,0
0.0,0.0004838156154750913,0,1
0.0,0.0007143837896012897,0,1
0.0,0.000707148102670433,0,1
0.0,0.0007564516863522742,1,1
0.0,0.4074206541476599,0,1
1.0,0.9406644021564008,1,1
1.0,0.8567185293380934,0,1
0.0,0.25882455504433427,0,1
0.0,0.0002450290997299144,0,1
0.0,0.012304451388249572,0,1
0.0,0.0006137245751959381,0,0
0.0,0.002113585584642788,0,1
0.0,0.0012541456786936893,0,1
0.0,0.0006884665378249966,0,1
1.0,0.6794348518093688,0,1
0.0,0.998648410679037,1,1
0.0,0.004849778015975385,0,0
0.0,0.006390865439252896,0,1
0.0,4.644522605428141e-05,0,1
1.0,0.5923145154647816,1,1
0.0,0.7984263529273843,0,1
0.0,0.00023755352158164606,0,0
0.0,0.0012255557360324367,0,1
0.0,0.0004905602239574537,0,1
0.0,0.0063035103903148725,0,1
0.0,0.02892344090675689,0,0
1.0,0.9533050521921981,1,0
1.0,0.9910888424364666,1,1
0.0,0.47404415834153857,1,1
1.0,0.6002384094439125,0,0
0.0,2.1513293189767317e-05,0,1
0.0,0.0020240347092475046,0,1
0.0,0.9970256766206238,1,1
1.0,0.8989371895251932,0,0
0.0,0.3905681678834686,0,1
0.0,0.0025222122147052235,0,1
0.0,0.00029946653363636385,0,1
1.0,0.894071017234154,0,1
0.0,0.002058554858513017,0,1
0.0,0.00031546256337258184,0,1
1.0,2.7203669384920818e-05,0,0
0.0,0.9991063323838208,1,1
0.0,0.012304451388249572,0,1
0.0,0.8771797843417914,1,1
1.0,0.7417345039486088,0,0
0.0,0.0004838156154750913,0,0
1.0,1.499767546353206e-06,0,0
0.0,0.9828685423375385,0,1
0.0,7.923906055793394e-05,0,1
1.0,0.6044314897691478,1,0
0.0,0.0001382841281744212,0,0
1.0,0.5057741025248262,1,1
1.0,0.7417345039486088,0,0
1.0,0.9989921717597918,1,1
1.0,0.00884020683226475,0,0
0.0,0.0003413569584808691,0,0
0.0,2.230835513175305e-05,0,0
0.0,0.9529908660104698,1,1
0.0,0.0012618035489984623,0,0
0.0,0.0002751443992861478,0,1
0.0,0.012304451388249572,0,1
0.0,0.0034206536800020036,0,1
0.0,0.8233684493181076,0,1
0.0,0.08852173618154645,0,1
0.0,0.001636005755443067,0,1
1.0,0.8701890786675639,1,1
0.0,9.78658757088541e-05,0,1
1.0,0.5409982682652883,0,1
1.0,0.9970256766206238,1,1
1.0,3.990674521194721e-06,0,0
0.0,0.00018464134657815543,0,0
1.0,0.9252819492419899,1,1
1.0,0.9983284886905098,1,1
1.0,0.0005667329562623602,0,0
0.0,0.0003795139577907274,0,1
0.0,9.219772008191806e-05,0,1
0.0,0.002058554858513017,0,1
0.0,0.9231042787926986,1,1
0.0,0.708727193010322,0,1
0.0,0.9621820768888546,0,1
1.0,0.6794348518093688,0,1
1.0,0.620087872922371,0,1
0.0,0.004849778015975385,0,1
1.0,0.9287472573785912,0,1
1.0,0.9529908660104698,1,1
1.0,0.9739712745256393,1,1
1.0,0.934919351434203,0,1
1.0,0.9338671652926025,0,1
0.0,0.17250518126411724,0,1
1.0,0.6794348518093688,0,1
