y_test_pred,y_test_proba,y_test,A_test
0.0,0.3651387961109366,0,1
0.0,0.01519201093253662,0,1
0.0,0.04046346881275546,0,1
0.0,0.3655058487092925,1,1
1.0,0.6081601829165468,1,1
0.0,0.0991485190231359,0,1
1.0,0.5044489127401447,1,0
1.0,0.5642701724362589,1,1
0.0,0.019741156763028178,0,1
0.0,0.003003292572380975,0,0
0.0,0.12081036773586717,0,1
0.0,0.0006249773922780988,0,0
1.0,0.8157015848989289,1,1
0.0,0.2996991502843052,0,1
1.0,0.6691779382738343,1,1
0.0,0.00911109572881691,0,0
0.0,0.007090279586741988,0,1
0.0,0.2278651531336904,1,0
0.0,0.00666119263503064,0,1
1.0,0.8753113925821707,1,1
0.0,0.10375978304111975,0,1
0.0,0.013202474399149714,0,1
0.0,0.002824598535222832,0,0
0.0,0.05157827466165391,0,1
0.0,0.066587349676993,0,1
0.0,0.0005726116418575303,0,0
0.0,0.0021758604292726395,0,0
0.0,0.1798365558087669,0,1
0.0,0.13527623781083045,1,1
1.0,0.9999458797380404,1,1
0.0,0.24079627633705672,0,1
0.0,0.021592136764704128,0,0
0.0,0.25243767219569774,0,0
0.0,0.0015171225569700218,0,0
0.0,0.16381422919048796,0,1
1.0,0.7915749118575368,0,1
0.0,0.30492955794568066,0,1
0.0,0.22914035756556014,1,1
0.0,0.19974036411422602,0,1
0.0,0.01641855323573204,0,0
1.0,0.8726798358666469,1,1
0.0,0.020055339134176474,0,1
1.0,0.5151696943536975,0,1
1.0,0.6106869255201821,1,0
0.0,0.32071131940354164,0,1
0.0,0.32388221496358216,0,0
0.0,0.009140969550333234,0,0
0.0,0.004454926163681417,0,1
0.0,0.29176783020771496,1,1
1.0,0.5630945841245674,1,0
0.0,0.3455230603918132,0,1
0.0,0.257643311670205,0,1
0.0,0.0014032810494150135,0,0
1.0,0.541015513726497,0,1
0.0,0.0019046740707858102,0,1
0.0,0.014601607688912166,0,0
0.0,0.005492864933272284,0,1
0.0,0.03345059396463661,0,0
0.0,0.21851352950204486,1,1
0.0,0.310832096735056,1,0
0.0,0.004754333770028185,0,0
