y_test_pred,y_test_proba,y_test,A_test
0,0.3755236070039124,0,1
0,0.0049219117391900635,0,1
0,0.009645912543219457,0,1
0,0.3802221947457839,1,1
0,0.4750635636527393,1,1
0,0.14405534254458033,0,1
0,0.3750694394052825,1,0
1,0.5198896302400824,1,1
0,0.010965664227719017,0,1
0,0.0017110994802127337,0,0
0,0.06846370650235378,0,1
0,0.00012160721503519145,0,0
1,0.7200382433702783,1,1
0,0.3317520148115576,0,1
1,0.6690463424905461,1,1
0,0.001959416407104973,0,0
0,0.008417988455294456,0,1
0,0.1765687386306007,1,0
0,0.001410751897313252,0,1
1,0.8120362884325147,1,1
0,0.0610778196351031,0,1
0,0.004621933903809758,0,1
0,0.000920341858354945,0,0
0,0.03354573013976311,0,1
0,0.03094865221822934,0,1
0,9.06950530578183e-05,0,0
0,0.00017952892991519374,0,0
0,0.09779235899387116,0,1
0,0.14522668778652337,1,1
1,0.9999996786235326,1,1
0,0.24515091396442712,0,1
0,0.011359686129024719,0,0
0,0.2847679648159614,0,0
0,0.0009439165730728171,0,0
0,0.18085677562810476,0,1
1,0.7067929721306613,0,1
0,0.309006160338125,0,1
0,0.20086887706748324,1,1
0,0.10222411518129734,0,1
0,0.013631373538991257,0,0
1,0.9251012191806379,1,1
0,0.014605908084658501,0,1
0,0.44107216021187473,0,1
1,0.6838160321875592,1,0
0,0.30776642336168125,0,1
0,0.25709299795957546,0,0
0,0.0018066224839057708,0,0
0,0.0007285656969788124,0,1
0,0.2211503725194678,1,1
1,0.605750715730803,1,0
0,0.32571898887999073,0,1
0,0.18821138086266984,0,1
0,0.00021081232335767538,0,0
1,0.5245873730371341,0,1
0,0.0011950112912184811,0,1
0,0.003080297198972781,0,0
0,0.0011010840468484617,0,1
0,0.009592696195032231,0,0
0,0.23891630831816557,1,1
0,0.3786620245882173,1,0
0,0.0008875912995695148,0,0
0,0.0007489048773122549,0,0
0,0.007975138785951305,0,0
1,0.6887718736749147,1,1
0,0.19719336074564067,0,1
1,0.5154257167398313,0,1
0,0.3637342371361708,0,1
0,0.0037412671660946415,0,0
0,0.025763180490088487,0,0
1,0.717788207823467,1,1
0,0.019686326961403933,0,0
0,0.005054893236731836,0,1
0,0.008662400879699774,0,0
0,0.2885519983246504,1,1
1,0.6604207777267843,0,1
0,0.048871502161358354,0,0
1,0.5112718741242936,0,1
1,0.6644098610801621,1,1
1,0.8810040870635815,1,1
0,0.03534650235007321,0,1
0,0.011020203734786327,0,0
0,0.21203014357648287,0,1
0,0.13323694262071156,0,1
0,0.05685947869628071,0,1
0,0.18205372442391843,0,1
0,0.23454156851441121,0,1
0,0.04724691265092071,1,0
0,0.0007032045948095723,0,1
0,0.002160334217211542,0,1
0,0.011199581070262804,0,1
0,0.026307000920722915,1,1
0,0.18035527566935455,0,1
1,0.6993711253033463,1,1
0,0.23682598498063284,0,1
0,0.21468098536162036,0,1
0,0.016551963288635188,0,1
0,0.004223465777108203,0,1
0,0.004086540993478444,0,0
0,0.0349971390453802,0,1
0,0.005982413566315044,0,1
0,0.039757986683805945,0,1
0,0.3755236070039124,0,1
1,0.9063409973704235,1,1
0,0.014588875775257346,0,0
0,0.04237485245727518,0,1
0,0.00033276216518825545,0,1
0,0.0763885510379259,1,1
0,0.2411055225565778,0,1
0,0.00254273878377562,0,0
0,0.16330944815721127,0,1
0,0.0011633156318247373,0,1
0,0.09945579910255464,0,1
0,0.17737969593758665,0,0
1,0.7564842069828368,1,0
1,0.6597052429962047,1,1
0,0.1551259670221752,1,1
0,0.37043445455881896,0,0
0,0.000778944337870305,0,1
0,0.015992209897372302,0,1
1,0.9375286744891947,1,1
0,0.27269923298916765,0,0
0,0.2255366901513057,0,1
0,0.007655493671723967,0,1
0,0.008245105797686066,0,1
0,0.4921722644659202,0,1
0,0.11145141909279924,0,1
0,0.02893868242557429,0,1
0,0.0016725149097789628,0,0
1,0.7595798713878193,1,1
0,0.269058076955935,0,1
0,0.2831080611884164,1,1
0,0.21103376175322566,0,0
0,0.001006721963551072,0,0
0,6.602379242513712e-05,0,0
1,0.632849823369901,0,1
0,0.0039000342067900093,0,1
1,0.5726858098550812,1,0
0,0.0060058439455385245,0,0
0,0.37645195140291926,1,1
0,0.2559095240841175,0,0
1,0.9999896925779447,1,1
0,0.0347644492257679,0,0
0,0.03018614628004857,0,0
0,0.001942523738761397,0,0
1,0.6425627452291108,1,1
0,0.03773292702847982,0,0
0,0.009884331484970262,0,1
0,0.10213950342995892,0,1
0,0.30982195609226854,0,1
1,0.530843620974917,0,1
0,0.1344408606008064,0,1
0,0.0741100313262927,0,1
1,0.5515187965401882,1,1
0,0.0005897318357259339,0,1
0,0.3040936271079771,0,1
1,0.9999846721676329,1,1
0,0.0001527666184921586,0,0
0,0.0007800168781991811,0,0
1,0.9353453850952352,1,1
1,0.9961069105071544,1,1
0,0.00036265651289267114,0,0
0,0.010628258677807641,0,1
0,0.0008404582235031741,0,1
0,0.015183453340985382,0,1
1,0.9475364396130377,1,1
0,0.12055447807447786,0,1
1,0.7579657784807265,0,1
0,0.10623929849268161,0,1
0,0.4346406321075449,0,1
0,0.030073997219776147,0,1
1,0.5662447117674421,0,1
1,0.7496458024921578,1,1
1,0.5831414270123987,1,1
1,0.5655163537305432,0,1
0,0.3025133573823605,0,1
0,0.01517278780776149,0,1
0,0.11888207303488846,0,1
0,0.00010140842805674401,0,1
0,0.0026394850255572217,0,1
0,0.0027408402916686324,0,0
0,0.03824272237913628,0,1
1,0.5335314729785434,1,1
1,0.6224828028661349,1,1
0,0.2462771581594174,0,1
1,0.7340094534212341,1,1
0,0.11205968020506143,0,1
1,0.6307243445942318,1,1
1,0.5554644754921552,0,1
0,0.033033401073684375,0,0
0,0.05060322164678324,0,0
0,0.07502615076852273,0,0
0,0.020510068295749015,0,1
0,0.19191937079565302,0,1
0,0.3200866942527672,0,1
0,0.4068257479790826,0,1
1,0.6560522892592002,1,1
0,0.39076055559821926,1,1
0,0.0010784119963510282,0,0
0,0.007699972604001039,0,0
0,0.047685478532704544,0,1
0,0.001690363876692265,0,0
1,0.530982556227777,1,1
0,0.23221683677439578,0,0
0,0.009474018839201685,0,0
1,0.617541672488384,1,1
0,0.00012976717990364098,0,0
0,0.00020078409815749726,0,1
0,0.17128745955274668,0,0
0,0.46344024113284515,1,1
1,0.761392338581777,1,1
1,0.5066821203829015,0,1
0,0.0006149607064811776,0,1
1,0.8532147424843314,1,1
0,0.27499708775601694,1,1
0,0.007370325867370641,0,0
0,0.26424035834019594,0,1
0,0.22051032628380493,0,1
0,0.009435326390855382,0,0
0,0.42217878590900126,0,1
0,0.003547587683061461,0,1
0,0.39128879730528654,0,0
0,0.00531344009417878,0,1
0,0.25776745732100154,1,1
1,0.5242221767400421,1,1
0,0.28700425673591917,0,1
0,0.03170771434801268,0,1
1,0.9999881221707081,1,1
0,0.01448090805180902,0,0
0,0.0001233688607833416,0,0
0,0.002153851329831318,0,0
1,0.9998656507989769,1,1
0,0.0002300691141782253,0,1
1,0.5053545766451827,1,1
0,0.0759502506566135,0,1
0,0.10457714558461877,0,1
0,0.02330313473092444,0,1
0,7.762443227213074e-05,0,0
1,0.9999849321289169,1,1
0,0.35925488111031595,0,1
1,0.8263522147969781,0,1
1,0.658901364058267,1,0
0,0.01540408420311079,0,1
1,0.5063424390256956,0,1
0,0.0005555919713727529,0,0
1,0.9999999061972197,1,1
0,0.0037399279670362025,0,1
0,0.14572749175290037,1,1
1,0.9999880893936871,1,1
0,0.040859729445254483,0,1
1,0.5860133692172075,1,1
1,0.5577748189558545,1,1
0,0.38772870683198996,1,1
0,0.3738738615948028,1,1
0,0.000499390823347931,0,0
0,0.20123432538018135,0,1
1,0.7744459458549081,1,1
0,0.008443988714545804,0,1
0,0.04002932998366601,0,1
0,0.0002975698940635109,0,0
1,0.6660628117109093,1,1
1,0.9999772109333307,1,1
1,0.7182614695563814,0,1
0,9.15535188059386e-05,0,1
0,0.293514425879259,1,1
0,0.3999445194729122,0,1
0,0.06199582021826573,0,1
0,0.33442364522030743,0,1
0,0.0006914235302423942,0,1
1,0.7121981823487409,0,1
0,0.00735087460015196,0,1
0,0.0210207932448939,0,1
0,0.3025019279764838,0,1
0,0.04765190991257366,0,1
0,0.0003958805257329117,0,1
0,0.4030935929889254,0,0
0,0.0002847981931683719,0,0
0,0.06378282334349308,0,1
0,0.09634351026240381,0,1
0,0.02216461254564179,0,0
0,0.4372462448237329,1,0
0,0.42907724909579753,0,1
1,0.633726285491539,1,1
1,0.6350483937284074,1,1
1,0.556856341422659,0,1
1,0.6031187706200397,1,1
0,0.2968692238591339,1,1
1,0.9560955647907304,1,1
0,0.20670603122124587,0,1
0,0.0011459109308146534,0,1
0,0.0010018650390375102,0,1
1,0.731532108091688,1,1
1,0.6857224423624422,0,1
0,0.01623316166161897,0,1
0,0.001322353565249352,0,0
0,0.007850002232421294,0,0
0,0.23616288022457052,1,0
0,0.0391646339877562,0,1
0,0.0349437483187265,0,0
0,0.15870590918477626,0,1
0,0.020144378387256242,0,1
0,0.0019662813664134597,0,1
0,0.08771822249615499,0,1
0,0.22027562469407522,0,0
0,0.265003849331551,0,1
0,0.016650461351422268,0,0
0,0.00016685993216120648,0,1
0,0.14267784629420435,0,1
0,0.0013171439854999223,0,1
0,0.4689359585197588,1,1
0,0.11885048208336052,0,1
1,0.5933804623918871,1,1
0,0.2813957885701352,0,1
1,0.8255858420604538,1,1
1,0.6886034498211511,0,1
0,0.010880058028068545,0,0
0,0.012337982297532848,0,1
0,0.013682860857471233,0,1
1,1.0,1,1
1,0.6298828481419884,1,1
1,0.6934353180846886,0,1
0,0.14968188782668834,0,1
0,0.008888008205644084,0,1
0,0.00039461942279619847,0,0
0,0.0066183850402689835,0,0
0,0.07772051788006502,0,0
0,0.07074711402037792,0,0
0,0.1498820427358897,0,0
0,0.3802221947457839,0,1
0,0.00010762745877093534,0,0
0,0.00020538598738267853,0,1
1,0.5452727517089105,1,1
0,0.005872119238320186,0,1
0,0.16898693436021509,0,1
0,0.0001847162420192461,0,0
0,0.03368850568967642,0,0
0,0.02447170397923835,0,0
0,0.49818007197093606,1,1
0,0.00011303588071779504,0,1
0,0.00043619706599050845,0,0
0,0.0048884239291295244,0,0
1,0.5882125062201744,0,1
1,0.6972369157662852,1,1
0,0.461869206565794,1,1
0,0.12866845659314796,0,1
0,0.46468681528742556,1,1
0,0.0008289965250800382,0,0
0,0.06303854291471554,0,1
0,0.133936844247428,0,0
0,0.03193274278313254,0,0
0,0.1445743998542979,0,0
1,0.9999798448570232,1,1
0,0.0365783380714371,0,1
0,0.42400814407973575,1,1
0,0.00034210444197484233,0,1
0,0.29213068719276747,0,1
0,0.05400352099884587,0,0
0,0.11082339536558804,0,1
0,0.0011594005939536646,0,0
0,0.4618141862242618,1,1
1,0.945238534313829,1,1
1,0.9999040317221844,1,1
0,0.05243076468874943,0,0
0,0.21311857876656318,1,1
0,0.18021840537430703,0,1
0,0.06907485746410945,0,0
0,0.002011589571586086,0,1
0,0.001069222624465052,0,1
0,0.02348659553202002,0,0
0,0.024525026486256804,1,0
0,0.07266886031322432,0,1
0,0.0006532990327480228,0,1
0,0.2443664108610524,0,0
0,0.00011828974747424728,0,1
0,0.00011340616838316697,0,0
0,0.006919881393362445,0,0
0,0.15224677152605245,0,1
0,0.34932186185727365,1,1
1,1.0,1,1
0,0.4337716049198474,1,1
0,0.02262398051324009,1,0
1,0.7562547652031189,1,1
0,0.005956308525140389,0,1
0,0.004741792475968701,0,1
1,0.8396435544770661,1,0
0,0.00010432817081317308,0,0
0,0.09352588147481014,0,1
1,0.6085340936091991,1,1
1,0.6224593123483386,1,1
0,0.021416623198786094,0,1
1,0.680299997897509,1,1
0,0.47398934809500964,1,1
0,0.0016157047260039405,0,0
0,0.15087689541187307,0,1
0,0.013143461899834591,0,1
0,0.3529028759648066,0,1
0,0.06413270765671543,0,1
0,0.00019273251240667803,0,0
0,4.92112139574832e-05,0,0
0,0.019296526376013763,0,1
1,0.5242799503157867,1,0
0,0.20146242287134886,0,1
1,0.65602475330034,0,1
0,0.0002847981931683719,0,1
0,0.08715633396233606,0,1
0,0.32251283755120513,0,1
0,0.005248762286472349,0,1
0,0.1768513668649559,0,0
0,0.008866053133621418,0,0
1,0.9998793546381484,1,0
0,0.3913325235644497,1,1
0,0.05272903013701958,0,0
0,0.0034487833739244743,0,0
0,0.0006985467374665075,0,0
0,0.03607599168530583,0,1
0,0.23994837064522204,1,0
0,0.2148798516890246,0,1
0,0.0003672790706364683,0,0
0,4.330811507322565e-05,0,1
1,0.643949508662184,1,1
0,4.687184119511142e-05,0,1
1,0.7548055910316895,1,1
0,0.0010903935661090475,0,0
1,0.6420706183724784,0,1
0,0.00019631060302985646,0,1
1,0.6572475061132993,0,1
0,0.027188682676723783,0,1
0,0.33104117506124225,0,0
0,0.09895285871153897,1,1
1,0.9810389215345551,1,0
0,0.0027660467768853107,0,0
0,0.06156391173785212,0,1
1,0.6354790200190248,1,1
0,0.0003095265299582142,0,0
1,0.7642500501828731,1,1
0,0.18415552765708687,0,0
0,0.44273786186296815,0,1
0,0.09595972398569139,0,1
0,0.31817919608604395,0,1
0,0.004297660773588591,0,0
0,0.01409138271138968,0,0
0,0.36352732794906895,0,1
1,0.6719139535328802,1,1
0,6.880447174984888e-05,0,1
0,0.00024601652436197474,0,1
1,0.976385993971259,1,1
0,0.005329368978235418,0,1
1,0.589863428150628,1,1
1,0.6748071267771912,0,1
0,0.012824089601214927,0,1
0,0.0002644717817069866,0,0
0,0.4817949359851501,0,0
0,0.0011728981818785367,0,0
0,0.00035989593426619625,0,1
0,0.0052128137071255345,0,1
0,0.13026367714615192,1,1
0,0.002721572917575202,0,0
1,0.5672952071051859,1,1
0,0.002946177359098124,0,1
0,0.10669548375820756,0,1
0,0.0023951639094039533,0,0
0,0.29339547339614397,0,1
1,0.5015519396234303,1,1
0,0.00031460153617719343,0,0
0,0.4876767792014184,0,0
0,0.024809805559384567,0,0
0,0.4351396761432703,0,1
0,0.01587072910023239,0,0
0,0.4247689233183216,1,0
0,0.0004202268385933628,0,1
0,0.18087527863547812,1,1
0,0.14370199951452214,0,0
0,0.1263450322170696,0,1
1,0.5528977877275312,1,1
1,0.6805652159276238,1,1
0,0.20023755395676526,0,1
0,0.07513907544096976,0,1
0,0.01697548862068027,0,0
0,0.00034855299229662775,0,0
0,0.07093385936751187,0,1
0,0.01591325492006436,0,0
0,0.02517528214673311,0,1
0,0.07846031862502073,0,1
0,0.024749797175453607,0,1
0,0.4256847750166331,0,1
0,0.10797226831534523,0,0
0,0.0005630344222515372,0,1
0,0.14159390842011682,0,0
0,0.12853988890636828,0,0
1,0.5809349480597019,0,1
0,0.04932821926593721,0,1
0,0.09859811661591263,0,1
0,0.00435107469782575,0,1
0,0.13533193428467488,0,0
0,0.028631171604678835,0,0
0,0.3036507456215421,1,1
0,0.35707060476652125,0,1
0,0.390601003337077,1,1
0,0.043471676383642625,0,0
0,0.3825467769880827,0,1
0,0.352618497413144,0,0
1,0.999911572041223,1,1
0,0.00033276216518825545,0,0
0,0.05922090132271388,0,1
0,0.2919869079459146,0,1
0,0.00019089063237129534,0,0
0,0.00011100276402847252,0,1
0,0.25634891790844716,0,0
0,0.0007401608216057383,0,0
0,0.06562713512609586,0,0
0,0.004481226681942187,0,0
0,0.03666389918123933,0,0
0,0.006520439445803105,0,1
0,0.07290466324297065,0,1
0,0.08481456810729175,0,1
0,0.07099390982047955,0,0
0,0.06739544872946197,0,0
1,0.7447821482406565,0,1
0,0.008696273250768195,0,1
1,0.9295529868214627,1,1
0,0.013006182676833001,0,1
1,0.9999866829566427,1,1
0,0.0043129082561331996,0,1
0,0.4486793497567164,0,1
0,0.04315356249288645,0,0
0,0.0005966218367562535,0,1
0,0.050737573558670056,0,1
1,1.0,1,1
0,0.0015653646927297335,0,1
1,0.5407553694003736,0,1
0,0.21265595985941887,1,1
1,0.6434827845187123,1,1
0,0.4475981791204175,0,1
1,0.6845907552741881,1,1
0,0.0015002869475836485,0,0
0,0.06452477582214257,0,1
0,0.26936791100285534,1,1
0,0.044650359691024336,0,1
1,0.6093601031581599,1,0
0,0.021752413367084816,0,1
0,0.318496283794586,0,1
0,0.0013402894632283137,0,1
0,0.0165232682520297,0,1
0,0.0002227970736165534,0,1
0,0.2217940821232395,0,0
0,0.013420355715620053,0,1
0,0.013368263462361125,0,1
0,0.3908811328718714,0,1
0,0.2307774556393807,0,1
0,0.2121541467920706,0,1
0,0.3829935125288114,0,1
0,0.34128382690167725,0,1
0,0.009005183631052805,0,1
1,0.6126039693195542,1,1
0,0.06576834077004896,0,1
0,0.08128173414013133,0,1
0,0.38846368034031564,1,1
1,0.7339679535919216,1,1
0,0.001059012631054856,0,0
0,0.01163552350622694,0,1
0,0.13202109249643593,0,1
0,0.00046756304778048643,0,0
0,0.20217932312557402,0,1
0,0.009764167530468324,0,0
0,0.04909830456586102,0,1
0,0.00104706963267064,0,1
0,0.006815192667418479,0,1
1,0.8420610649674546,1,1
0,0.045625902339729324,0,1
0,9.262292421723499e-05,0,1
0,0.0019696831129207043,0,0
0,0.0006149607064811776,0,1
0,0.36723614605964655,0,1
0,0.008191514693281375,0,0
1,0.5420529036400241,1,1
0,0.20301287075120528,1,1
0,0.3996094084046051,0,1
0,0.00022636502686976677,0,1
0,0.0002832626682524016,0,0
0,0.19597389095227472,0,0
0,0.014099383403101278,0,0
0,0.003994953650481224,0,1
0,0.0002420523109462986,0,0
0,0.3630141103227557,0,1
0,0.009398550744606307,0,1
1,0.9999841264030127,1,1
0,0.05606681800511035,0,1
1,0.5630949169661914,0,1
0,0.07535311779081119,0,1
1,0.6378904789326457,0,1
0,0.0013068248462939323,0,1
1,0.9142127402884187,1,1
1,0.6049115037830937,0,1
1,0.6221519637981281,1,0
0,0.00943144119199977,0,1
0,0.02967889734752984,0,0
0,0.00032175529073728615,0,1
0,0.41906766490181896,0,1
1,0.9999827709460813,1,1
0,0.016236955942788008,0,1
0,0.17830487651124724,0,1
0,0.00015146107133692512,0,1
0,0.02177823899593682,0,0
0,0.27575517645024683,0,1
1,0.7276250869909414,0,1
1,1.0,1,0
0,0.00953739531109841,0,0
0,0.09341991357183699,0,1
0,0.0008507492177957593,0,0
0,0.004170921361159962,0,0
0,0.05545796956957263,0,0
0,0.08873376650573273,0,1
1,0.6864551268785987,1,0
0,0.0007880574708778429,0,1
0,0.43174062342884156,1,1
1,0.55324881167378,1,0
0,0.10254652601021924,0,1
0,0.011153792125287736,0,0
0,0.39891277965551286,0,1
1,0.7954352031557316,1,1
0,0.026326990967314324,0,0
0,0.014345973896900076,0,1
0,0.00904443543048699,0,0
0,0.06430372499798595,0,0
0,0.0001886240909372075,0,1
0,0.0014421324863815033,0,0
0,0.0005278887424308526,0,1
0,0.06665485134972095,0,1
0,0.019372329197132523,0,0
0,0.42338775055150524,0,1
0,8.530565938000352e-05,0,1
0,0.0041876309740666315,0,1
1,0.546957293841024,1,1
1,0.6267822536705064,0,1
0,0.00024064956884563434,0,1
0,0.00291856181300006,0,0
0,0.08866918985412131,0,1
0,0.01250610463907135,0,1
0,0.0921309126237713,1,1
0,0.016374246953805235,0,1
1,0.7571776491985942,1,1
0,0.02072966140062091,0,1
0,0.4928554322379509,1,1
0,0.053168426324302805,0,1
0,0.042486221250275805,0,1
1,0.9905372929414892,1,1
0,0.035637598329924455,0,1
0,0.0016468765270803581,0,1
1,0.6954385058669605,1,1
0,0.3672806139659297,0,1
0,0.13996474912024273,0,1
0,0.19494793262527665,0,1
0,0.018323656950077302,0,0
0,0.0007423765189824387,0,0
0,0.337172768368078,1,1
0,0.002464160671098524,0,0
0,0.006966030621766784,0,1
0,0.2696508279394863,0,1
0,0.3314852619237177,0,0
0,0.02206497653783772,0,1
1,0.5239222726369156,1,1
0,0.20999908538756457,1,0
0,7.8565710278858e-05,0,1
0,3.487755716031519e-05,0,1
1,0.6457962984671638,1,1
1,0.7261690645481607,1,1
0,0.4582763843062696,0,1
0,0.09097899994654861,1,1
0,0.4969666592123316,0,1
1,0.6219954582617261,1,1
0,0.49476557667234666,0,1
1,0.5638049337261547,1,1
0,0.0009396131435480522,0,1
0,0.0025399801640842057,0,0
0,0.009199393437919949,0,1
0,0.290909556153803,1,1
0,0.00042619407163960854,0,0
0,0.00011721296917843526,0,0
1,0.5174669992207805,1,1
0,0.4977644068128699,0,1
0,0.3033220117400753,0,1
1,0.9557459190029711,1,0
0,0.011622343061559364,0,0
0,0.4681350067247262,1,0
0,9.62600157580756e-05,0,0
0,0.012950565362797276,0,0
0,0.0003501992800935582,0,0
1,0.5889905616539066,0,1
0,0.09832038237755254,0,1
0,0.007149435511204851,0,1
0,0.012827048413406232,0,0
0,0.08185917285581909,1,0
0,0.038482523926349786,0,1
0,0.4035539019476991,1,1
0,0.12347394794837474,0,1
0,0.051406013027814744,0,0
1,0.916070827288582,1,1
0,0.004990517339870557,0,1
0,0.01576053445392114,0,0
0,0.036832460112290036,0,1
0,0.259768096407052,1,1
0,0.06306517710559105,0,1
0,0.00975596348704548,0,1
0,0.2390514422576645,0,1
0,0.00010491837515887047,0,1
0,0.08774888258446716,1,0
0,0.17059806187095555,0,0
1,0.7121184217645155,1,1
0,0.01414975068800086,0,1
0,0.06208114100320401,0,1
1,0.5554060187401516,1,1
0,0.025255186080085784,0,1
1,0.5498423365847864,0,1
1,0.8706440652116131,0,1
0,0.0037588917711870733,0,1
0,0.005426781868081484,0,1
0,0.0019180905217014352,0,0
0,0.09782884783075457,0,1
0,0.11555645284605641,0,0
0,0.017568580465808465,0,1
0,0.12803808229161454,0,1
1,0.6368850244335004,0,0
1,0.749157975784324,1,1
0,0.0017734451797978825,0,1
0,0.07267330486071738,0,1
1,0.7636348714869746,1,1
0,0.0052193928360335625,0,1
1,0.5824958919162192,1,1
1,0.5992539671683074,0,1
1,0.5743498097060596,0,1
0,0.0002970507954099129,0,0
1,0.6989087611667169,0,1
0,0.0003960403555617026,0,1
1,0.5273324853051636,1,1
0,0.0009861433461722142,0,0
0,0.34979109843995326,1,1
0,0.1169633922315739,0,1
0,0.012950565362797276,0,0
0,0.1634152350504203,0,1
0,0.005211374681595248,0,0
0,0.2594282734557968,1,1
0,0.05496483311869085,0,1
0,0.030210279285664315,1,1
0,0.2913526168710449,0,1
0,0.4420811874070516,1,1
0,0.014244682694654188,0,1
0,0.09001445801848144,0,1
0,0.0002140860276510029,0,0
0,0.01760035964625839,0,0
0,0.1652647712855652,0,1
0,0.004462246073217329,0,1
1,0.7148309966473239,1,1
0,0.11371145387772644,0,0
0,0.47811959840237755,1,0
1,0.6449923780127685,0,1
0,0.028286064162489744,0,1
0,0.025135892417812382,0,0
0,0.009758141251774046,0,0
0,0.40116019661612273,0,0
0,0.45873445932808854,0,1
0,0.4814374407654788,0,1
0,0.004224216107086297,0,1
0,0.02297031712467406,0,1
0,0.0006816746028594977,0,1
0,0.005711848475809819,0,0
0,0.10044113507719414,1,1
0,0.04124448636380869,0,1
0,0.13780802916224127,0,1
0,0.09268963055083547,0,0
0,0.4590339003664958,0,1
0,0.28962498514718776,0,0
1,0.6812996977840575,1,1
0,0.0006246249587353224,0,0
0,0.04995223383542129,0,1
0,0.3607509883889875,0,1
0,0.07787227638658632,0,0
0,0.33486853932306665,0,0
0,0.036724497428638064,1,1
0,0.015100085407920048,0,0
0,0.01806498185709899,0,0
0,0.05525493765649886,0,1
0,0.0003382296151049482,0,0
0,0.019176278234626597,0,0
0,0.00030282635950631883,0,1
0,0.00011655763489841858,0,1
0,0.0022951419304071286,0,1
0,0.273960082759592,0,1
0,0.007265186264952509,0,1
0,0.013789302343358945,0,0
0,6.975457079697368e-05,0,1
1,0.6097018757723353,0,1
0,0.006055024340504463,0,0
0,0.08345500357334117,0,0
0,0.09228365263215021,0,1
0,0.3394507222193655,1,0
0,0.008012885709498952,0,0
0,0.3836427614769466,0,1
1,0.6234654503192572,1,1
0,0.3479857355089036,0,1
0,0.049571357600857575,0,0
0,0.47174285091570295,1,1
0,0.001244715236944823,0,1
1,0.9987230267444474,1,1
1,0.5369280335740667,0,1
1,0.6105196926936609,1,1
0,0.001965607356387106,0,0
1,0.7118258721634982,1,1
0,0.00020885335150736851,0,0
0,0.01024582244235954,0,1
0,0.27999446692090324,0,1
0,0.1154907802845634,0,1
0,0.2471981803347664,1,1
1,0.7593630197719092,1,1
0,0.03051401687343844,0,0
1,0.9204566673458617,1,1
0,0.37590614700789937,0,0
1,0.7915144133187565,1,1
1,0.9385289553453523,1,1
0,0.38567475110470567,0,1
0,0.14320149430879764,0,0
0,0.01078488106715521,0,0
0,0.0009697993997360331,0,1
0,0.002074084787212787,0,0
0,0.004392242316585716,0,1
0,0.2807800282016656,0,1
1,0.5767093722982933,0,1
0,0.06576152414398523,0,1
0,0.26091965562269764,1,1
0,0.005033055560283297,0,1
0,0.3877552737769539,0,1
1,0.5359151342337802,1,1
1,0.503651800235294,0,1
0,0.012417649591208803,0,1
0,0.06303551440655382,0,0
0,0.0003523143986372556,0,0
