y_test_pred,y_test_proba,y_test,A_test
0,0.31755735000581936,0,1
0,0.013797449561944461,0,1
0,0.028883559157681846,0,1
0,0.3487437065362012,1,1
0,0.37409080582410525,1,1
0,0.08006234771118649,0,1
0,0.41879582676681854,1,0
1,0.5548343869646933,1,1
0,0.02711689443878605,0,1
0,0.0007887155671217079,0,0
0,0.080405331397905,0,1
0,1.9700794571030754e-05,0,0
1,0.7085073376194161,1,1
0,0.39149972339615585,0,1
1,0.7024635206362267,1,1
0,0.003053890645107182,0,0
0,0.00935675756493237,0,1
0,0.08995177142285428,1,0
0,0.0022417874465834476,0,1
1,0.8869023182448381,1,1
0,0.07690186500062593,0,1
0,0.004073793268125703,0,1
0,0.004890368446738429,0,0
0,0.021493260457807865,0,1
0,0.10740754256291894,0,1
0,0.00018043037034747486,0,0
0,0.00029296553720597974,0,0
0,0.3858578428642032,0,1
0,0.08732182204511724,1,1
1,0.99850792482919,1,1
0,0.2542244701867717,0,1
0,0.007857951365001808,0,0
0,0.35492508126825917,0,0
0,0.00217670183652345,0,0
0,0.18674160757241348,0,1
1,0.7969436357844397,0,1
0,0.20673828812138023,0,1
0,0.25716118951155326,1,1
0,0.09206084386929965,0,1
0,0.007699601774779724,0,0
1,0.7782171571498198,1,1
0,0.00417730002075097,0,1
1,0.5445201242409617,0,1
0,0.26278948787004786,1,0
0,0.32636183516720363,0,1
0,0.17483131410774994,0,0
0,0.008924868331403248,0,0
0,0.0023105460591050448,0,1
0,0.37286586923089876,1,1
1,0.6453089549723086,1,0
0,0.35916222290515815,0,1
0,0.23752120499897458,0,1
0,0.0002759298133052496,0,0
0,0.446473473632714,0,1
0,0.003016523862385143,0,1
0,0.003895654235153758,0,0
0,0.0019767044683514715,0,1
0,0.016276061050768887,0,0
0,0.22008668325119984,1,1
0,0.29650160827807504,1,0
0,0.0027858262831421303,0,0
0,0.001367467884330264,0,0
0,0.023757487767110865,0,0
1,0.7236253366427615,1,1
0,0.026618351967601567,0,1
0,0.42639559441717667,0,1
0,0.37215375293730585,0,1
0,0.0034413294952049893,0,0
0,0.031068173725126373,0,0
1,0.5613190249925928,1,1
0,0.002971845598767021,0,0
0,0.003228115359704466,0,1
0,0.0026333833885725435,0,0
0,0.3834966152203101,1,1
1,0.6853930855611416,0,1
0,0.07546194879753039,0,0
1,0.5997587915970882,0,1
1,0.7417032074284231,1,1
1,0.7756429261997888,1,1
0,0.012867005165855731,0,1
0,0.01893138808808097,0,0
0,0.33020152445147066,0,1
0,0.050173260300670465,0,1
0,0.0301478195856946,0,1
0,0.17143824788128645,0,1
0,0.29067658952262715,0,1
0,0.13285248524241866,1,0
0,0.001064566761164999,0,1
0,0.0017069047302524709,0,1
0,0.005650862578042534,0,1
0,0.007177861399747574,1,1
0,0.17428246368663983,0,1
1,0.6216236984275229,1,1
0,0.3640804620761842,0,1
0,0.15029062864434342,0,1
0,0.010982574559474646,0,1
0,0.004493465623342381,0,1
0,0.0037478327171540688,0,0
0,0.09648087991435211,0,1
0,0.009965576567911232,0,1
0,0.02210107764115003,0,1
0,0.31755735000581936,0,1
1,0.7711858706749422,1,1
0,0.04245518662123038,0,0
0,0.016916942338821368,0,1
0,0.00047410105055097074,0,1
0,0.023396406897480817,1,1
0,0.37640749936625945,0,1
0,0.002844566777715172,0,0
0,0.108517899688755,0,1
0,0.0020012472825190874,0,1
0,0.047534130010150756,0,1
0,0.22994394975206614,0,0
1,0.805926128753651,1,0
1,0.6821726201043762,1,1
0,0.0985823245389351,1,1
0,0.25205199408946544,0,0
0,0.000292015661781025,0,1
0,0.03934499897843886,0,1
1,0.7732779561796976,1,1
0,0.24742394065195739,0,0
0,0.10078143471414024,0,1
0,0.011382016488663676,0,1
0,0.0056475140519484865,0,1
1,0.5072555368706404,0,1
0,0.15577972005562157,0,1
0,0.005817560842886218,0,1
