y_test_pred,y_test_proba,y_test,A_test
0.0,0.25277118192522197,0,1
0.0,0.0013621802254378795,0,1
0.0,0.005907329742670649,0,1
0.0,0.25741076402976,1,1
0.0,0.4341299323876594,1,1
0.0,0.08170683145854016,0,1
0.0,0.3305188465292756,1,0
0.0,0.49204108417081843,1,1
0.0,0.009301340993934403,0,1
0.0,0.00034071691038453086,0,0
0.0,0.04456941659389709,0,1
1.0,1.0229043344698351e-05,0,0
1.0,0.7190630310105636,1,1
0.0,0.2589626111693803,0,1
1.0,0.6417190264793687,1,1
0.0,0.00046427290147274547,0,0
0.0,0.00249218876583153,0,1
0.0,0.1509102805172898,1,0
0.0,0.0002161149216811181,0,1
1.0,0.8404395647814463,1,1
0.0,0.01697905758334472,0,1
0.0,0.0012659988403558283,0,1
0.0,0.00023376848616560848,0,0
0.0,0.011034457349456274,0,1
0.0,0.017507475387124338,0,1
0.0,1.1843604467225187e-05,0,0
0.0,2.6423550387797723e-05,0,0
0.0,0.3018461512374791,0,1
0.0,0.07880229243522517,1,1
1.0,0.9999961391186286,1,1
0.0,0.15345657044562877,0,1
0.0,0.007950720131691342,0,0
0.0,0.23247787164865177,0,0
0.0,0.0002028799729798523,0,0
0.0,0.13267384002690488,0,1
1.0,0.6809714815190268,0,1
0.0,0.19598268010689787,0,1
0.0,0.19133190133878775,1,1
0.0,0.07967454507006103,0,1
0.0,0.008042747894374225,0,0
1.0,0.9443299281042836,1,1
0.0,0.004555617434757581,0,1
0.0,0.379203434043549,0,1
1.0,0.6709938950884909,1,0
0.0,0.19440244869755838,0,1
0.0,0.22356580919706787,0,0
0.0,0.0006990319111970089,0,0
0.0,0.0001392774289436617,0,1
0.0,0.36627930521299923,1,1
1.0,0.5462796188589465,1,0
0.0,0.3079321398388423,0,1
0.0,0.0977567428801284,0,1
0.0,3.436086160853753e-05,0,0
0.0,0.45202727453612573,0,1
0.0,0.00024761708496076775,0,1
0.0,0.0015448796104004766,0,0
0.0,0.00027383633073311755,0,1
0.0,0.002785747559554492,0,0
0.0,0.20846835682826945,1,1
0.0,0.2841054034074218,1,0
0.0,0.0002994507841385247,0,0
0.0,0.000267953100139736,0,0
0.0,0.004533551394379706,0,0
1.0,0.6712782248149879,1,1
0.0,0.09277870758792447,0,1
0.0,0.44489039536859987,0,1
0.0,0.16238487722072226,0,1
0.0,0.004355722920211512,0,0
0.0,0.013648372002013407,0,0
1.0,0.7384274696295334,1,1
0.0,0.0070603618374335065,0,0
0.0,0.0010597637315192168,0,1
0.0,0.0016258857027107187,0,0
0.0,0.3922144085969999,1,1
1.0,0.6238690358416165,0,1
0.0,0.01625461812540783,0,0
0.0,0.42109730012353563,0,1
1.0,0.7383757869840402,1,1
1.0,0.9396759006325032,1,1
0.0,0.0030961569274459717,0,1
0.0,0.0030079805971214004,0,0
0.0,0.2727359256185549,0,1
0.0,0.08884609517597615,0,1
0.0,0.03014054247519023,0,1
0.0,0.10029551845809904,0,1
0.0,0.0787343458322057,0,1
0.0,0.024236345957851443,1,0
0.0,0.00014669320143543182,0,1
0.0,0.0008653724537818655,0,1
0.0,0.005589043917183762,0,1
0.0,0.005411966895004157,1,1
0.0,0.122256468149771,0,1
1.0,0.7017569282331344,1,1
0.0,0.35120974605910116,0,1
0.0,0.08872313431038766,0,1
0.0,0.007918262575371763,0,1
0.0,0.0014114193357603526,0,1
0.0,0.004672053900815052,0,0
0.0,0.028395108593795147,0,1
0.0,0.002439141388214535,0,1
0.0,0.012003632045193599,0,1
0.0,0.25277118192522197,0,1
1.0,0.9404414543551629,1,1
0.0,0.01001698829639971,0,0
0.0,0.03101101012412552,0,1
0.0,4.818653841144053e-05,0,1
0.0,0.02807175977652586,1,1
0.0,0.3684385161163487,0,1
0.0,0.0003482817524057127,0,0
0.0,0.1133996386293161,0,1
0.0,0.0002597963699822918,0,1
0.0,0.06635170273868268,0,1
0.0,0.12763917106699454,0,0
1.0,0.761559235559028,1,0
1.0,0.6490998636594093,1,1
0.0,0.08571303669478382,1,1
0.0,0.376954882547123,0,0
0.0,6.8372076911316e-05,0,1
0.0,0.010297157842619888,0,1
1.0,0.9472086564334001,1,1
0.0,0.09909417718664083,0,0
0.0,0.12537863719544812,0,1
0.0,0.002601954654426109,0,1
0.0,0.0077576382295259354,0,1
0.0,0.45900467641846876,0,1
0.0,0.06198616189388401,0,1
0.0,0.007797237318811094,0,1
0.0,0.0005140102336533007,0,0
1.0,0.8430102723486947,1,1
0.0,0.18287672297619867,0,1
0.0,0.22873083946986814,1,1
0.0,0.23180614016852416,0,0
0.0,0.0002063740408791616,0,0
1.0,2.711130329202671e-06,0,0
1.0,0.6185055897338863,0,1
0.0,0.0012001909649970108,0,1
1.0,0.5280628052455691,1,0
0.0,0.000842015687126799,0,0
0.0,0.2717798430362932,1,1
0.0,0.2561066256515035,0,0
1.0,0.9998938939772606,1,1
0.0,0.020841446699364424,0,0
0.0,0.07474933354341146,0,0
0.0,0.0006458603493551646,0,0
1.0,0.6526786714914867,1,1
0.0,0.015534607242433433,0,0
0.0,0.0032903137949674465,0,1
0.0,0.09062256115739299,0,1
0.0,0.13476365492890416,0,1
0.0,0.475149171249268,0,1
0.0,0.08894396044847395,0,1
0.0,0.02369302086346015,0,1
1.0,0.5279251478974776,1,1
0.0,0.0001491946226845663,0,1
0.0,0.24298889966413906,0,1
1.0,0.9998815499698532,1,1
0.0,2.8732987721086882e-05,0,0
0.0,0.00015084782496689388,0,0
1.0,0.9394971506760594,1,1
1.0,0.9953344053258668,1,1
0.0,6.566603576203513e-05,0,0
0.0,0.008094055823556805,0,1
0.0,0.0001503638444963812,0,1
0.0,0.00780184564790644,0,1
1.0,0.9448051756440417,1,1
0.0,0.06027397070525173,0,1
1.0,0.8331981317172482,0,1
0.0,0.03449699037754695,0,1
0.0,0.2811541230161105,0,1
0.0,0.02514270204811507,0,1
0.0,0.46505797914301805,0,1
1.0,0.7534498411549109,1,1
1.0,0.6514415055794152,1,1
0.0,0.49742533293997776,0,1
0.0,0.2756024854224175,0,1
0.0,0.0042077150195623135,0,1
0.0,0.08096526843265052,0,1
0.0,1.9173446359005405e-05,0,1
0.0,0.0005002165044576168,0,1
0.0,0.003104898550978596,0,0
0.0,0.0326354739424097,0,1
1.0,0.534579358931913,1,1
1.0,0.64133532169491,1,1
0.0,0.3512172508749416,0,1
1.0,0.9119027150638839,1,1
0.0,0.03681546637697619,0,1
1.0,0.5966763123298484,1,1
1.0,0.5158604930860876,0,1
0.0,0.011498199259395676,0,0
0.0,0.11054811591834895,0,0
0.0,0.07136861485605236,0,0
0.0,0.007363414663557033,0,1
0.0,0.177293348859021,0,1
0.0,0.17477462179275646,0,1
0.0,0.35258021968134134,0,1
1.0,0.6802053343051973,1,1
0.0,0.2761653612105478,1,1
0.0,0.00020027980599105426,0,0
0.0,0.0022089722238296406,0,0
0.0,0.032218855568895206,0,1
0.0,0.0005021409063706204,0,0
1.0,0.5222535693325213,1,1
0.0,0.1327128167710097,0,0
0.0,0.0027597701894023943,0,0
1.0,0.6146529348179695,1,1
0.0,9.32305016214227e-06,0,0
0.0,2.6284776182974916e-05,0,1
0.0,0.1474743760870305,0,0
0.0,0.37516008319168176,1,1
1.0,0.7541472875737213,1,1
0.0,0.49132031172108537,0,1
0.0,8.96643597910581e-05,0,1
1.0,0.8857991355408054,1,1
0.0,0.1015929162950861,1,1
0.0,0.0039093227533144505,0,0
0.0,0.4836640125798625,0,1
0.0,0.12357590065247105,0,1
0.0,0.0022462287213516085,0,0
0.0,0.38290283524332974,0,1
0.0,0.0012672844681257073,0,1
0.0,0.2915291427716098,0,0
0.0,0.0009407963185065799,0,1
0.0,0.2323842708338558,1,1
1.0,0.5093685199574474,1,1
0.0,0.17986519182092547,0,1
0.0,0.027474360913557566,0,1
1.0,0.9998834322123344,1,1
0.0,0.005134957009953372,0,0
0.0,1.0985820278872778e-05,0,0
0.0,0.0007434459797642151,0,0
1.0,0.9996011078645187,1,1
0.0,1.382302240455066e-05,0,1
0.0,0.41553064907469367,1,1
0.0,0.04012361913689129,0,1
0.0,0.05252166517589337,0,1
0.0,0.005918709402366821,0,1
0.0,1.5050729589792174e-05,0,0
1.0,0.999881457354503,1,1
0.0,0.23465653922061763,0,1
1.0,0.8462731295526337,0,1
1.0,0.6476408040222921,1,0
0.0,0.00638701786616177,0,1
0.0,0.3909349211043022,0,1
0.0,7.877673364416054e-05,0,0
1.0,0.9999975647105767,1,1
0.0,0.001329484516120967,0,1
0.0,0.3089220805490812,1,1
1.0,0.9998900045226011,1,1
0.0,0.01010007855850331,0,1
1.0,0.5497206106087604,1,1
0.0,0.4796766555308888,1,1
0.0,0.30949442929664245,1,1
0.0,0.27991308042467383,1,1
0.0,0.00011289119539649673,0,0
0.0,0.4630537570731428,0,1
1.0,0.8111768022806126,1,1
0.0,0.0039248951468295904,0,1
0.0,0.009993070012011883,0,1
0.0,3.3299456301079685e-05,0,0
1.0,0.7586314880687179,1,1
1.0,0.9998754681625077,1,1
1.0,0.7324052110665842,0,1
0.0,6.555618217022076e-06,0,1
0.0,0.25783975611188625,1,1
0.0,0.2527164022401109,0,1
0.0,0.038872055526324285,0,1
0.0,0.23689951740279236,0,1
0.0,0.0003817202210547443,0,1
1.0,0.7211367639530982,0,1
0.0,0.0011866725932272277,0,1
0.0,0.014180664967901966,0,1
0.0,0.1486515083875896,0,1
0.0,0.029927204986006442,0,1
0.0,3.231765604708766e-05,0,1
1.0,0.5803610183499267,0,0
0.0,3.740366273026855e-05,0,0
0.0,0.028157731040469296,0,1
0.0,0.04769503934572891,0,1
0.0,0.003849584605639458,0,0
0.0,0.38276146175558823,1,0
0.0,0.27615197552067783,0,1
1.0,0.6256580518834645,1,1
1.0,0.5965893293495041,1,1
0.0,0.45091314865916676,0,1
1.0,0.6129302051704493,1,1
0.0,0.17142246316154072,1,1
1.0,0.9625732119316783,1,1
0.0,0.11146038038349691,0,1
0.0,0.00021590847413067716,0,1
0.0,0.00011950226713719063,0,1
1.0,0.7435490238535634,1,1
1.0,0.7518911298713912,0,1
0.0,0.005812970911458943,0,1
0.0,0.00036011485189919184,0,0
0.0,0.002871258820356646,0,0
0.0,0.16508557234073803,1,0
0.0,0.016889004251314902,0,1
0.0,0.0248217888439332,0,0
0.0,0.06922063236297252,0,1
0.0,0.00880038371878263,0,1
0.0,0.0005547810646857671,0,1
0.0,0.04698282503646818,0,1
0.0,0.16153784401804883,0,0
0.0,0.145581362371751,0,1
0.0,0.005990290098718069,0,0
0.0,1.7382997370081703e-05,0,1
0.0,0.10199390580258477,0,1
0.0,0.00043454263708462334,0,1
0.0,0.44677365104377137,1,1
0.0,0.04584391370803489,0,1
1.0,0.5680066717204197,1,1
0.0,0.2967615364997596,0,1
1.0,0.8421025039717837,1,1
1.0,0.6738530091134838,0,1
0.0,0.00494668844492647,0,0
0.0,0.0035315367661423744,0,1
0.0,0.00968701906712611,0,1
1.0,1.0,1,1
1.0,0.5091043941209722,1,1
1.0,0.6746749788880907,0,1
0.0,0.17803319536137888,0,1
0.0,0.0071138327587909455,0,1
0.0,7.767948895071272e-05,0,0
0.0,0.0015390529990673245,0,0
0.0,0.029995529544159103,0,0
0.0,0.12790830458906446,0,0
1.0,0.13177053244433565,0,0
0.0,0.25741076402976,0,1
0.0,1.134355021291099e-05,0,0
0.0,3.1467232888105084e-05,0,1
1.0,0.533219139230362,1,1
0.0,0.0007847922790371466,0,1
0.0,0.2889579376662142,0,1
0.0,2.050934415417615e-05,0,0
0.0,0.019909056098156592,0,0
0.0,0.005691074214914426,0,0
0.0,0.4828650325741294,1,1
0.0,1.5708160276523674e-05,0,1
0.0,9.58156466014281e-05,0,0
0.0,0.0030057365588531003,0,0
0.0,0.49374680387321823,0,1
1.0,0.7463723876811071,1,1
0.0,0.4375521090801196,1,1
0.0,0.049884378765777726,0,1
0.0,0.38312418609164445,1,1
0.0,0.0002097476773574686,0,0
0.0,0.050684583219383315,0,1
0.0,0.10881034652644699,0,0
0.0,0.008142664887967058,0,0
0.0,0.09596359653422099,0,0
1.0,0.9998511844225278,1,1
0.0,0.011834444941012956,0,1
0.0,0.3025764457191433,1,1
0.0,7.584447365313122e-05,0,1
0.0,0.22586142620520086,0,1
0.0,0.04044020524166275,0,0
0.0,0.09680844275400077,0,1
0.0,0.0003016707388674346,0,0
0.0,0.4005479786080509,1,1
1.0,0.95519337854033,1,1
1.0,0.9993728270738288,1,1
0.0,0.026461891696165675,0,0
0.0,0.1863854946899671,1,1
0.0,0.04558228965253246,0,1
0.0,0.043402335707729674,0,0
0.0,0.0008075909820057263,0,1
0.0,0.0002084840010456831,0,1
0.0,0.010441366315762783,0,0
0.0,0.022981017157392113,1,0
0.0,0.03225870134542781,0,1
0.0,0.00013407360096062728,0,1
0.0,0.1518958011319174,0,0
0.0,1.0924925226125172e-05,0,1
0.0,8.076531430857896e-06,0,0
0.0,0.001087156172177749,0,0
0.0,0.06256674823681686,0,1
0.0,0.269697818064761,1,1
0.0,1.0,1,1
0.0,0.36226872808442945,1,1
0.0,0.006564515377356041,1,0
1.0,0.7741146694107429,1,1
0.0,0.0023816594074697315,0,1
0.0,0.0025176628565707526,0,1
1.0,0.8514556547200974,1,0
0.0,6.714669346478756e-06,0,0
0.0,0.02715964868797085,0,1
1.0,0.7574252846079174,1,1
1.0,0.577540615264777,1,1
0.0,0.008669543064821466,0,1
1.0,0.6820827763129891,1,1
0.0,0.2998377093587159,1,1
0.0,0.0006461317079346932,0,0
0.0,0.06521459648861441,0,1
0.0,0.005059917443236222,0,1
0.0,0.2362529065786656,0,1
0.0,0.023751258980056464,0,1
0.0,3.181991392647878e-05,0,0
0.0,2.5806692521291314e-06,0,0
0.0,0.017999881725391645,0,1
1.0,0.4640446358400503,1,0
0.0,0.12426927356178039,0,1
1.0,0.7430190221141152,0,1
0.0,3.740366273026855e-05,0,1
0.0,0.031756597946811356,0,1
0.0,0.2115283987885071,0,1
0.0,0.0008135676128422427,0,1
0.0,0.06516266917497232,0,0
0.0,0.005376374295675856,0,0
1.0,0.9994627257030868,1,0
0.0,0.3369378724965772,1,1
0.0,0.053826305791035235,0,0
0.0,0.0038401495273725507,0,0
0.0,8.144673081803821e-05,0,0
0.0,0.003702713744965601,0,1
0.0,0.10383024781219402,1,0
0.0,0.18401556178203543,0,1
0.0,7.124362723172104e-05,0,0
0.0,4.660503079647988e-06,0,1
1.0,0.5952606399439091,1,1
0.0,7.236317577975751e-06,0,1
1.0,0.6943360672416684,1,1
0.0,0.0001890532755306556,0,0
1.0,0.610857061428841,0,1
0.0,3.808168154805021e-05,0,1
0.0,0.3622549218223697,0,1
0.0,0.008347128537304618,0,1
0.0,0.2748879831215465,0,0
0.0,0.08721308139177693,1,1
1.0,0.9677629595153869,1,0
0.0,0.0007341896232158927,0,0
0.0,0.1439795709282668,0,1
1.0,0.7189885115404361,1,1
0.0,4.772634029387043e-05,0,0
1.0,0.7946745513497548,1,1
0.0,0.4925052353427306,0,0
0.0,0.4036794048133648,0,1
0.0,0.06399537088413484,0,1
0.0,0.20419748504811755,0,1
0.0,0.000766527833356307,0,0
0.0,0.008683449294935287,0,0
0.0,0.24051894862673012,0,1
1.0,0.6556694647003042,1,1
0.0,7.031710059256943e-06,0,1
0.0,5.106076947308784e-05,0,1
1.0,0.9687081677139644,1,1
0.0,0.001686500696817008,0,1
0.0,0.4636880526871248,1,1
1.0,0.6805029616165035,0,1
0.0,0.008707009534625585,0,1
0.0,2.4308568537961256e-05,0,0
0.0,0.400860931291798,0,0
0.0,0.00043295471655405046,0,0
0.0,8.547288936797004e-05,0,1
0.0,0.0011346387836034758,0,1
0.0,0.06450677973806915,1,1
0.0,0.0009522104258091757,0,0
0.0,0.4584211127867161,1,1
0.0,0.0012388709364548917,0,1
0.0,0.08396437773822456,0,1
0.0,0.0033040795209150634,0,0
0.0,0.12970829474101284,0,1
0.0,0.330865510273731,1,1
0.0,4.221223656928284e-05,0,0
0.0,0.2992137586152104,0,0
0.0,0.011117758915927978,0,0
0.0,0.3452019972034403,0,1
0.0,0.00701944687219884,0,0
0.0,0.3600178958122709,1,0
0.0,7.807431120927491e-05,0,1
0.0,0.144388264553951,1,1
0.0,0.10135572314957576,0,0
0.0,0.0602290221041988,0,1
0.0,0.39347442773419883,1,1
1.0,0.683990911082837,1,1
0.0,0.08544475858706187,0,1
0.0,0.06312699939117818,0,1
0.0,0.0059129592411218705,0,0
0.0,0.00010900614329609559,0,0
0.0,0.049932413419476525,0,1
0.0,0.0065225626810311264,0,0
0.0,0.005959348173365824,0,1
0.0,0.029917617676499808,0,1
0.0,0.010102594509078536,0,1
0.0,0.3277907555251569,0,1
0.0,0.056591400391904974,0,0
0.0,0.00015284879602763476,0,1
0.0,0.13075240701729773,0,0
0.0,0.040436302543138014,0,0
1.0,0.5583864843298433,0,1
0.0,0.013730016681210905,0,1
0.0,0.057105465111755925,0,1
0.0,0.0013601030364219593,0,1
0.0,0.17233292975278472,0,0
0.0,0.008064050614902271,0,0
0.0,0.18748971966082612,1,1
0.0,0.3252992134277078,0,1
0.0,0.30662355267252644,1,1
0.0,0.01665119128223893,0,0
0.0,0.22966950240164524,0,1
0.0,0.3234760442847678,0,0
1.0,0.9995863012900046,1,1
0.0,4.818653841144053e-05,0,0
0.0,0.039324600760977,0,1
0.0,0.1734547398104816,0,1
0.0,2.4139898674278227e-05,0,0
0.0,1.155378078587612e-05,0,1
0.0,0.13867540051279642,0,0
0.0,0.00016127057911760308,0,0
0.0,0.053681602452229596,0,0
0.0,0.0013090765525027523,0,0
0.0,0.02636741712240484,0,0
0.0,0.001926073891527838,0,1
0.0,0.051322819109681686,0,1
0.0,0.16219476969489738,0,1
0.0,0.04355855282181182,0,0
0.0,0.04103002065564098,0,0
1.0,0.7064626009399706,0,1
0.0,0.003414889621412599,0,1
1.0,0.936434022087616,1,1
0.0,0.005671781065481835,0,1
1.0,0.999889879771437,1,1
0.0,0.0019525460882122033,0,1
0.0,0.3505342064933928,0,1
0.0,0.014777548410477601,0,0
0.0,6.81187750260586e-05,0,1
0.0,0.030672787917630732,0,1
1.0,1.0,1,1
0.0,0.0001706574800324587,0,1
1.0,0.5639790939213862,0,1
0.0,0.18972642451269559,1,1
1.0,0.6363934497124483,1,1
0.0,0.4601597498927073,0,1
1.0,0.6769333496070435,1,1
0.0,0.0005567507483561591,0,0
0.0,0.021913854541128885,0,1
0.0,0.11562677040278614,1,1
0.0,0.02694453421541132,0,1
1.0,0.5748373254888866,1,0
0.0,0.013922642502277196,0,1
0.0,0.12428145122356764,0,1
0.0,0.0004928932919462782,0,1
0.0,0.009615468957071589,0,1
0.0,5.7635462917556426e-05,0,1
0.0,0.14195058581618825,0,0
0.0,0.0058432623824500865,0,1
0.0,0.008991842109302203,0,1
0.0,0.26606801520376544,0,1
0.0,0.4943106423605023,0,1
0.0,0.09415992294026482,0,1
1.0,0.5509037205989509,0,1
0.0,0.19989079597678094,0,1
0.0,0.006943198326035484,0,1
1.0,0.5743931405788125,1,1
0.0,0.186203849513022,0,1
0.0,0.058964528643085955,0,1
0.0,0.28810646570232823,1,1
1.0,0.7368579313400748,1,1
0.0,0.0003100547180039646,0,0
0.0,0.0026793840270308016,0,1
0.0,0.04933560086870447,0,1
0.0,9.65454078497228e-05,0,0
0.0,0.1654050332941665,0,1
0.0,0.008213026031319145,0,0
0.0,0.03593995109129726,0,1
0.0,5.994556435404936e-05,0,1
0.0,0.0012374949829567058,0,1
1.0,0.8984189426506166,1,1
0.0,0.014820868937114179,0,1
0.0,1.0275375659447443e-05,0,1
0.0,0.0006738453979970415,0,0
0.0,8.96643597910581e-05,0,1
0.0,0.2863309966909393,0,1
0.0,0.0034778680387648683,0,0
0.0,0.4446829633162118,1,1
0.0,0.17064803915493915,1,1
0.0,0.3427424548547988,0,1
0.0,5.300498977850385e-05,0,1
0.0,5.875378840231147e-05,0,0
0.0,0.10868841942253603,0,0
0.0,0.010664802918486918,0,0
0.0,0.0013801541619325984,0,1
0.0,5.428334306066297e-05,0,0
0.0,0.2734320093682268,0,1
0.0,0.007945416006770345,0,1
