y_test_pred,y_test_proba,y_test,A_test
0,0.3372327606903656,0,1
0,0.00665720481712855,0,1
0,0.017080941456031555,0,1
0,0.3406361592989163,1,1
0,0.4903467891558145,1,1
0,0.12058987941880597,0,1
0,0.3686412210891248,1,0
1,0.5339528871348477,1,1
0,0.009778065896685747,0,1
0,0.002132623104483882,0,0
0,0.07683530206691191,0,1
0,0.0005247685043958483,0,0
1,0.7196319332621831,1,1
0,0.30067649189979084,0,1
1,0.6350906542786883,1,1
0,0.004045925641949526,0,0
0,0.011236298679434091,0,1
0,0.19910448046545315,1,0
0,0.0022529736664920214,0,1
1,0.8197326856865338,1,1
0,0.08317249171769812,0,1
0,0.008930312454729519,0,1
0,0.002672672212424696,0,0
0,0.029341071402683393,0,1
0,0.02134731322993523,0,1
0,0.00033227084073650316,0,0
0,0.0006462745054520509,0,0
0,0.002377102925812728,0,1
0,0.13508953499116902,1,1
1,0.9999999999999998,1,1
0,0.21018009704665835,0,1
0,0.01659020837430506,0,0
0,0.2521421970040747,0,0
0,0.0028671481438961445,0,0
0,0.11942000112981344,0,1
1,0.6976829470828031,0,1
0,0.2860484141778789,0,1
0,0.16757810754384925,1,1
0,0.14011442574371197,0,1
0,0.017881523640772348,0,0
1,0.9956143402531727,1,1
0,0.013325750478583575,0,1
0,0.38189954715099045,0,1
1,0.6650547501279,1,0
0,0.2828915143492029,0,1
0,0.29940341163031703,0,0
0,0.004413345900534183,0,0
0,0.0020165047543477983,0,1
0,0.007011749705133994,1,1
1,0.5125638952764291,1,0
0,0.28465454871064516,0,1
0,0.1931878021972828,0,1
0,0.0007418542458125561,0,0
1,0.5030166934944709,0,1
0,0.003632967053887283,0,1
0,0.0056103447851537066,0,0
0,0.0026243937181880685,0,1
0,0.018465788510810762,0,0
0,0.24330334502588816,1,1
0,0.3550181810275531,1,0
0,0.002461798922775528,0,0
0,0.0032307241273241503,0,0
0,0.014468566363361248,0,0
1,0.6518165815422073,1,1
0,0.017363666292354838,0,1
0,0.49788016857771944,0,1
0,0.30107800852709826,0,1
0,0.0034085001867376796,0,0
0,0.0260580090371451,0,0
1,0.8374916933983321,1,1
0,0.021284888179909426,0,0
0,0.009269355136962991,0,1
0,0.009240832583977605,0,0
0,0.01781321991533755,1,1
1,0.6170339842552794,0,1
0,0.04156613744528833,0,0
0,0.4504887988160473,0,1
1,0.6271633318976645,1,1
1,0.9853639966274794,1,1
0,0.050527870742033826,0,1
0,0.01891867980894595,0,0
0,0.0079005122607669,0,1
0,0.10477740118365535,0,1
0,0.0751833021495916,0,1
0,0.16456218694695035,0,1
0,0.17655090232007456,0,1
0,0.06099048007623375,1,0
0,0.001872907028811532,0,1
0,0.004687462126230808,0,1
0,0.009435495970227867,0,1
0,0.023411447862384558,1,1
0,0.1887550879933717,0,1
1,0.6408977532560075,1,1
0,0.013101554020361082,0,1
0,0.21876136230778417,0,1
0,0.018797982446227806,0,1
0,0.009002423980265987,0,1
0,0.004043863858285678,0,0
0,0.024389448144400753,0,1
0,0.009932107669746748,0,1
0,0.03794240698440461,0,1
0,0.3372327606903656,0,1
1,0.9934744560592945,1,1
0,0.023676763800976507,0,0
0,0.05173810059444715,0,1
0,0.000880212707967666,0,1
0,0.08964833179526573,1,1
0,0.011617816169364699,0,1
0,0.003613157895164643,0,0
0,0.053121028218502696,0,1
0,0.002839558316942599,0,1
0,0.09905542042126689,0,1
0,0.14891785838897098,0,0
1,0.7414163999882365,1,0
1,0.6405808021640371,1,1
0,0.1385375857487443,1,1
0,0.38797848505521265,0,0
0,0.0012402115271150785,0,1
0,0.017709416222514186,0,1
1,0.9932110882574882,1,1
0,0.23590364170227412,0,0
0,0.16999496715209775,0,1
0,0.01654493249796834,0,1
0,0.01123544366720966,0,1
1,0.5414715923342919,0,1
0,0.07223757675233025,0,1
0,0.021213600960399162,0,1
0,0.003582337188720603,0,0
1,0.8946325189930979,1,1
0,0.1993943559968779,0,1
0,0.2813428155161541,1,1
0,0.2039377972911083,0,0
0,0.0024874154625554525,0,0
0,0.00036105618299050085,0,0
1,0.537357439621299,0,1
0,0.008114823290954315,0,1
1,0.5039949708263493,1,0
0,0.00926635971130012,0,0
0,0.32755748604429985,1,1
0,0.261308911208059,0,0
1,0.9999999999975455,1,1
0,0.03838786324544488,0,0
0,0.0001787753261274392,0,0
0,0.0045035357289603265,0,0
1,0.6342660386580975,1,1
0,0.04582365707127202,0,0
0,0.006827183418517148,0,1
0,0.10680458179803487,0,1
0,0.06916730219576303,0,1
0,0.49662584880563426,0,1
0,0.12211562489734018,0,1
0,0.06323086683146432,0,1
1,0.576692456804334,1,1
0,0.0013903031297890385,0,1
0,0.283299545653627,0,1
1,0.9999999999946114,1,1
0,0.0006600255292252993,0,0
0,0.0017208994807831114,0,0
