y_test_pred,y_test_proba,y_test,A_test
1.0,0.5437110612131344,0,1
0.0,0.01308021153430927,0,1
0.0,0.007663377409272022,0,1
0.0,0.439316714637693,1,1
1.0,0.6086503160030163,1,1
0.0,0.1382006464453878,0,1
0.0,0.471045189830821,1,0
1.0,0.5558714024692442,1,1
0.0,0.019814578527731823,0,1
0.0,0.018970917235342482,0,0
0.0,0.12323535264115475,0,1
0.0,0.0007912840561263146,0,0
1.0,0.7539013124252139,1,1
0.0,0.47595254377070356,0,1
1.0,0.6512735071310842,1,1
0.0,0.002748565186408969,0,0
0.0,0.023438814073792984,0,1
0.0,0.43330186082821953,1,0
0.0,0.00019874090958428312,0,1
1.0,0.9111255887926728,1,1
0.0,0.07210441238912596,0,1
0.0,0.0017781209603724554,0,1
0.0,0.008464032912098712,0,0
0.0,0.0685170752319608,0,1
0.0,0.20443415544449786,0,1
0.0,0.0010714285714285715,0,0
0.0,0.0053917331860536735,0,0
0.0,0.27190815574693633,0,1
0.0,0.20686021846234354,1,1
1.0,0.9183183963843705,1,1
0.0,0.17219936863056318,0,1
0.0,0.03351673287921887,0,0
0.0,0.19934199089395818,0,0
0.0,0.002194275751338124,0,0
0.0,0.2997456389288279,0,1
1.0,0.793160235042192,0,1
0.0,0.2763047926089305,0,1
0.0,0.36015246061269074,1,1
0.0,0.18190557582376388,0,1
0.0,0.01610260337727095,0,0
1.0,0.9763656398651523,1,1
0.0,0.013195765336409966,0,1
0.0,0.4458050667398108,0,1
0.0,0.48508234703051856,1,0
0.0,0.489462003287923,0,1
0.0,0.37756155807489883,0,0
0.0,0.03237810664162106,0,0
0.0,0.0033956160214705924,0,1
1.0,0.6325771843485217,1,1
0.0,0.4479876787088334,1,0
0.0,0.36936214027614517,0,1
0.0,0.31366695157359725,0,1
0.0,0.0009138330757341581,0,0
1.0,0.5221841600131731,0,1
0.0,0.0037877339340017043,0,1
0.0,0.02065356220014599,0,0
0.0,0.0012673445068317958,0,1
0.0,0.016412223829183222,0,0
0.0,0.3345961567013034,1,1
0.0,0.3901786612665628,1,0
0.0,0.014171820715246983,0,0
0.0,0.006909157657491548,0,0
0.0,0.008080044075938689,0,0
1.0,0.7786492005357534,1,1
0.0,0.003705087169188461,0,1
0.0,0.4917828195512624,0,1
0.0,0.3633448836310411,0,1
0.0,0.007847067461509512,0,0
0.0,0.13303652187350357,0,0
1.0,0.7525395047981751,1,1
0.0,0.05394857850855773,0,0
0.0,0.013151172656527212,0,1
0.0,0.011046157939732322,0,0
0.0,0.30340045159371054,1,1
1.0,0.661445520270609,0,1
0.0,0.07261256047363834,0,0
1.0,0.5059566011893462,0,1
0.0,0.4249768189968123,1,1
1.0,0.9633833995460306,1,1
0.0,0.046865171036573124,0,1
0.0,0.03828059370446,0,0
0.0,0.11638791887475587,0,1
0.0,0.18580428197716858,0,1
0.0,0.1065086217327107,0,1
0.0,0.21271993251641058,0,1
0.0,0.2211503950019317,0,1
0.0,0.3243001707496928,1,0
0.0,0.0003333246011578865,0,1
0.0,0.0693864414212256,0,1
0.0,0.06528090407241244,0,1
0.0,0.028742093123703846,1,1
0.0,0.23161254983884763,0,1
1.0,0.5901267152725184,1,1
0.0,0.1097754586767073,0,1
0.0,0.2550046389456769,0,1
0.0,0.02631971851817205,0,1
0.0,0.010412162231983546,0,1
0.0,0.019041770717210332,0,0
0.0,0.10909359064288442,0,1
0.0,0.02813710795307716,0,1
0.0,0.05450668406902006,0,1
1.0,0.5437110612131344,0,1
1.0,0.9474923821332054,1,1
0.0,0.035946988601971416,0,0
0.0,0.15044973015454327,0,1
0.0,6.993006993006993e-05,0,1
0.0,0.12038924302402536,1,1
0.0,0.19016103012957838,0,1
0.0,0.010181870530688057,0,0
0.0,0.010138336637426769,0,1
0.0,0.0068746861877177325,0,1
0.0,0.1139693470989116,0,1
0.0,0.18805502352355555,0,0
1.0,0.6877340963103626,1,0
1.0,0.559908317405588,1,1
0.0,0.2035586112594089,1,1
0.0,0.4544457988727381,0,0
0.0,0.012078028138214899,0,1
0.0,0.053311759218826554,0,1
1.0,0.9598181333564881,1,1
0.0,0.3537076961048596,0,0
0.0,0.11214606993143629,0,1
0.0,0.01145689999917063,0,1
0.0,0.05857563417026548,0,1
0.0,0.2990888511424961,0,1
0.0,0.14658340148347865,0,1
0.0,0.009977686319871844,0,1
0.0,0.005070246528936859,0,0
1.0,0.9278616061410447,1,1
0.0,0.31697641652743536,0,1
0.0,0.3960420922388568,1,1
0.0,0.308929533500691,0,0
0.0,0.0003974271652604506,0,0
0.0,0.0008076923076923077,0,0
1.0,0.5900899736750115,0,1
0.0,0.05030649027522756,0,1
0.0,0.49076522561459185,1,0
0.0,0.02794998765693135,0,0
