y_test_pred,y_test_proba,y_test,A_test
0,0.38858507818252813,0,1
0,0.008758670126851976,0,1
0,0.00968032959558396,0,1
1,0.5087851674883616,1,1
1,0.5682642466033898,1,1
0,0.15493900110418735,0,1
1,0.5133218142091309,1,0
1,0.533032280385436,1,1
0,0.020397648680468863,0,1
0,0.016418254012553236,0,0
0,0.08329943630280355,0,1
0,0.0003448275862068966,0,0
1,0.6936097228339425,1,1
0,0.4649805311009985,0,1
1,0.6642227031247282,1,1
0,0.0018306636155606406,0,0
0,0.03180307595371229,0,1
0,0.35334273072785155,1,0
0,7.874015748031496e-05,0,1
1,0.8554743846820385,1,1
0,0.03668008252233595,0,1
0,0.0028739042566628776,0,1
0,0.012385639668849882,0,0
0,0.02664490948694999,0,1
0,0.21684693938386157,0,1
0,0.0,0,0
0,0.004620352594265638,0,0
0,0.21367041453965432,0,1
0,0.1570699462298256,1,1
1,0.8889306134063621,1,1
0,0.20156069357204642,0,1
0,0.037694820123288834,0,0
0,0.21395051016942773,0,0
0,0.0013104549082202713,0,0
0,0.23986903925628608,0,1
1,0.6824958461617346,0,1
0,0.20803215263910066,0,1
0,0.38861461159102695,1,1
0,0.16042824030013156,0,1
0,0.018285500364072893,0,0
1,0.9657684707059707,1,1
0,0.018082693040443777,0,1
0,0.3996196415496433,0,1
0,0.4854086579465588,1,0
0,0.19887548621249518,0,1
0,0.3181799508274348,0,0
0,0.014077613902749173,0,0
0,0.000296760710553814,0,1
1,0.5998763302335008,1,1
1,0.5111899455812844,1,0
0,0.40065149542919865,0,1
0,0.21589131184667193,0,1
0,0.0,0,0
1,0.6455276431333582,0,1
0,0.003694232894939435,0,1
0,0.02072895089605983,0,0
0,0.0,0,1
0,0.01640665510347748,0,0
0,0.3080931918782033,1,1
0,0.3912601539549694,1,0
0,0.01704285313849772,0,0
0,0.0049172949090364295,0,0
0,0.00875876096813298,0,0
1,0.6747479834434602,1,1
0,0.0012486318462414082,0,1
1,0.6442195143252293,0,1
0,0.368026479383861,0,1
0,0.005563285631872019,0,0
0,0.1254331159388702,0,0
1,0.6707060125404722,1,1
0,0.03220560256317941,0,0
0,0.00936178979975323,0,1
0,0.00835046863824964,0,0
0,0.28170983234853636,1,1
1,0.6922467102472538,0,1
0,0.06075900052328144,0,0
0,0.47168274146877676,0,1
0,0.4112101694995447,1,1
1,0.9685762343388318,1,1
0,0.060940364307630814,0,1
0,0.04279937072331759,0,0
0,0.0750506507591998,0,1
0,0.1279011749904861,0,1
0,0.053208908036207335,0,1
0,0.23332885869062808,0,1
0,0.20341321847811775,0,1
0,0.2807950731898805,1,0
0,0.00021131741821396995,0,1
0,0.07061324676216306,0,1
0,0.03875341690509146,0,1
0,0.04740557970513203,1,1
0,0.12136302437711038,0,1
1,0.5751488506747136,1,1
0,0.12931533503564346,0,1
0,0.3079836642727693,0,1
0,0.029398498732571464,0,1
0,0.008460063415172778,0,1
0,0.018167121472532542,0,0
0,0.0992574437800624,0,1
0,0.023170720145322964,0,1
0,0.04628624398206574,0,1
0,0.38858507818252813,0,1
1,0.9746342477064778,1,1
0,0.027408182014905035,0,0
0,0.18269822360562385,0,1
0,0.0,0,1
0,0.1054426414474716,1,1
0,0.14849338451081315,0,1
0,0.011784426853518201,0,0
0,0.012550301096279134,0,1
0,0.005567227340584799,0,1
0,0.12883285265760355,0,1
0,0.18057960064994208,0,0
1,0.661252530916035,1,0
1,0.531842040451922,1,1
0,0.1446725697250346,1,1
0,0.4077597123913997,0,0
0,0.013007307684897428,0,1
0,0.06686296356512582,0,1
1,0.973996151135686,1,1
0,0.3754601651493096,0,0
0,0.07023163217998439,0,1
0,0.0044924706396916175,0,1
0,0.033157905752236205,0,1
0,0.22213881012180212,0,1
0,0.11095801925083239,0,1
0,0.009675603816123033,0,1
0,0.0005320913561723764,0,0
1,0.9239263707955375,1,1
0,0.40112377805244714,0,1
0,0.2909982713168629,1,1
0,0.3627323667721896,0,0
0,0.00021131741821396995,0,0
0,0.0007675977653631284,0,0
1,0.5969271453994266,0,1
0,0.044399757858465255,0,1
1,0.5169627378968652,1,0
0,0.018929443830225937,0,0
1,0.5360052700891319,1,1
0,0.35100055069424146,0,0
1,0.9683652905229397,1,1
0,0.10727482508904496,0,0
0,0.02358535595805968,0,0
0,0.004771867265121382,0,0
1,0.6653820295235342,1,1
0,0.02754665434313143,0,0
0,0.0008439166655564881,0,1
0,0.14945768594769102,0,1
0,0.09429816686585676,0,1
1,0.5493337685261889,0,1
0,0.1026006814667376,0,1
0,0.05373086948040426,0,1
1,0.5266918816003072,1,1
0,0.002948636601303,0,1
0,0.3532372995255453,0,1
1,0.9868448244369366,1,1
0,0.0,0,0
0,0.0035316903760101515,0,0
1,0.9844954938726639,1,1
1,0.9695992847731978,1,1
0,0.00036091410559495665,0,0
0,0.012837950159902934,0,1
0,0.0003623201511132546,0,1
0,0.014915291076395266,0,1
1,0.9599473805207597,1,1
0,0.2901581201232703,0,1
1,0.7015510114685631,0,1
0,0.1394520287743495,0,1
0,0.35115203946047374,0,1
0,0.14023426129604952,0,1
1,0.6522882974472478,0,1
1,0.76724180363575,1,1
1,0.5267669716450231,1,1
1,0.5464690060926491,0,1
0,0.37668071097668715,0,1
0,0.08042108604351796,0,1
0,0.11658721464903488,0,1
0,4.424778761061947e-05,0,1
0,0.0027956950645848483,0,1
0,0.017562261120136133,0,0
0,0.086363858151267,0,1
1,0.6191190480423813,1,1
1,0.8339578185752485,1,1
0,0.024580162413189686,0,1
1,0.9727534132534134,1,1
0,0.07292302407028384,0,1
1,0.6169814683650918,1,1
1,0.5431460930874239,0,1
0,0.04924430972761493,0,0
0,0.007226718978744978,0,0
0,0.06996794352643886,0,0
0,0.1001248544160093,0,1
0,0.3434578567837334,0,1
0,0.4521580354045736,0,1
0,0.47751883519410293,0,1
1,0.7741275370937966,1,1
0,0.4355454895639207,1,1
0,0.016370668057101384,0,0
0,0.004677806948861631,0,0
0,0.10808180162135195,0,1
0,0.002455295732029198,0,0
1,0.6585040789196591,1,1
0,0.18130234280926438,0,0
0,0.013262954335692705,0,0
1,0.8353270984088885,1,1
0,0.0,0,0
0,0.0,0,1
0,0.3356042659304596,0,0
0,0.40216917569127364,1,1
1,0.7419868927138152,1,1
1,0.5289859925736223,0,1
0,0.0003623201511132546,0,1
1,0.8787863940158082,1,1
0,0.2859820042978529,1,1
0,0.016089074202504168,0,0
0,0.3875961082789101,0,1
0,0.13285881535677743,0,1
0,0.04586892478702348,0,0
0,0.31218168619307074,0,1
0,0.011524398168804259,0,1
0,0.41882817843811454,0,0
0,0.03227785201756149,0,1
0,0.22785337636661418,1,1
0,0.47159670374972656,1,1
0,0.32008872204951516,0,1
0,0.03475569315311231,0,1
1,0.9639343693069968,1,1
0,0.007194689580484272,0,0
0,0.0004166666666666666,0,0
0,0.006847564796976543,0,0
1,0.5824051951749157,1,1
0,0.0023130110630110623,0,1
1,0.6148487001755047,1,1
0,0.08016889885632675,0,1
0,0.08510013911446228,0,1
0,0.03147410311546238,0,1
0,5.1813471502590674e-05,0,0
1,0.9700724002022342,1,1
0,0.27844938229110344,0,1
1,0.8498502565823687,0,1
1,0.599651662157843,1,0
0,0.05053301022955898,0,1
0,0.36306201004640654,0,1
0,0.0027314325360116294,0,0
1,0.9422203625440048,1,1
0,0.009952842849317202,0,1
0,0.37268868071244254,1,1
1,0.9788814764125625,1,1
0,0.0296503774424691,0,1
1,0.7166414569080319,1,1
1,0.6081043545650927,1,1
0,0.24224668029570154,1,1
0,0.2780962562348008,1,1
0,0.0,0,0
1,0.6020240111107162,0,1
1,0.7205318703007331,1,1
0,0.035003735903561616,0,1
0,0.10777252991220841,0,1
0,0.0005594405594405594,0,0
1,0.797190470921381,1,1
1,0.9355586999880128,1,1
1,0.6754492233151623,0,1
0,3.9840637450199205e-05,0,1
0,0.28069609947620683,1,1
0,0.4433389145020724,0,1
0,0.16269823495204724,0,1
0,0.29639561061451813,0,1
0,0.02501224555502553,0,1
1,0.6421295162559366,0,1
0,0.040483045475989264,0,1
0,0.03535436924726265,0,1
0,0.30577331127447194,0,1
0,0.04870226618253856,0,1
0,0.0,0,1
0,0.3911996765202588,0,0
0,0.0,0,0
0,0.008400152880375513,0,1
0,0.0913963074919292,0,1
0,0.052130682270855176,0,0
0,0.2924292151823652,1,0
0,0.4743329412923471,0,1
1,0.517541266880017,1,1
1,0.6112365835890531,1,1
0,0.44585732461708005,0,1
1,0.5754901583649715,1,1
0,0.4015398400158402,1,1
1,0.9914255257164045,1,1
0,0.3463750641077798,0,1
0,0.0,0,1
0,0.013107593371518692,0,1
1,0.6971860692042616,1,1
0,0.2185922050541361,0,1
0,0.004700855965788269,0,1
0,0.010041369040402306,0,0
0,0.009383816297338034,0,0
0,0.0685375703757972,1,0
0,0.03797001208012697,0,1
0,0.02550608433270998,0,0
0,0.16195968876485198,0,1
0,0.010015792653686196,0,1
0,0.0019015041471938025,0,1
0,0.35626150066715606,0,1
0,0.19711512597439365,0,0
0,0.44313783996584677,0,1
0,0.003257337428631124,0,0
0,0.001178763675875506,0,1
0,0.32478396006241106,0,1
0,0.0035828839322038235,0,1
0,0.38797596047528393,1,1
0,0.11867719639232306,0,1
1,0.8215232548513196,1,1
0,0.3589636126041951,0,1
1,0.6571104038696612,1,1
1,0.8088281271414215,0,1
0,0.011499534786962154,0,0
0,0.017227920538426915,0,1
0,0.01905886631464403,0,1
1,0.8365919048577631,1,1
1,0.6582961906803659,1,1
1,0.640866516867112,0,1
0,0.3294444284924142,0,1
0,0.012408938873037461,0,1
0,0.0,0,0
0,0.004643160396298471,0,0
0,0.11183593969229769,0,0
0,0.018185626134992354,0,0
0,0.19581986586275707,0,0
1,0.5087851674883616,0,1
0,0.0009024211298606017,0,0
0,0.00022727272727272727,0,1
1,0.6496572263050399,1,1
0,0.02219381525119348,0,1
0,0.07770382604343617,0,1
0,0.005776971547161755,0,0
0,0.030229642716202758,0,0
0,0.04730939927219348,0,0
1,0.5713765551661958,1,1
0,0.00037037037037037035,0,1
0,4.424778761061947e-05,0,0
0,0.04707821670836424,0,0
1,0.5249473131381421,0,1
1,0.602113879697465,1,1
0,0.29772298358367205,1,1
0,0.09915380589697163,0,1
1,0.6079409582537503,1,1
0,0.0,0,0
0,0.08955872336379915,0,1
0,0.23958267656793208,0,0
0,0.0266446059625747,0,0
0,0.16998014283126628,0,0
1,0.9856110196252864,1,1
0,0.07179935206492442,0,1
1,0.528577024540216,1,1
0,0.009044559952823309,0,1
0,0.18282228523607294,0,1
