y_test_pred,y_test_proba,y_test,A_test
1.0,0.3803923033499597,0,1
0.0,0.007122271501224985,0,1
0.0,0.00956776672863832,0,1
1.0,0.46543603427982777,1,1
1.0,0.5440122023615455,1,1
0.0,0.14414341017161197,0,1
1.0,0.45737179710441594,1,0
1.0,0.5411448239139642,1,1
0.0,0.02350494424773455,0,1
0.0,0.018495983788313245,0,0
0.0,0.06727553550676586,0,1
0.0,0.0010371747211895912,0,0
1.0,0.705292486397659,1,1
1.0,0.49393094813238797,0,1
1.0,0.6809029767546437,1,1
0.0,0.004604438045925633,0,0
0.0,0.028174499628442522,0,1
1.0,0.33016059780463086,1,0
0.0,0.0007995657045995691,0,1
1.0,0.8477300951332921,1,1
0.0,0.020630717777584705,0,1
0.0,0.0025805648032836397,0,1
0.0,0.009397653154229784,0,0
0.0,0.025931697792261156,0,1
0.0,0.22376109373548564,0,1
0.0,6.570302233902762e-05,0,0
0.0,0.006577336824490527,0,0
0.0,0.2785497776271166,0,1
0.0,0.1569047956017237,1,1
1.0,0.8777023129088575,1,1
0.0,0.2106584463729915,0,1
0.0,0.04220796839072885,0,0
1.0,0.2210501351325349,0,0
0.0,0.00024752120415720937,0,0
0.0,0.2655598783591665,0,1
1.0,0.7519102767781095,0,1
0.0,0.21011230578527273,0,1
1.0,0.3632086084483827,1,1
0.0,0.15836909985353717,0,1
0.0,0.01217505674298161,0,0
1.0,0.9859049169368318,1,1
0.0,0.01727056443640279,0,1
1.0,0.3820243020888281,0,1
1.0,0.4723005705906513,1,0
0.0,0.21200138296276405,0,1
1.0,0.3447348526776819,0,0
0.0,0.018030768586834833,0,0
0.0,0.001505191793406746,0,1
1.0,0.6209289744933206,1,1
1.0,0.4737200307225985,1,0
0.0,0.3160586826378587,0,1
0.0,0.209579325676357,0,1
0.0,0.0003161121025937657,0,0
1.0,0.6272001461944393,0,1
0.0,0.00471831261286861,0,1
0.0,0.022996861172184416,0,0
0.0,0.0006320002070657729,0,1
0.0,0.02016040826121559,0,0
0.0,0.33856904733256776,1,1
1.0,0.37398660835690956,1,0
0.0,0.01663382379976316,0,0
0.0,0.0048867523971495505,0,0
0.0,0.0089627247118316,0,0
1.0,0.6544743839480961,1,1
0.0,0.0015789641238353489,0,1
1.0,0.6215893577142876,0,1
1.0,0.37193471454793114,0,1
0.0,0.007420613776911731,0,0
1.0,0.09462703243043141,0,0
1.0,0.6445155139141131,1,1
0.0,0.026858871195708872,0,0
0.0,0.005569676900580094,0,1
0.0,0.006660244890606115,0,0
0.0,0.31510213806820336,1,1
1.0,0.7083971898354098,0,1
0.0,0.06501869982813593,0,0
1.0,0.5041491586593029,0,1
1.0,0.3893126671036681,1,1
1.0,0.9907079365079365,1,1
0.0,0.04842914480694281,0,1
0.0,0.04983350438842741,0,0
0.0,0.07189767188126599,0,1
0.0,0.11121642485256394,0,1
0.0,0.05383746393437989,0,1
0.0,0.24796739708891705,0,1
0.0,0.20274395932586983,0,1
1.0,0.25329059170157286,1,0
0.0,0.0001336658837203671,0,1
0.0,0.07059018908230241,0,1
0.0,0.05644726000518475,0,1
0.0,0.05485112472268238,1,1
0.0,0.1315374894151447,0,1
1.0,0.5752160486356293,1,1
0.0,0.10160967250304927,0,1
