y_test_pred,y_test_proba,y_test,A_test
0,0.295392862300704,0,1
0,0.005932402723551277,0,1
0,0.004962584618447477,0,1
0,0.38838735780495093,1,1
1,0.5081820544437505,1,1
0,0.12468743788706872,0,1
1,0.7297699637051638,1,0
0,0.46970172238989893,1,1
0,0.015086427091548803,0,1
0,0.026366694978554095,0,0
0,0.1325485186808204,0,1
0,0.0043874037072777275,0,0
1,0.6283001805074885,1,1
0,0.37728656547922307,0,1
1,0.6065686834278151,1,1
0,0.0008163365748473997,0,0
0,0.031195040853030473,0,1
0,0.43060129322721896,1,0
0,0.0003650318021312434,0,1
1,0.8161281794237486,1,1
0,0.023306916180854863,0,1
0,0.002652422185915568,0,1
0,0.007156097441832006,0,0
0,0.0446317032980853,0,1
0,0.3485714634569494,0,1
0,0.00022841782339177763,0,0
0,0.014904715895139491,0,0
0,0.19582366178280367,0,1
0,0.10261676198408293,1,1
1,0.8954660806134682,1,1
0,0.16931187957553634,0,1
0,0.08446928137310011,0,0
0,0.2838876376083168,0,0
0,0.0003362510714737686,0,0
0,0.20250175974376466,0,1
1,0.6423934976581795,0,1
0,0.16653684466132432,0,1
0,0.40952526620736235,1,1
0,0.2150743034293053,0,1
0,0.038556863029495785,0,0
1,0.9746174542503125,1,1
0,0.021700332183423054,0,1
0,0.35530742711110946,0,1
1,0.6851827274924275,1,0
0,0.12629512735554096,0,1
0,0.4522303416252728,0,0
0,0.02971363640609784,0,0
0,0.00041309075908642817,0,1
1,0.5054352649583909,1,1
1,0.7370624392367124,1,0
0,0.31635591315106526,0,1
0,0.15333541345953883,0,1
0,2.8086935383631226e-06,0,0
1,0.6031238517094717,0,1
0,0.005384299506207928,0,1
0,0.035288448794634074,0,0
0,0.0007153332745254132,0,1
0,0.02224228207340156,0,0
0,0.25417108922821025,1,1
1,0.6540870002963252,1,0
0,0.026639425152049777,0,0
0,0.011328724770189832,0,0
0,0.005484917559832537,0,0
1,0.5916391383639172,1,1
0,0.004679582353910872,0,1
1,0.5816934319359623,0,1
0,0.2817092196142823,0,1
0,0.010631782067375879,0,0
0,0.13735980964410696,0,0
1,0.6573334593156961,1,1
