y_test_pred,y_test_proba,y_test,A_test
0.0,0.32365152,0,1
0.0,0.005953998,0,1
0.0,0.013500937,0,1
0.0,0.26164374,1,1
0.0,0.38354868,1,1
0.0,0.051226083,0,1
1.0,0.71116596,1,0
0.0,0.46835965,1,1
0.0,0.013698102,0,1
0.0,0.012473619,0,0
0.0,0.09876586,0,1
0.0,0.00028975558,0,0
1.0,0.6951402,1,1
0.0,0.19666454,0,1
1.0,0.6280605,1,1
0.0,0.0025225242,0,0
0.0,0.006400788,0,1
0.0,0.3516653,1,0
0.0,0.0010324292,0,1
1.0,0.81747437,1,1
0.0,0.020141559,0,1
0.0,0.013372337,0,1
0.0,0.008298733,0,0
0.0,0.026666848,0,1
0.0,0.22786719,0,1
0.0,0.0011602803,0,0
0.0,0.0009579759,0,0
0.0,0.019929213,0,1
0.0,0.112013035,1,1
1.0,0.9579069,1,1
0.0,0.1760391,0,1
0.0,0.019674584,0,0
0.0,0.13177387,0,0
0.0,0.0010099395,0,0
0.0,0.12823874,0,1
1.0,0.6364295,0,1
0.0,0.21784939,0,1
0.0,0.36003625,1,1
0.0,0.151092,0,1
0.0,0.040781613,0,0
1.0,0.99856025,1,1
0.0,0.017883461,0,1
0.0,0.39641,0,1
1.0,0.52196413,1,0
0.0,0.20591512,0,1
0.0,0.39758593,0,0
0.0,0.012885545,0,0
0.0,0.0007371061,0,1
1.0,0.9377886,1,1
1.0,0.70916915,1,0
0.0,0.19918394,0,1
0.0,0.18178856,0,1
0.0,0.00032201287,0,0
1.0,0.5259611,0,1
0.0,0.0004913126,0,1
0.0,0.01692099,0,0
0.0,0.002751207,0,1
0.0,0.018134473,0,0
0.0,0.19347991,1,1
1.0,0.5679984,1,0
0.0,0.0049704406,0,0
0.0,0.003013793,0,0
0.0,0.0061077634,0,0
1.0,0.6059267,1,1
0.0,0.00010129874,0,1
1.0,0.52065045,0,1
0.0,0.2701396,0,1
0.0,0.007950606,0,0
0.0,0.100609146,0,0
1.0,0.9437068,1,1
0.0,0.031725727,0,0
0.0,0.0068951077,0,1
0.0,0.02270471,0,0
1.0,0.8241498,1,1
1.0,0.69265175,0,1
0.0,0.03787395,0,0
0.0,0.47699448,0,1
1.0,0.71480346,1,1
1.0,0.997686,1,1
0.0,0.01833974,0,1
0.0,0.020314809,0,0
0.0,0.004324879,0,1
0.0,0.019680195,0,1
0.0,0.023554511,0,1
0.0,0.16747843,0,1
1.0,0.51702654,0,1
0.0,0.13688035,1,0
0.0,0.0016932881,0,1
0.0,0.014528977,0,1
0.0,0.01266669,0,1
0.0,0.039564583,1,1
0.0,0.1637572,0,1
1.0,0.54990625,1,1
0.0,0.011160063,0,1
0.0,0.17033125,0,1
0.0,0.010276732,0,1
0.0,0.009166309,0,1
0.0,0.015412355,0,0
0.0,0.05288761,0,1
0.0,0.015228156,0,1
0.0,0.02359094,0,1
0.0,0.32365152,0,1
1.0,0.99601173,1,1
0.0,0.035889234,0,0
0.0,0.07180148,0,1
0.0,0.0014375753,0,1
0.0,0.09153126,1,1
0.0,0.044587795,0,1
0.0,0.0139414845,0,0
0.0,0.0018859502,0,1
0.0,0.0039282735,0,1
0.0,0.12889752,0,1
0.0,0.26570112,0,0
1.0,0.845566,1,0
0.0,0.43754426,1,1
0.0,0.09860425,1,1
0.0,0.4933259,0,0
0.0,0.0041237003,0,1
0.0,0.063701086,0,1
1.0,0.9965905,1,1
1.0,0.7588185,0,0
0.0,0.044598285,0,1
0.0,0.018772114,0,1
0.0,0.033614226,0,1
0.0,0.011325163,0,1
0.0,0.08799731,0,1
0.0,0.05100931,0,1
0.0,0.0033380142,0,0
1.0,0.98535025,1,1
1.0,0.5241512,0,1
0.0,0.22159535,1,1
0.0,0.7527288,0,0
0.0,0.0022902503,0,0
0.0,0.00060091,0,0
1.0,0.5767083,0,1
0.0,0.035859704,0,1
1.0,0.96349615,1,0
0.0,0.005934694,0,0
0.0,0.32969657,1,1
0.0,0.46454826,0,0
1.0,0.9997404,1,1
0.0,0.16528785,0,0
0.0,0.0034113065,0,0
0.0,0.002769207,0,0
1.0,0.67199963,1,1
0.0,0.0505253,0,0
0.0,0.014387385,0,1
0.0,0.27646583,0,1
0.0,0.0037065682,0,1
1.0,0.53964174,0,1
0.0,0.07764434,0,1
0.0,0.07649374,0,1
0.0,0.48923343,1,1
0.0,0.0019722222,0,1
0.0,0.27008364,0,1
1.0,0.9989403,1,1
0.0,0.00028974924,0,0
0.0,0.0007160788,0,0
1.0,0.99396616,1,1
1.0,0.9986003,1,1
0.0,0.00019476857,0,0
0.0,0.013333607,0,1
0.0,0.0013175871,0,1
0.0,0.015277819,0,1
1.0,0.99099416,1,1
0.0,0.14287539,0,1
1.0,0.656337,0,1
0.0,0.11955666,0,1
0.0,0.3512605,0,1
0.0,0.093384944,0,1
1.0,0.523658,0,1
1.0,0.7256664,1,1
0.0,0.40183252,1,1
0.0,0.3953466,0,1
0.0,0.27780968,0,1
0.0,0.03789813,0,1
0.0,0.11328243,0,1
0.0,0.00010149193,0,1
0.0,0.0077632354,0,1
0.0,0.008994244,0,0
0.0,0.044875026,0,1
1.0,0.8747924,1,1
1.0,0.9750611,1,1
0.0,0.00086176407,0,1
1.0,0.9933717,1,1
0.0,0.061593544,0,1
0.0,0.45424294,1,1
1.0,0.596505,0,1
0.0,0.061186954,0,0
0.0,0.0022316724,0,0
0.0,0.041544486,0,0
0.0,0.07841697,0,1
0.0,0.18934286,0,1
0.0,0.35533646,0,1
0.0,0.3205901,0,1
1.0,0.9764509,1,1
0.0,0.3172201,1,1
0.0,0.00053581886,0,0
0.0,0.018672682,0,0
0.0,0.1117275,0,1
0.0,0.0033004184,0,0
0.0,0.4833182,1,1
0.0,0.21741116,0,0
0.0,0.014624683,0,0
1.0,0.9776764,1,1
0.0,0.00019540249,0,0
0.0,0.0004509711,0,1
0.0,0.40375024,0,0
0.0,0.31672233,1,1
1.0,0.7036369,1,1
0.0,0.402228,0,1
0.0,0.00092239154,0,1
1.0,0.88395965,1,1
0.0,0.20974737,1,1
0.0,0.01192085,0,0
0.0,0.020979837,0,1
0.0,0.10474156,0,1
1.0,0.027212054,0,0
0.0,0.2793072,0,1
0.0,0.0017009815,0,1
1.0,0.5059674,0,0
0.0,0.009231473,0,1
0.0,0.21042813,1,1
0.0,0.37953165,1,1
0.0,0.22896625,0,1
0.0,0.03216258,0,1
1.0,0.99884963,1,1
0.0,0.015391594,0,0
0.0,0.00014746664,0,0
0.0,0.009683583,0,0
1.0,0.96430457,1,1
0.0,0.00018587043,0,1
0.0,0.49245554,1,1
0.0,0.048596248,0,1
0.0,0.05031976,0,1
0.0,0.010435667,0,1
0.0,0.0004722729,0,0
1.0,0.9988399,1,1
0.0,0.23434147,0,1
1.0,0.8289306,0,1
0.0,0.8430726,1,0
0.0,0.1435411,0,1
0.0,0.4104622,0,1
0.0,0.0006468435,0,0
1.0,0.9941766,1,1
0.0,0.017801613,0,1
1.0,0.8805809,1,1
1.0,0.9992322,1,1
0.0,0.012452938,0,1
1.0,0.9652564,1,1
1.0,0.51163185,1,1
0.0,0.22522332,1,1
0.0,0.1614278,1,1
0.0,0.0008105877,0,0
0.0,0.07799725,0,1
1.0,0.7020182,1,1
0.0,0.011631485,0,1
0.0,0.057339128,0,1
0.0,0.0003590139,0,0
1.0,0.95142525,1,1
1.0,0.98885286,1,1
1.0,0.6557559,0,1
0.0,0.00032493236,0,1
0.0,0.2112953,1,1
0.0,0.32726038,0,1
0.0,0.07304367,0,1
0.0,0.29712474,0,1
0.0,0.0037215443,0,1
1.0,0.61652166,0,1
0.0,0.0134232715,0,1
0.0,0.030965963,0,1
0.0,0.23671052,0,1
0.0,0.07532672,0,1
0.0,0.0004160304,0,1
0.0,0.24985221,0,0
1.0,0.0009981142,0,0
0.0,0.06306816,0,1
0.0,0.17167807,0,1
0.0,0.04895473,0,0
0.0,0.42027196,1,0
0.0,0.34546074,0,1
1.0,0.56646734,1,1
1.0,0.5227793,1,1
0.0,0.4614967,0,1
0.0,0.4798144,1,1
0.0,0.34065264,1,1
1.0,0.9984958,1,1
0.0,0.22521296,0,1
0.0,0.003326738,0,1
0.0,0.001175836,0,1
1.0,0.6650445,1,1
0.0,0.019022925,0,1
0.0,0.019789007,0,1
0.0,0.004698361,0,0
0.0,0.013232188,0,0
0.0,0.48660818,1,0
0.0,0.0721597,0,1
0.0,0.050836284,0,0
0.0,0.12887247,0,1
0.0,0.026609851,0,1
