y_test_pred,y_test_proba,y_test,A_test
0.0,0.249996710925813,0,1
0.0,0.033526056145446265,0,1
0.0,0.07777553794945986,0,1
0.0,0.20407073486956703,1,1
1.0,0.6829752653842889,1,1
0.0,0.07710061271953639,0,1
1.0,0.694127737829724,1,0
0.0,0.36902332079634836,1,1
0.0,0.009594830733595499,0,1
0.0,0.02910276067068442,0,0
0.0,0.10372524265716057,0,1
0.0,0.008224131765817752,0,0
1.0,0.6517975134659137,1,1
0.0,0.42466842033103347,0,1
1.0,0.6055970900392745,1,1
0.0,0.02192808772069527,0,0
0.0,0.00162290226749344,0,1
0.0,0.2891781482741953,1,0
0.0,0.01604794161409201,0,1
1.0,0.801033249652523,1,1
0.0,0.1372690901749005,0,1
0.0,0.030476166338040834,0,1
0.0,0.00675839423270491,0,0
0.0,0.04583156695165674,0,1
0.0,0.1345380983947877,0,1
0.0,0.0028046049659944433,0,0
0.0,0.007532565288607235,0,0
1.0,0.5925717955268857,0,1
0.0,0.12048306898567024,1,1
1.0,0.9986100266279975,1,1
0.0,0.224540337803397,0,1
0.0,0.0327191530869647,0,0
0.0,0.17424821785545225,0,0
0.0,0.0013619855702532771,0,0
0.0,0.06516982445670691,0,1
1.0,0.7265216272890869,0,1
0.0,0.30233233291943384,0,1
0.0,0.12778341498249857,1,1
0.0,0.21858257928496816,0,1
0.0,0.036335782669849506,0,0
1.0,0.9705968182121577,1,1
0.0,0.04086959236375097,0,1
0.0,0.38860441969366427,0,1
1.0,0.8845096315555068,1,0
0.0,0.15359805457035192,0,1
0.0,0.33097744828130204,0,0
0.0,0.02697383662477427,0,0
0.0,0.01148364586788243,0,1
1.0,0.7666672245905274,1,1
1.0,0.6737218981469837,1,0
0.0,0.23487570201186472,0,1
0.0,0.16130879937566808,0,1
0.0,0.008467151129902484,0,0
0.0,0.4232549877861747,0,1
0.0,0.0007184915879782165,0,1
0.0,0.058347007250043666,0,0
0.0,0.021107822842261172,0,1
0.0,0.05424671950746163,0,0
0.0,0.11361157594873027,1,1
0.0,0.49738663432881647,1,0
0.0,0.027586556814057656,0,0
0.0,0.029206955202725475,0,0
0.0,0.07608158738129675,0,0
1.0,0.5006881489151304,1,1
0.0,0.00749455512227792,0,1
0.0,0.4290888363300022,0,1
0.0,0.2781750470560981,0,1
0.0,0.019991311487160837,0,0
0.0,0.06684160065320201,0,0
1.0,0.7669924465679394,1,1
0.0,0.0848541898831962,0,0
0.0,0.006942731047646469,0,1
0.0,0.02546967407469197,0,0
0.0,0.4919793736691633,1,1
1.0,0.5072833103529787,0,1
0.0,0.026189612349121955,0,0
1.0,0.5232081843976472,0,1
1.0,0.6574954452542733,1,1
1.0,0.9422411145753722,1,1
0.0,0.012373197512799056,0,1
0.0,0.0049861942349130155,0,0
0.0,0.30874350371562603,0,1
0.0,0.046461332734111536,0,1
0.0,0.03899174426161017,0,1
0.0,0.22318337226117832,0,1
0.0,0.48374079454662283,0,1
0.0,0.14345229005169874,1,0
0.0,0.02342388325451409,0,1
0.0,0.021552835446097835,0,1
0.0,0.007800146486094127,0,1
0.0,0.053942146142112894,1,1
0.0,0.11503096572549117,0,1
1.0,0.6902239252252371,1,1
0.0,0.23451877637039312,0,1
0.0,0.13169363159970274,0,1
0.0,0.01075668847433701,0,1
0.0,0.061351998892327675,0,1
0.0,0.020997415504370013,0,0
0.0,0.022413070674978993,0,1
0.0,0.036740453613859095,0,1
0.0,0.03100706020981884,0,1
0.0,0.249996710925813,0,1
1.0,0.9224881628585291,1,1
0.0,0.08126740571440183,0,0
0.0,0.09572231169146568,0,1
0.0,0.008531129711661346,0,1
0.0,0.12489334114118683,1,1
0.0,0.3045317469019876,0,1
0.0,0.01051786837573768,0,0
0.0,0.0123484633777046,0,1
0.0,0.014108061289768081,0,1
0.0,0.190193456752437,0,1
0.0,0.20826396231844985,0,0
1.0,0.8917344987129822,1,0
1.0,0.5475660959915976,1,1
0.0,0.11310289604651436,1,1
1.0,0.6823124624460587,0,0
0.0,0.011606655731268374,0,1
0.0,0.08011752927932743,0,1
1.0,0.9520196687919062,1,1
1.0,0.6362001780042167,0,0
0.0,0.051842899898647224,0,1
0.0,0.048577526285842214,0,1
0.0,0.023219520349624243,0,1
0.0,0.16949742911298674,0,1
0.0,0.08585419810196168,0,1
0.0,0.06444618142198551,0,1
0.0,0.0035449306818151377,0,0
1.0,0.9268879840684882,1,1
0.0,0.1646379759132819,0,1
0.0,0.15092032510251419,1,1
1.0,0.5096426219879966,0,0
0.0,0.026854956168183307,0,0
0.0,0.0012108944419132422,0,0
1.0,0.7689441474211803,0,1
0.0,0.028521809191508152,0,1
1.0,0.7921516376009958,1,0
0.0,0.047753969290947794,0,0
0.0,0.1999047261027483,1,1
1.0,0.5770387715768592,0,0
1.0,0.9981539054990277,1,1
0.0,0.19476859812390165,0,0
0.0,0.03995692136038132,0,0
0.0,0.003539140836080944,0,0
1.0,0.6006804736286884,1,1
0.0,0.08115752471701732,0,0
0.0,0.021434511342249187,0,1
0.0,0.12692782569243657,0,1
0.0,0.11433696120308613,0,1
0.0,0.4099951654256054,0,1
0.0,0.05580490631813746,0,1
0.0,0.08914325515650345,0,1
0.0,0.4235419904631755,1,1
0.0,0.010194755263493583,0,1
0.0,0.1357849383567287,0,1
1.0,0.99570863023242,1,1
0.0,0.0007736201397688504,0,0
0.0,0.008172042395602251,0,0
1.0,0.7415218727476246,1,1
1.0,0.9828196178133192,1,1
0.0,0.013406751090259773,0,0
0.0,0.017765380810874896,0,1
0.0,0.00897532015939562,0,1
0.0,0.04240977054950433,0,1
1.0,0.7176760294547609,1,1
0.0,0.19869396499664252,0,1
1.0,0.6690562057501809,0,1
0.0,0.16107728886974912,0,1
0.0,0.2295275901752576,0,1
0.0,0.08868265368992333,0,1
0.0,0.4134705704259473,0,1
1.0,0.6596987398977071,1,1
0.0,0.4994219348361335,1,1
0.0,0.3725236092929116,0,1
0.0,0.25871948778294784,0,1
0.0,0.054705209246617544,0,1
0.0,0.15045301464946634,0,1
0.0,0.0007863802323774044,0,1
0.0,0.022464462182735675,0,1
0.0,0.007752640851371876,0,0
0.0,0.06235912799029482,0,1
0.0,0.4737370960747974,1,1
1.0,0.6998283548784151,1,1
0.0,0.03054524326998371,0,1
1.0,0.9881226360126605,1,1
0.0,0.1459666256133566,0,1
0.0,0.44003094467269,1,1
1.0,0.5135289753640937,0,1
0.0,0.0624698724179081,0,0
0.0,0.023340833211052677,0,0
0.0,0.09609265353625711,0,0
0.0,0.17105368262701565,0,1
0.0,0.0887182007501291,0,1
1.0,0.5375899182454269,0,1
0.0,0.28270204410176036,0,1
1.0,0.7682127935117428,1,1
0.0,0.24416493470827555,1,1
0.0,0.01795609572260331,0,0
0.0,0.03934617661669048,0,0
0.0,0.08769814569176086,0,1
0.0,0.008195972132509508,0,0
0.0,0.44775981664708314,1,1
0.0,0.38995730395351447,0,0
0.0,0.025463334619416595,0,0
1.0,0.5192983981117456,1,1
0.0,0.005445230095576564,0,0
0.0,0.00607437067210337,0,1
0.0,0.4649054749826769,0,0
0.0,0.29815147188704677,1,1
1.0,0.6316405580728669,1,1
0.0,0.43952536695761013,0,1
0.0,0.008560728250678051,0,1
1.0,0.8691652457795507,1,1
0.0,0.2921663676016521,1,1
0.0,0.06308039996311324,0,0
0.0,0.41453913421933936,0,1
0.0,0.3240396865237536,0,1
