y_test_pred,y_test_proba,y_test,A_test
0.0,0.4433182043190782,0,1
0.0,0.012501944436926418,0,1
0.0,0.02795775879655973,0,1
0.0,0.4193551240218114,1,1
1.0,0.5887023087918636,1,1
0.0,0.10398724700923892,0,1
1.0,0.610802063168241,1,0
1.0,0.6012538071865244,1,1
0.0,0.022798013239263858,0,1
0.0,0.003773555119643395,0,0
0.0,0.1778913650811199,0,1
0.0,0.00013836003015207715,0,0
1.0,0.8038806387567425,1,1
0.0,0.38112204002190064,0,1
1.0,0.7266151770344478,1,1
0.0,0.004235474467855259,0,0
0.0,0.005638032188662268,0,1
0.0,0.3190290320994696,1,0
0.0,0.0034744339145958954,0,1
1.0,0.8903832664927734,1,1
0.0,0.08322543594226674,0,1
0.0,0.007033511247600369,0,1
0.0,0.0014237515397270356,0,0
0.0,0.06372687991914787,0,1
0.0,0.05058941082112387,0,1
0.0,0.000210747668735812,0,0
0.0,0.0007564722109756274,0,0
0.0,0.11957434587393675,0,1
0.0,0.14936940614545502,1,1
1.0,0.9999993855647433,1,1
0.0,0.1906465419269526,0,1
0.0,0.01860419572258358,0,0
0.0,0.2867447290732608,0,0
0.0,0.0011086443034068355,0,0
0.0,0.17593495936357292,0,1
1.0,0.8487151787455538,0,1
0.0,0.39854176331758345,0,1
0.0,0.24954904496249372,1,1
0.0,0.2817282675422323,0,1
0.0,0.01500666276914534,0,0
1.0,0.8946933063604022,1,1
0.0,0.01533897747815604,0,1
1.0,0.5383719776380844,0,1
1.0,0.5148669786398447,1,0
0.0,0.34793747644654466,0,1
0.0,0.4393343952778405,0,0
0.0,0.006304200756651146,0,0
0.0,0.0011774841341639299,0,1
0.0,0.14618395251735886,1,1
1.0,0.6188708056425383,1,0
0.0,0.4017282472043183,0,1
0.0,0.2885700115062843,0,1
0.0,0.0004036258669363719,0,0
1.0,0.6401969943392539,0,1
0.0,0.0023005720258737965,0,1
0.0,0.01324552817828271,0,0
0.0,0.001996399917543938,0,1
0.0,0.01664709708089876,0,0
0.0,0.25774651034649904,1,1
0.0,0.36875641260520003,1,0
0.0,0.0024826271026387797,0,0
0.0,0.0016183846878063436,0,0
0.0,0.022226192129935245,0,0
1.0,0.7378915225670338,1,1
0.0,0.07550488907452722,0,1
1.0,0.6360102874068064,0,1
0.0,0.45118755532119525,0,1
0.0,0.006091019530390256,0,0
0.0,0.079010786235984,0,0
1.0,0.7912446264643509,1,1
0.0,0.02044340249567149,0,0
0.0,0.00679059557624541,0,1
0.0,0.018970931051634332,0,0
0.0,0.15270526126810652,1,1
1.0,0.7223903060355414,0,1
0.0,0.022756937027679898,0,0
1.0,0.6236026377783469,0,1
1.0,0.694158406005732,1,1
1.0,0.8385313646094376,1,1
0.0,0.03077388713835036,0,1
0.0,0.006512605212471317,0,0
0.0,0.128819477494409,0,1
0.0,0.12734199044382577,0,1
0.0,0.06734657292729031,0,1
0.0,0.21375141859962576,0,1
0.0,0.21651082610678282,0,1
0.0,0.13056082702216326,1,0
0.0,0.0014276068215320033,0,1
0.0,0.010357424896794963,0,1
0.0,0.0232648722201447,0,1
0.0,0.037088524035760795,1,1
0.0,0.19148003788455983,0,1
