y_test_pred,y_test_proba,y_test,A_test
0.0,0.38020719139438525,0,1
0.0,0.02241068791145253,0,1
0.0,0.06260775095191341,0,1
0.0,0.3999901447857214,1,1
1.0,0.5321573043301836,1,1
0.0,0.15402027155452552,0,1
1.0,0.5201494707740227,1,0
1.0,0.6111725234355182,1,1
0.0,0.019112091538870585,0,1
0.0,0.012242950307079588,0,0
0.0,0.140421154504024,0,1
0.0,0.004607334743708715,0,0
1.0,0.7969733152232761,1,1
0.0,0.393054079195079,0,1
1.0,0.6991974194020378,1,1
0.0,0.01881762790334617,0,0
0.0,0.03166655873675025,0,1
0.0,0.2975225016086246,1,0
0.0,0.012171677403619647,0,1
1.0,0.8809321077776825,1,1
0.0,0.14258011961101566,0,1
0.0,0.030701443745834882,0,1
0.0,0.007741170085705185,0,0
0.0,0.06799015855107111,0,1
0.0,0.09347723605338155,0,1
0.0,0.002953721594637941,0,0
0.0,0.0050484635805991595,0,0
0.0,0.44749333768680893,0,1
0.0,0.1513046851574092,1,1
1.0,0.9685902968559592,1,1
0.0,0.2657187568106096,0,1
0.0,0.04260214118758201,0,0
1.0,0.3649219305085538,0,0
0.0,0.01156398258304164,0,0
0.0,0.1941584203667288,0,1
1.0,0.7784631201220614,0,1
0.0,0.32044456066001925,0,1
0.0,0.27802494789844157,1,1
0.0,0.2042676477273553,0,1
0.0,0.039034450550548314,0,0
1.0,0.6586432004366458,1,1
0.0,0.050324190850872835,0,1
1.0,0.5182812913287205,0,1
1.0,0.8622144056338117,1,0
0.0,0.33427749986827937,0,1
0.0,0.36761570024495166,0,0
0.0,0.012462813811255122,0,0
0.0,0.007873960393484983,0,1
0.0,0.439401097053876,1,1
1.0,0.6075596457763145,1,0
0.0,0.41124765078193176,0,1
0.0,0.29164300773743174,0,1
0.0,0.004889615207472159,0,0
1.0,0.5488482842502256,0,1
0.0,0.010973421671852737,0,1
0.0,0.03099730913679036,0,0
0.0,0.01139159762983901,0,1
0.0,0.06847267472561362,0,0
0.0,0.2702299925953478,1,1
1.0,0.3974339851036202,1,0
1.0,0.010459789644081464,0,0
0.0,0.012414666148496515,0,0
0.0,0.05603442782833518,0,0
1.0,0.715592963368757,1,1
0.0,0.23934601057239066,0,1
1.0,0.5430950479869032,0,1
0.0,0.42367830436753434,0,1
1.0,0.025946524345507826,0,0
0.0,0.06371364011786967,0,0
1.0,0.9113599772478802,1,1
0.0,0.050313587493052404,0,0
0.0,0.027882266652937904,0,1
0.0,0.027669076131482822,0,0
0.0,0.4491198912357966,1,1
1.0,0.6809130903335922,0,1
1.0,0.08294565565738436,0,0
1.0,0.6052114372970738,0,1
1.0,0.7064818109428517,1,1
0.0,0.6517444673816859,1,1
0.0,0.08136437337795703,0,1
0.0,0.046842008129258754,0,0
0.0,0.4279627105072633,0,1
0.0,0.16805087803352156,0,1
0.0,0.08025093893092448,0,1
0.0,0.27941985785523327,0,1
0.0,0.3779446940611478,0,1
0.0,0.156391422524857,1,0
0.0,0.009961414244318316,0,1
0.0,0.012313225391492688,0,1
0.0,0.02772710576005685,0,1
0.0,0.06829285214638273,1,1
0.0,0.22144253349010146,0,1
1.0,0.7618712646557414,1,1
0.0,0.44357223777880583,0,1
0.0,0.24430679699431926,0,1
0.0,0.045223043724291784,0,1
0.0,0.022999315816895967,0,1
0.0,0.029428856842681025,0,0
0.0,0.04623753281816467,0,1
0.0,0.033315142686821134,0,1
0.0,0.09638853789735974,0,1
0.0,0.38020719139438525,0,1
1.0,0.6551998178599651,1,1
0.0,0.07845433750944898,0,0
0.0,0.10780969764895032,0,1
0.0,0.006567383063523783,0,1
0.0,0.0824528191066383,1,1
0.0,0.445177208846602,0,1
0.0,0.016298765682062195,0,0
0.0,0.12905834338898234,0,1
0.0,0.011903969191649702,0,1
0.0,0.2114606367090833,0,1
0.0,0.3072108985256575,0,0
1.0,0.816569165710367,1,0
1.0,0.7159068961518342,1,1
0.0,0.16134556551413792,1,1
0.0,0.3991296922970896,0,0
0.0,0.012639058989039623,0,1
0.0,0.06519328819051667,0,1
0.0,0.653026830762725,1,1
0.0,0.3750088703437237,0,0
0.0,0.2570752967716584,0,1
0.0,0.05615815369032854,0,1
0.0,0.02617222461624688,0,1
1.0,0.739650390309418,0,1
0.0,0.1506147792974574,0,1
0.0,0.06578590804890017,0,1
0.0,0.012576438647197484,0,0
1.0,0.9524364911347591,1,1
0.0,0.3823414671923558,0,1
0.0,0.34352335746654067,1,1
0.0,0.2468276659875815,0,0
0.0,0.01217190202599432,0,0
0.0,0.002890250194256166,0,0
1.0,0.7044148769877526,0,1
0.0,0.020728625413233857,0,1
1.0,0.7513418727754803,1,0
1.0,0.03664699771351256,0,0
0.0,0.37248243998301706,1,1
0.0,0.2776213988061585,0,0
1.0,0.9239019699233627,1,1
0.0,0.14844934765970888,0,0
0.0,0.4215073987069138,0,0
0.0,0.017836799115881867,0,0
1.0,0.6776356380423028,1,1
0.0,0.0698294435692487,0,0
0.0,0.02511912915041867,0,1
0.0,0.25492461452376486,0,1
0.0,0.34769419554952957,0,1
1.0,0.5908451961563553,0,1
0.0,0.15402890535454278,0,1
0.0,0.15884290652677263,0,1
1.0,0.5640898891145985,1,1
0.0,0.007135245013858665,0,1
0.0,0.2958295195670884,0,1
1.0,0.9216414735903916,1,1
0.0,0.003018701640124291,0,0
0.0,0.007241221114319715,0,0
0.0,0.6599331403701146,1,1
1.0,0.7932979021729958,1,1
0.0,0.006942724403245433,0,0
0.0,0.02467236379265147,0,1
0.0,0.009012053322977326,0,1
0.0,0.03635580346305155,0,1
1.0,0.6644169395949912,1,1
0.0,0.2638856205880027,0,1
1.0,0.803521772586394,0,1
0.0,0.1846187093767169,0,1
0.0,0.4577864714591744,0,1
0.0,0.11830340401336581,0,1
1.0,0.6046125239187806,0,1
1.0,0.7588799647172393,1,1
1.0,0.7341663412222404,1,1
1.0,0.579321646781964,0,1
0.0,0.3667964362320431,0,1
0.0,0.07349415461944908,0,1
0.0,0.18546645298948133,0,1
0.0,0.0034102537714004893,0,1
0.0,0.01895566270990379,0,1
0.0,0.023787772545290763,0,0
0.0,0.08475416648626466,0,1
1.0,0.7961281271704993,1,1
1.0,0.8236673627327807,1,1
0.0,0.4578439726827289,0,1
1.0,0.5936723116320899,1,1
0.0,0.19165158010236935,0,1
0.0,0.6701162904771217,1,1
1.0,0.6262868776188277,0,1
0.0,0.07875858072023086,0,0
0.0,0.016911533111695333,0,0
0.0,0.13082630396656145,0,0
0.0,0.11409760229475291,0,1
0.0,0.2060303152828723,0,1
1.0,0.5551762398105623,0,1
0.0,0.40508809549863417,0,1
1.0,0.8758633917048574,1,1
0.0,0.42941781877006047,1,1
0.0,0.010676024509258603,0,0
0.0,0.028034802674052537,0,0
0.0,0.11255283985671835,0,1
0.0,0.008746288798795738,0,0
1.0,0.5734196817414153,1,1
0.0,0.23031324737829104,0,0
1.0,0.028659721152656737,0,0
1.0,0.8453620727275977,1,1
0.0,0.0038877266074051056,0,0
0.0,0.005094078150524029,0,1
0.0,0.3074671316388701,0,0
0.0,0.47183565706221775,1,1
1.0,0.7919329668478143,1,1
1.0,0.5391986074223386,0,1
0.0,0.008123594585187691,0,1
0.0,0.9065002441787471,1,1
0.0,0.3851395067774578,1,1
0.0,0.05378660711258365,0,0
0.0,0.4722319141860683,0,1
0.0,0.25306080949212,0,1
0.0,0.047153652042712074,0,0
0.0,0.4608287988613857,0,1
0.0,0.029994298911627644,0,1
0.0,0.45136498813558984,0,0
0.0,0.03980634304856651,0,1
0.0,0.28844341957499975,1,1
1.0,0.5809184478411622,1,1
0.0,0.3161481478211177,0,1
0.0,0.06358396688606617,0,1
1.0,0.9202190626572061,1,1
0.0,0.02875075877172529,0,0
0.0,0.004142261105786366,0,0
0.0,0.00894620382343589,0,0
1.0,0.8926238677206221,1,1
0.0,0.011299068526820581,0,1
1.0,0.5482637519834799,1,1
0.0,0.10247940242571897,0,1
0.0,0.1469561494055972,0,1
0.0,0.09149725422285723,0,1
