y_test_pred,y_test_proba,y_test,A_test
0,0.3383130164641008,0,1
0,0.003304696822676706,0,1
0,0.008422293967208106,0,1
0,0.30022205149354203,1,1
0,0.4498773696776964,1,1
0,0.16840592220829617,0,1
0,0.23412220648823326,1,0
0,0.4902414159868269,1,1
0,0.003753681257343569,0,1
0,0.0007927615919321648,0,0
0,0.03525578799372633,0,1
0,0.0002365002701406289,0,0
1,0.6983788584860287,1,1
0,0.39657531952255154,0,1
1,0.7180650674115447,1,1
0,0.00211807956545709,0,0
0,0.011632802481558407,0,1
0,0.0885313104246278,1,0
0,0.0010793679580327856,0,1
1,0.8410853646685634,1,1
0,0.04759554603643352,0,1
0,0.00312284145056649,0,1
0,0.0006852628050132682,0,0
0,0.015056628261636682,0,1
0,0.018424434521591773,0,1
0,0.00016411024508173868,0,0
0,0.00026979538647405873,0,0
0,0.17500919628477218,0,1
0,0.15986550703223723,1,1
1,0.9999976715476446,1,1
0,0.3452515560571005,0,1
0,0.006050247935518468,0,0
0,0.27526136555546626,0,0
0,0.0009455182743290329,0,0
0,0.15054101922786287,0,1
1,0.6380046803176844,0,1
0,0.2547071006532236,0,1
0,0.15331983042871694,1,1
0,0.05880298391273633,0,1
0,0.005257004079566365,0,0
1,0.9300820541451987,1,1
0,0.00535577767407929,0,1
1,0.5223813881036135,0,1
1,0.6272029068107577,1,0
0,0.19936524003759784,0,1
0,0.15983256237564544,0,0
0,0.0014770171860497238,0,0
0,0.0005592073305387121,0,1
0,0.2719641443208383,1,1
1,0.5029106846615169,1,0
0,0.37292649475325745,0,1
0,0.13383019438088625,0,1
0,0.0003350920903201919,0,0
0,0.4845841290895394,0,1
0,0.0012351816665748746,0,1
0,0.0030797935956549407,0,0
0,0.0012708300876750939,0,1
0,0.009358872654989268,0,0
0,0.26327585482605687,1,1
0,0.3739951045076401,1,0
0,0.0010609219228047864,0,0
0,0.001101704983148543,0,0
0,0.007280402819726119,0,0
1,0.645052574233442,1,1
0,0.3533509768102798,0,1
0,0.47442470106832935,0,1
0,0.3065345568190468,0,1
0,0.0013856327798104156,0,0
0,0.007868631666185401,0,0
1,0.6867350975525387,1,1
0,0.00780385445916723,0,0
0,0.004210413728081265,0,1
0,0.0032776144777549123,0,0
0,0.32691856332340763,1,1
1,0.6882739642035256,0,1
0,0.037046398497408706,0,0
0,0.39117520877042483,0,1
1,0.6422656511634216,1,1
1,0.8980168884350682,1,1
0,0.0511309920506582,0,1
0,0.014533828247261951,0,0
0,0.24349673545515374,0,1
0,0.14781774429674235,0,1
0,0.082234691779233,0,1
0,0.15623427599860928,0,1
0,0.3085617170932017,0,1
0,0.04091304335667753,1,0
0,0.0009626852747958966,0,1
0,0.0015515913406323374,0,1
0,0.004075728402935475,0,1
0,0.009540468908347362,1,1
0,0.1931886971927354,0,1
1,0.6746312422196014,1,1
0,0.2869360350864231,0,1
0,0.15226257074623722,0,1
0,0.017022652783833032,0,1
0,0.0035103904307219767,0,1
0,0.0015338431917713518,0,0
0,0.011088337232688419,0,1
0,0.005286949733716786,0,1
0,0.01407124659282691,0,1
0,0.3383130164641008,0,1
1,0.922095573656555,1,1
0,0.011155649180820463,0,0
0,0.020558998305333795,0,1
0,0.00044950958176953056,0,1
0,0.06646222018668052,1,1
0,0.2831143979679098,0,1
0,0.0015358479489099713,0,0
0,0.27571083172897287,0,1
0,0.0010521540133188172,0,1
0,0.056483243948261985,0,1
0,0.08680797425521328,0,0
1,0.7245770714947098,1,0
