y_test_pred,y_test_proba,y_test,A_test
0,0.23267117109630378,0,1
0,0.013718798038194776,0,1
0,0.027777349309309127,0,1
0,0.24240744797016625,1,1
1,0.5187128785731162,1,1
0,0.11724433121982834,0,1
0,0.32493049140070135,1,0
0,0.4900513006424299,1,1
0,0.010130988084112643,0,1
0,0.009352907630064411,0,0
0,0.05627536528613189,0,1
0,0.0022946655120538203,0,0
1,0.7039046700247428,1,1
0,0.27852123411182333,0,1
1,0.5740737983038732,1,1
0,0.010533358936660917,0,0
0,0.0033220847479808833,0,1
0,0.17299936306786273,1,0
0,0.006845453509051526,0,1
1,0.8001508250264869,1,1
0,0.11734041085838662,0,1
0,0.01889250779535394,0,1
0,0.003112341058221933,0,0
0,0.029923192775073028,0,1
0,0.028334825065059598,0,1
0,0.0013117692861377116,0,0
0,0.0024843705575068606,0,0
0,6.407595682961752e-11,0,1
0,0.14613896724655104,1,1
1,1.0,1,1
0,0.2637608922502588,0,1
0,0.018645656123999037,0,0
0,0.12574235603032227,0,0
0,0.0031486887127546437,0,0
0,0.11702300760616573,0,1
1,0.6616261214809274,0,1
0,0.18932919327421172,0,1
0,0.08542156474360814,1,1
0,0.12421645289306171,0,1
0,0.01627759929707102,0,0
1,0.9999956637951191,1,1
0,0.01584913955801123,0,1
0,0.3487122455804353,0,1
1,0.9995589100534262,1,0
0,0.18098544918037887,0,1
0,0.2244855119095078,0,0
0,0.009703261709261389,0,0
0,0.004214476004551353,0,1
0,3.888540117682278e-08,1,1
0,0.3749697229148413,1,0
0,0.23977150018352844,0,1
0,0.16636006478885232,0,1
0,0.0027813867051048506,0,0
0,0.3674001107697245,0,1
0,0.0022940249412726666,0,1
0,0.02082824192250224,0,0
0,0.007030588262480415,0,1
0,0.02920165215826926,0,0
0,0.21161484172608466,1,1
0,0.3533864428942194,1,0
0,0.0074512596898862965,0,0
0,0.011257358023576169,0,0
0,0.026625439689312073,0,0
1,0.5762816805576491,1,1
1,0.9762600341652632,0,1
0,0.36190425732709264,0,1
0,0.34864632930383155,0,1
0,0.004246117191314638,0,0
0,0.020306425828161057,0,0
1,0.9938156801862641,1,1
0,0.03033285271904695,0,0
0,0.008656666032240723,0,1
0,0.014199208010952761,0,0
0,2.0029228856966167e-06,1,1
1,0.5479479620044698,0,1
0,0.011670817163714022,0,0
1,0.5448572489022601,0,1
0,0.4515250234906518,1,1
1,0.9997582490075606,1,1
0,0.038030724012326024,0,1
0,0.006347627115588587,0,0
0,3.1894273038889826e-07,0,1
0,0.1523252520203599,0,1
0,0.07836524822484493,0,1
0,0.1782437302851498,0,1
0,0.1609490323697263,0,1
0,0.06924649170184534,1,0
0,0.00781865116229616,0,1
0,0.009307406364245097,0,1
0,0.01088183121270535,0,1
0,0.02777024092711294,1,1
0,0.17386490823219372,0,1
1,0.6766123843710465,1,1
0,1.2864475213442585e-06,0,1
0,0.15318428579558319,0,1
0,0.013904245941910531,0,1
0,0.022355424784338364,0,1
0,0.0066429092861974666,0,0
0,0.016143358963269037,0,1
0,0.018053283030885364,0,1
0,0.03094353334127001,0,1
0,0.23267117109630378,0,1
1,0.9999849633639863,1,1
0,0.031256629092750815,0,0
0,0.06862523807656579,0,1
0,0.0033406107913141994,0,1
0,0.10645480769484739,1,1
0,4.2524748387850975e-07,0,1
0,0.009843850603620174,0,0
0,0.021762317670081004,0,1
0,0.007230049724864043,0,1
0,0.10691842271538196,0,1
0,0.11732336211795467,0,0
1,0.7126090655274966,1,0
1,0.6270465828979428,1,1
0,0.1552446883771777,1,1
0,0.28026449785645474,0,0
0,0.004881302694176246,0,1
0,0.020943728115708334,0,1
1,0.9999980497541275,1,1
0,0.30333670995107004,0,0
0,0.2003876969047401,0,1
0,0.030614003221254685,0,1
0,0.01405849438038132,0,1
1,0.806982120370836,0,1
0,0.029662176666049835,0,1
0,0.03068481549134074,0,1
0,0.004603941357306306,0,0
1,0.9951116546788735,1,1
0,0.10804389437914788,0,1
0,0.2438507115485313,1,1
0,0.16382005423602428,0,0
0,0.008757965975765876,0,0
0,0.0010964244625759438,0,0
1,0.5961023213484163,0,1
0,0.016161367472687194,0,1
1,0.996134552586225,1,0
0,0.027240433189898022,0,0
0,0.20688959325636488,1,1
0,0.22806796961952094,0,0
1,1.0,1,1
0,0.09835494105945593,0,0
0,4.965144036523306e-14,0,0
0,0.004085690217806826,0,0
1,0.5364962958654667,1,1
0,0.03593665524275234,0,0
0,0.011295457124132803,0,1
0,0.08702154999131236,0,1
1,0.9395703163901158,0,1
0,0.4014607477261067,0,1
0,0.11604367389588707,0,1
0,0.05065855580720002,0,1
0,0.41893543184409593,1,1
0,0.003866190602215968,0,1
0,0.20589585940018326,0,1
1,1.0,1,1
0,0.0009677246216986814,0,0
0,0.0034293446547870726,0,0
1,0.9999996235947317,1,1
1,0.9999999999999987,1,1
0,0.0055723808226725464,0,0
0,0.016850683724477854,0,1
0,0.003852765775952165,0,1
0,0.016714060402616776,0,1
1,0.9999999093533964,1,1
0,0.16951754155941792,0,1
1,0.6655449381260373,0,1
0,0.13368101103146016,0,1
0,0.28693450304953544,0,1
0,0.04346214285262565,0,1
0,0.48885780616952235,0,1
1,0.6318701498162754,1,1
1,0.5934624044448771,1,1
0,0.4372987723078133,0,1
0,0.2112549480630703,0,1
0,0.06498868656823792,0,1
0,0.12246024959840518,0,1
0,0.0010561302917202215,0,1
0,0.008187907785209015,0,1
0,0.005245396920134497,0,0
0,0.051339842060531556,0,1
1,0.5627223382597228,1,1
1,0.9909429437008143,1,1
0,3.84798568502692e-05,0,1
0,0.004578857687943689,1,1
0,0.1444885744359867,0,1
1,0.5847002766481546,1,1
0,0.4303028574640791,0,1
0,0.03546764813380302,0,0
0,1.0496036159360948e-06,0,0
0,0.07797845458594456,0,0
0,0.04651194833635427,0,1
0,0.14862059860679622,0,1
0,0.39153630284139934,0,1
0,0.2376959517656952,0,1
1,0.9778161479193949,1,1
0,0.2518424997800848,1,1
0,0.007380698743273613,0,0
0,0.011848971190798233,0,0
0,0.05199755477569059,0,1
0,0.0036330354479262705,0,0
0,0.4155472953151024,1,1
0,0.1314692505013241,0,0
0,0.012724338934545235,0,0
1,0.9863341513772738,1,1
0,0.0014793505415828733,0,0
0,0.0023865613394790605,0,1
0,0.24579917433532572,0,0
0,0.364538741136938,1,1
1,0.6893412981199499,1,1
0,0.40050362995603217,0,1
0,0.0036656916292929814,0,1
1,0.8006815780891601,1,1
0,0.3138824032505301,1,1
0,0.026725536482244683,0,0
0,7.339284430724453e-07,0,1
0,0.18168182014530404,0,1
0,0.022795676929559066,0,0
0,0.30923970148822316,0,1
0,0.013243399330934805,0,1
0,0.23915022751476875,0,0
0,0.026507634464567026,0,1
0,0.20335966023608357,1,1
0,0.46583468605908407,1,1
0,0.19760034027034004,0,1
0,0.03671885303871278,0,1
1,1.0,1,1
0,0.014263457442261443,0,0
0,0.001652245831386454,0,0
0,0.0047391818993646525,0,0
1,1.0,1,1
0,0.003940422365530944,0,1
0,0.3901323223672749,1,1
0,0.09101431242441106,0,1
0,0.1335633619785367,0,1
0,0.07409251803869976,0,1
0,0.0016959074257788967,0,0
1,1.0,1,1
0,0.23193201862664617,0,1
1,0.7455715083930355,0,1
1,0.599495223632887,1,0
0,0.012067084294498168,0,1
0,0.3334143102473753,0,1
0,0.002857942838644962,0,0
1,1.0,1,1
0,0.010027807432351894,0,1
0,3.995258709774605e-09,1,1
1,1.0,1,1
0,0.1047025443879084,0,1
1,0.9849369555660981,1,1
0,0.47173156723463017,1,1
0,0.3068890769260848,1,1
0,0.2591850333904224,1,1
0,0.003680799981851782,0,0
0,1.5685237036810888e-08,0,1
1,0.718120371815927,1,1
