y_test_pred,y_test_proba,y_test,A_test
0,0.3687027469066754,0,1
0,0.010749252655026445,0,1
0,0.02564377882182579,0,1
0,0.33719563833221966,1,1
0,0.47456809047799453,1,1
0,0.1143960204681153,0,1
0,0.41640875747693507,1,0
0,0.4648924323539533,1,1
0,0.011204183862897232,0,1
0,0.0036231738853720603,0,0
0,0.08160685182425015,0,1
0,0.0009426600876737591,0,0
1,0.7415722554655793,1,1
0,0.2970244109283835,0,1
1,0.6419640184048901,1,1
0,0.005626754205825864,0,0
0,0.016973213341688137,0,1
0,0.18557435643533557,1,0
0,0.004287416801101886,0,1
1,0.8465899725500654,1,1
0,0.0766400990718774,0,1
0,0.009441159266529504,0,1
0,0.0022389389907843966,0,0
0,0.02822606767747072,0,1
0,0.04858303255577273,0,1
0,0.0006293225932093209,0,0
0,0.0018691229197168055,0,0
0,0.09638049073793914,0,1
0,0.15051274437726087,1,1
1,0.99998317580898,1,1
0,0.21870561183183002,0,1
0,0.014102353919628616,0,0
0,0.31445448794831987,0,0
0,0.001966238815760471,0,0
0,0.16360168739183686,0,1
1,0.7132512197268939,0,1
0,0.2827303488992412,0,1
0,0.19542995853878956,1,1
0,0.1563949093960224,0,1
0,0.01771874255566757,0,0
1,0.8629195222844112,1,1
0,0.011709662308248341,0,1
0,0.4314829021340458,0,1
0,0.45007602259227913,1,0
0,0.2770005630078923,0,1
0,0.29249442102827733,0,0
0,0.006124571267854594,0,0
0,0.002682073962916532,0,1
0,0.17872168990071471,1,1
1,0.5587869326051007,1,0
0,0.33649710407915556,0,1
0,0.17607438396559938,0,1
0,0.0011998027578838254,0,0
1,0.543905599044379,0,1
0,0.0035169415261163146,0,1
0,0.009871829875716696,0,0
0,0.0034940916803809976,0,1
0,0.021504767756710067,0,0
0,0.2052623898554471,1,1
0,0.34675426850496677,1,0
0,0.004157304047100268,0,0
0,0.004025538744150894,0,0
0,0.022013344677628076,0,0
1,0.6417526942634664,1,1
0,0.07045399797621385,0,1
1,0.5380893520441671,0,1
0,0.3112122538323735,0,1
0,0.009679323274208444,0,0
0,0.03833082192584886,0,0
1,0.6986131702151223,1,1
0,0.023352041651641543,0,0
0,0.00843476684267566,0,1
0,0.009698729736170138,0,0
0,0.2015399376660449,1,1
1,0.6246794141452039,0,1
0,0.05243440714124536,0,0
0,0.4954983014306443,0,1
1,0.6613749630185108,1,1
1,0.7733029297307574,1,1
0,0.03780264139684094,0,1
0,0.022338478733954833,0,0
0,0.15324672686621654,0,1
0,0.12556616239593807,0,1
0,0.06828663165530457,0,1
0,0.1683492366273138,0,1
0,0.277951834115993,0,1
0,0.06474145304537282,1,0
0,0.003067510424931814,0,1
0,0.008902827973368277,0,1
0,0.008992972344215268,0,1
0,0.022834142021159815,1,1
0,0.18839437802251133,0,1
1,0.6931485906561969,1,1
0,0.1698463077700461,0,1
0,0.24756239163869587,0,1
0,0.018088618629513293,0,1
0,0.018003722445957156,0,1
0,0.012827862551485896,0,0
0,0.039068259202321626,0,1
0,0.012200160257532813,0,1
0,0.028677327435169372,0,1
0,0.3687027469066754,0,1
1,0.844108374869042,1,1
0,0.03414977613670829,0,0
0,0.06687870847296568,0,1
0,0.0015059339190976132,0,1
0,0.04837370569027351,1,1
0,0.16187028332641581,0,1
0,0.003387389961597705,0,0
0,0.1641354264041298,0,1
0,0.0042945430926694195,0,1
0,0.14064112004175655,0,1
0,0.21409630401231236,0,0
1,0.7560067458091181,1,0
1,0.591306953045278,1,1
0,0.16474836351705857,1,1
0,0.4267642239767952,0,0
0,0.0024971099968987666,0,1
0,0.023666373816158347,0,1
1,0.8444900133778313,1,1
0,0.24691458763592253,0,0
0,0.20416451857472373,0,1
0,0.017675689541781545,0,1
0,0.014404887020233794,0,1
1,0.5085639373917356,0,1
0,0.10027536641146585,0,1
0,0.024689519553618106,0,1
0,0.003146518173032084,0,0
1,0.7738412299113128,1,1
0,0.2626206882786474,0,1
0,0.2603543969963844,1,1
0,0.1928532194090789,0,0
0,0.0038241717299167905,0,0
0,0.0005510152674100245,0,0
1,0.6144094069592554,0,1
0,0.010831325177251027,0,1
0,0.3770960638351877,1,0
0,0.006943787546976572,0,0
0,0.3365763653101076,1,1
0,0.24678114873687426,0,0
1,0.9997931988690492,1,1
0,0.06598280752640333,0,0
0,0.01962632428010373,0,0
0,0.0033919436501910084,0,0
1,0.6814069593895388,1,1
0,0.05461747522044333,0,0
0,0.00791927503031798,0,1
0,0.1381385076025687,0,1
0,0.13754861418360742,0,1
1,0.5344444495401299,0,1
0,0.13459852663549143,0,1
0,0.06332580773543582,0,1
1,0.5737008034638829,1,1
0,0.002234145809802064,0,1
0,0.26763870196919953,0,1
1,0.9997284955549907,1,1
0,0.0008568286376585515,0,0
0,0.0027038902172653143,0,0
1,0.8138367529706455,1,1
1,0.9838219867674657,1,1
0,0.002423023547358772,0,0
0,0.013461890431995123,0,1
0,0.002709940762068985,0,1
0,0.020136070872545913,0,1
1,0.8383913327248034,1,1
0,0.1641993248454683,0,1
1,0.7659669425488508,0,1
0,0.11065982009294596,0,1
0,0.37584555858851815,0,1
0,0.056336895482241814,0,1
1,0.5598209856988591,0,1
1,0.7041357509913658,1,1
1,0.5742090867439453,1,1
0,0.4889391618386588,0,1
0,0.3321829171090419,0,1
0,0.03126292235257473,0,1
0,0.11273009901992825,0,1
0,0.0007257340450889572,0,1
0,0.006870430906328591,0,1
0,0.006685249778124267,0,0
0,0.04589745904082982,0,1
1,0.6449020681567101,1,1
1,0.5605857706766285,1,1
0,0.11483281802556088,0,1
1,0.5437665291281466,1,1
0,0.10601536874450176,0,1
1,0.565749641965228,1,1
1,0.5570844742580845,0,1
0,0.02999492805153984,0,0
0,0.008876218805310998,0,0
0,0.08460235453362336,0,0
0,0.0466586329530623,0,1
0,0.16234344513731666,0,1
0,0.31500218887647774,0,1
0,0.3546652418215508,0,1
1,0.6748796705970739,1,1
0,0.357498003058817,1,1
0,0.004384993213161223,0,0
0,0.008273026125301905,0,0
0,0.055812069036617507,0,1
0,0.0028202732357099644,0,0
1,0.5698758001857149,1,1
0,0.24106039292373344,0,0
0,0.011611531460570907,0,0
1,0.5606389773928095,1,1
0,0.0010437794526087717,0,0
0,0.0011318556440475605,0,1
0,0.33459210853904847,0,0
0,0.4085506618079703,1,1
1,0.7202531475163461,1,1
0,0.48276801196491953,0,1
0,0.0024192350183825945,0,1
1,0.8786409061515122,1,1
0,0.253199296472057,1,1
0,0.020419495441220625,0,0
0,0.22930635320521175,0,1
0,0.19818006080908246,0,1
0,0.016424211939431384,0,0
0,0.40009156071248686,0,1
0,0.008585129221904882,0,1
0,0.32071411272014505,0,0
0,0.012898305399622795,0,1
0,0.23795050450709415,1,1
0,0.48294535041417375,1,1
0,0.25145230423236103,0,1
0,0.05033670009689649,0,1
1,0.9997278088965705,1,1
0,0.011203082853346919,0,0
