y_test_pred,y_test_proba,y_test,A_test
1.0,0.5575958415466915,0,1
0.0,0.012861430734457054,0,1
0.0,0.0044080734614110875,0,1
0.0,0.4792379397890772,1,1
1.0,0.567868943471534,1,1
0.0,0.17492827379977405,0,1
0.0,0.46300977973831703,1,0
1.0,0.5645779903931917,1,1
0.0,0.017811987168346317,0,1
0.0,0.021572950756021687,0,0
0.0,0.11984785737016306,0,1
0.0,0.0,0,0
1.0,0.737822467788054,1,1
0.0,0.4624601364587431,0,1
1.0,0.655201494915431,1,1
0.0,0.0037075984429189653,0,0
0.0,0.021557197991867633,0,1
0.0,0.40633978885182076,1,0
0.0,0.0005516915372356364,0,1
1.0,0.8884708375219842,1,1
0.0,0.08544650913978254,0,1
0.0,0.00799831120942563,0,1
0.0,0.012793895998698328,0,0
0.0,0.050493164130070295,0,1
0.0,0.20096615932373105,0,1
0.0,0.00014285714285714287,0,0
0.0,0.009470459621815142,0,0
0.0,0.2966770140901304,0,1
0.0,0.18129320519934874,1,1
1.0,0.899402907434098,1,1
0.0,0.2085115025132635,0,1
0.0,0.042193095477204685,0,0
0.0,0.19687491144861238,0,0
0.0,0.002468253968253968,0,0
0.0,0.29229773109019247,0,1
1.0,0.7594850152823763,0,1
0.0,0.2608918422975122,0,1
0.0,0.3504334119209722,1,1
0.0,0.20849387258377014,0,1
0.0,0.022017045048227414,0,0
1.0,0.9905403036607499,1,1
0.0,0.015287956783091314,0,1
0.0,0.4614469654294225,0,1
0.0,0.4782969938569183,1,0
1.0,0.5097275973627091,0,1
0.0,0.36456796732808755,0,0
0.0,0.036305111514945775,0,0
0.0,0.004321275282688325,0,1
1.0,0.6330947763054934,1,1
1.0,0.5081454316549386,1,0
0.0,0.38178735933462155,0,1
0.0,0.2895318083223377,0,1
0.0,0.0009754521963824288,0,0
1.0,0.531397586034949,0,1
0.0,0.002850627413127413,0,1
0.0,0.014998536056918104,0,0
0.0,0.0010588097932496272,0,1
0.0,0.023245795603981354,0,0
0.0,0.3122012456111249,1,1
0.0,0.39735612813583365,1,0
0.0,0.009739820875381581,0,0
0.0,0.009918315743924733,0,0
0.0,0.0037184182889972942,0,0
1.0,0.7577249625457404,1,1
0.0,0.006165152950581024,0,1
0.0,0.4678117186674095,0,1
0.0,0.37614638795755045,0,1
0.0,0.0035400818222025648,0,0
0.0,0.13767384428725518,0,0
1.0,0.757630258543659,1,1
0.0,0.06101865380107718,0,0
0.0,0.009993727487210077,0,1
0.0,0.004234792238382392,0,0
0.0,0.28133203163249576,1,1
1.0,0.6535279931517519,0,1
0.0,0.07845360657650541,0,0
0.0,0.4937132986248567,0,1
0.0,0.4745251615280531,1,1
1.0,0.9727746860982156,1,1
0.0,0.07219465877185198,0,1
0.0,0.05163771444458412,0,0
0.0,0.11734659883646607,0,1
0.0,0.2207878588673005,0,1
0.0,0.11009048426796642,0,1
0.0,0.22034579309486485,0,1
0.0,0.2090656115715024,0,1
0.0,0.3117480993226129,1,0
0.0,0.0002564102564102564,0,1
0.0,0.0549952386878053,0,1
0.0,0.046538089766308854,0,1
0.0,0.038060301572857676,1,1
0.0,0.202868001916717,0,1
1.0,0.5849881495174064,1,1
0.0,0.11966798229990175,0,1
0.0,0.2742641693103433,0,1
0.0,0.047832198542828094,0,1
0.0,0.00382819759947339,0,1
0.0,0.020309615449930346,0,0
0.0,0.11871701858235431,0,1
0.0,0.02354509646598941,0,1
0.0,0.07268605166245098,0,1
1.0,0.5575958415466915,0,1
1.0,0.982628058630262,1,1
0.0,0.02552587489177172,0,0
0.0,0.15010483340866262,0,1
0.0,0.0,0,1
0.0,0.13873460372700339,1,1
0.0,0.16841642768325876,0,1
0.0,0.015553388375722298,0,0
0.0,0.006657441493800141,0,1
0.0,0.011221885887905713,0,1
0.0,0.12149478645131925,0,1
0.0,0.22747791698443529,0,0
1.0,0.6803976412679525,1,0
0.0,0.4866551583516957,1,1
0.0,0.18177189944670186,1,1
0.0,0.42764910858969407,0,0
0.0,0.009541358686472828,0,1
0.0,0.06242829362689239,0,1
1.0,0.9715870306097124,1,1
0.0,0.3810127795071183,0,0
0.0,0.12980127073942946,0,1
0.0,0.011649901375084957,0,1
0.0,0.051335164607430046,0,1
0.0,0.2793521716402006,0,1
0.0,0.13976307965619597,0,1
0.0,0.012071997216669928,0,1
