y_test_pred,y_test_proba,y_test,A_test
0,0.3989423722491698,0,1
0,0.007613973898582166,0,1
0,0.005011789067408255,0,1
0,0.47118763768589667,1,1
1,0.5705877766559505,1,1
0,0.17241762272314107,0,1
1,0.5248602360114453,1,0
1,0.5627870270617226,1,1
0,0.01162485801882319,0,1
0,0.009283050159016659,0,0
0,0.0771935358448538,0,1
0,0.00026390820584144646,0,0
1,0.7357116494809699,1,1
0,0.46996064459294246,0,1
1,0.6900321772004665,1,1
0,0.0002631578947368421,0,0
0,0.020342957811732204,0,1
0,0.3477556669168902,1,0
0,0.0007613208026416053,0,1
1,0.8434103764844849,1,1
0,0.03331834867157891,0,1
0,0.0027261350683511,0,1
0,0.008005610458071367,0,0
0,0.02992285411319717,0,1
0,0.19437203048834062,0,1
0,0.0,0,0
0,0.0045989309603440024,0,0
0,0.24929900626343166,0,1
0,0.15273135114290712,1,1
1,0.8973085410826177,1,1
0,0.20961750176416202,0,1
0,0.046305070502581466,0,0
0,0.21256246786871,0,0
0,0.0006451612903225806,0,0
0,0.24458912996113102,0,1
1,0.7191714880478542,0,1
0,0.20011175342481058,0,1
0,0.3379481009311033,1,1
0,0.15380500746741244,0,1
0,0.01519822120790656,0,0
1,0.9565375248264664,1,1
0,0.02042226043631135,0,1
0,0.43480535680765114,0,1
0,0.4546082932007094,1,0
0,0.18305531666537297,0,1
0,0.35018929286742717,0,0
0,0.01641927894190373,0,0
0,0.0014971560846560844,0,1
1,0.5838054803157776,1,1
0,0.47990179855129866,1,0
0,0.37156334398542185,0,1
0,0.2266351340311087,0,1
0,1.3908205841446454e-05,0,0
1,0.6396382026914372,0,1
0,0.0034427962877467693,0,1
0,0.018509542436426142,0,0
0,8.064516129032258e-05,0,1
0,0.009588356878289878,0,0
0,0.32247112490911356,1,1
0,0.3750353479673738,1,0
0,0.0126672562954674,0,0
0,0.0010317460317460316,0,0
0,0.0047340112896304765,0,0
1,0.6746727788654864,1,1
0,0.004448126161798532,0,1
1,0.6323564870348123,0,1
0,0.3323060860463157,0,1
0,0.007637886818267568,0,0
0,0.12600279843301915,0,0
1,0.6896849961527669,1,1
0,0.0394703239152172,0,0
0,0.012254961888883925,0,1
0,0.009085260538388325,0,0
0,0.2812976872281814,1,1
1,0.7034706921974625,0,1
0,0.05294950114984854,0,0
1,0.5211775384285562,0,1
0,0.4899109978328353,1,1
1,0.989250073964497,1,1
0,0.06795507968422805,0,1
0,0.05241611303831356,0,0
0,0.07804216472252828,0,1
0,0.122638468817873,0,1
0,0.06496745106894415,0,1
0,0.2441631800082497,0,1
0,0.20805277949841056,0,1
0,0.2109186869467305,1,0
0,6.17283950617284e-05,0,1
0,0.05249214955097139,0,1
0,0.03686589084704317,0,1
0,0.04873750982605006,1,1
0,0.12945590149720998,0,1
1,0.6078680168141862,1,1
0,0.10000509700849984,0,1
0,0.3087245639401369,0,1
0,0.021218263579988125,0,1
0,0.004547669339546187,0,1
0,0.013782483664786774,0,0
0,0.09881389487517181,0,1
0,0.02882122758141021,0,1
0,0.028667305998513637,0,1
0,0.3989423722491698,0,1
1,0.9589642678330368,1,1
0,0.029007824909897187,0,0
0,0.15610029696937922,0,1
0,0.0,0,1
0,0.12190945743049539,1,1
0,0.11842003560669483,0,1
0,0.011713429676833089,0,0
0,0.0081042831966676,0,1
0,0.013890857800700243,0,1
0,0.13309883914394674,0,1
0,0.2019555460299179,0,0
1,0.6488801249518665,1,0
1,0.5350325698128343,1,1
0,0.14048618708189087,1,1
0,0.4172257481604623,0,0
0,0.0070992165462826174,0,1
0,0.08228119963611959,0,1
1,0.9790270565718843,1,1
0,0.4263178648040073,0,0
0,0.07959984073341708,0,1
0,0.0042172938465600265,0,1
0,0.05709451040195045,0,1
0,0.238944040940585,0,1
0,0.10503398457344408,0,1
0,0.00965110910830351,0,1
0,0.0013500920312520107,0,0
1,0.9172091790612688,1,1
0,0.4310063827247285,0,1
0,0.2958752646163575,1,1
0,0.34570291210391213,0,0
0,0.0005880441845354126,0,0
0,0.0025885129819040124,0,0
1,0.6014092964224358,0,1
0,0.04351229898331391,0,1
1,0.5022104976826223,1,0
0,0.012415772078337932,0,0
0,0.4988813710515177,1,1
0,0.32195250848244966,0,0
1,0.9795467917110295,1,1
0,0.07224975264840601,0,0
0,0.025160293215014003,0,0
0,0.0022889855004602964,0,0
1,0.6705033864234246,1,1
0,0.029875786272667022,0,0
0,0.000952775982187747,0,1
0,0.17392577448667865,0,1
0,0.06985878612694948,0,1
1,0.5265626516863,0,1
0,0.11216235503132124,0,1
0,0.06348426435928078,0,1
1,0.5320020094838513,1,1
0,0.004336580392846377,0,1
0,0.33586855930436355,0,1
1,0.9978460815047022,1,1
0,0.0,0,0
0,0.0012142857142857144,0,0
1,0.9769253655739643,1,1
1,0.9824749953749954,1,1
0,1.3908205841446454e-05,0,0
0,0.024619430879440306,0,1
0,0.0006070716045152767,0,1
0,0.011721472486189394,0,1
1,0.9508764029479236,1,1
0,0.2629987208297273,0,1
1,0.6503742181091019,0,1
0,0.12946295481636527,0,1
0,0.3345771052227432,0,1
