y_test_pred,y_test_proba,y_test,A_test
0,0.3974297427524226,0,1
0,0.00950688369000201,0,1
0,0.008178797145003048,0,1
0,0.4862552308845209,1,1
1,0.5728025027968683,1,1
0,0.16631998793517086,0,1
1,0.5093038608204898,1,0
1,0.5358896918407151,1,1
0,0.02467955600017159,0,1
0,0.01637127705390422,0,0
0,0.07465310773249163,0,1
0,0.0001724137931034483,0,0
1,0.7509638158732876,1,1
0,0.4585338182444351,0,1
1,0.7012132944250086,1,1
0,0.0005596817208829,0,0
0,0.035141409764884314,0,1
0,0.31221085247037733,1,0
0,0.0003676275415405851,0,1
1,0.8583022462332531,1,1
0,0.034344333517536345,0,1
0,0.002168756850018678,0,1
0,0.008107204297235639,0,0
0,0.02988651834631821,0,1
0,0.21120880880544124,0,1
0,0.0,0,0
0,0.006869576424915693,0,0
0,0.2449603532388629,0,1
0,0.16345176064332906,1,1
1,0.8657792442410848,1,1
0,0.213258719852522,0,1
0,0.03904225925321378,0,0
0,0.19052764672141112,0,0
0,0.0,0,0
0,0.26811207013257443,0,1
1,0.7420293586662059,0,1
0,0.1952504635250886,0,1
0,0.35700565598345246,1,1
0,0.15138594942582503,0,1
0,0.011866501220038761,0,0
1,0.9611776580926242,1,1
0,0.01847974526173201,0,1
0,0.44232603763868694,0,1
0,0.4735548284908733,1,0
0,0.23213762088247106,0,1
0,0.3174075213434893,0,0
0,0.016004677914270023,0,0
0,0.00017322291235334717,0,1
1,0.605333185620499,1,1
0,0.48204932371476367,1,0
0,0.3306018035529378,0,1
0,0.21032303468982613,0,1
0,0.0003010810327883499,0,0
1,0.6274874088835619,0,1
0,0.005188699018218469,0,1
0,0.0274092715907244,0,0
0,0.000265600423806661,0,1
0,0.015475645042962487,0,0
0,0.36608402018749214,1,1
0,0.40898519832236396,1,0
0,0.01080496843107599,0,0
0,0.0049589567023390554,0,0
0,0.007056773335479239,0,0
1,0.6491401703113614,1,1
0,0.0037472798432639535,0,1
1,0.6223638672709096,0,1
0,0.35730848323027087,0,1
0,0.005816775191052005,0,0
0,0.11140455199051141,0,0
1,0.6570130865544919,1,1
0,0.03195943039476569,0,0
0,0.004260408462519846,0,1
0,0.0050021761156999025,0,0
0,0.26246681663107235,1,1
1,0.690416374876313,0,1
0,0.05959283195586048,0,0
0,0.44084313912658984,0,1
0,0.44056482533540786,1,1
1,0.9722723055120193,1,1
0,0.058533110135995485,0,1
0,0.05335455489889935,0,0
0,0.06459856079958533,0,1
0,0.08492618659859541,0,1
0,0.044742913096852424,0,1
0,0.2310171435691544,0,1
0,0.20775269878662003,0,1
0,0.26941661606877526,1,0
0,0.0005217391304347826,0,1
0,0.07577207370958915,0,1
0,0.036145687164074895,0,1
0,0.03693865442042278,1,1
0,0.10892208009986887,0,1
1,0.6188663499063867,1,1
0,0.099896088794204,0,1
0,0.28343814530513795,0,1
0,0.01896133917103409,0,1
0,0.0044927800846833316,0,1
0,0.025025928418762597,0,0
0,0.0986749597727093,0,1
0,0.015398050207517255,0,1
0,0.031429942381861566,0,1
0,0.3974297427524226,0,1
1,0.9319768069673466,1,1
0,0.02350740899161871,0,0
0,0.1867557244671596,0,1
0,0.0,0,1
0,0.12342465950181666,1,1
0,0.13761491750696522,0,1
0,0.006600138301396883,0,0
0,0.007213806726785038,0,1
0,0.004278008230724464,0,1
0,0.11943169428069557,0,1
0,0.16343767331244244,0,0
1,0.6747189254637241,1,0
1,0.5354477771334907,1,1
0,0.14056417389944256,1,1
0,0.4287351074801803,0,0
0,0.013610058792292433,0,1
0,0.07521081573871881,0,1
1,0.9574496137412737,1,1
0,0.37403762709850247,0,0
0,0.057289623672810756,0,1
0,0.007715055245659534,0,1
0,0.04452286576824087,0,1
0,0.2404730447620967,0,1
0,0.12017232355722916,0,1
0,0.008545399081301424,0,1
0,0.0009426917889447731,0,0
1,0.923911468916087,1,1
0,0.40436160704551155,0,1
0,0.2969051284541292,1,1
0,0.36110223355078674,0,0
0,0.0004347826086956522,0,0
0,0.0010202550637659414,0,0
1,0.6125849265078926,0,1
0,0.042511413374015906,0,1
0,0.47665360884207325,1,0
0,0.013480461582923181,0,0
1,0.5296878908399141,1,1
0,0.3468733854190153,0,0
1,0.9809106595312184,1,1
0,0.08337973045430797,0,0
0,0.016411085347793467,0,0
0,0.0003976023976023976,0,0
1,0.6356644184247014,1,1
0,0.025768494398156806,0,0
0,0.0009098657495803511,0,1
0,0.19463120601622563,0,1
0,0.06014702570078195,0,1
1,0.5626106213509279,0,1
0,0.0906701418081837,0,1
0,0.066156028169042,0,1
1,0.5184901077550923,1,1
0,0.005973562993358474,0,1
0,0.36634786558846394,0,1
1,0.9882055754229667,1,1
0,0.0,0,0
0,0.0005649350649350649,0,0
1,0.9512778911605851,1,1
1,0.9793287525482647,1,1
0,0.0009314475790316127,0,0
0,0.024825610759293414,0,1
0,0.00037846982593359407,0,1
0,0.008801864387944463,0,1
1,0.9482430254217896,1,1
0,0.25073258071933013,0,1
1,0.6488907561182127,0,1
0,0.13325236083579373,0,1
0,0.3604663777704286,0,1
0,0.1627399786805271,0,1
1,0.5976060401996872,0,1
1,0.7789603664118537,1,1
1,0.5146007068709103,1,1
1,0.5356076856886373,0,1
0,0.33264395067127744,0,1
0,0.07532885013819471,0,1
0,0.10630184795249431,0,1
0,0.0,0,1
0,0.0037833774526881262,0,1
0,0.003840057164475037,0,0
0,0.09903253989670768,0,1
1,0.6940062540662182,1,1
1,0.8187924449930536,1,1
0,0.016276089635790473,0,1
1,0.9534107958244935,1,1
0,0.06636636045723582,0,1
1,0.5855242554875786,1,1
1,0.5385376091942513,0,1
0,0.06962282440933537,0,0
0,0.007814700954565573,0,0
0,0.07381111162629081,0,0
0,0.07885235920583501,0,1
0,0.35089151469099655,0,1
0,0.44709639693119857,0,1
0,0.4670686704238024,0,1
1,0.7731988234381586,1,1
0,0.4166696004316101,1,1
0,0.020345034371635765,0,0
0,0.003308759356585444,0,0
0,0.12778636585276584,0,1
0,0.0013700843016632492,0,0
1,0.6195742426820603,1,1
0,0.20017452348695336,0,0
0,0.01622312474851396,0,0
1,0.8524485656326117,1,1
0,0.0,0,0
0,0.0,0,1
0,0.3228797793496143,0,0
0,0.38560982087140866,1,1
1,0.7574204200600961,1,1
1,0.6025119724439039,0,1
0,0.00013155624568668046,0,1
1,0.8699989631036122,1,1
0,0.25119129454271355,1,1
0,0.02055067347265233,0,0
0,0.365308083221678,0,1
0,0.17121854407835482,0,1
0,0.04394070900325919,0,0
0,0.3198169331137953,0,1
0,0.007876389435413508,0,1
0,0.4241324238236996,0,0
0,0.030755221920591855,0,1
0,0.2453488891383045,1,1
0,0.4244092087739616,1,1
0,0.3426966554147003,0,1
0,0.03516337627216813,0,1
1,0.9519040304960217,1,1
0,0.008933830158742351,0,0
0,0.0,0,0
0,0.013932595620316028,0,0
1,0.6391001639446833,1,1
0,0.0006150793650793651,0,1
1,0.6296807098866521,1,1
0,0.07388742166997306,0,1
0,0.10021207709036258,0,1
0,0.028427091903182586,0,1
0,0.00017857142857142857,0,0
1,0.9399124132287747,1,1
0,0.2844934867165708,0,1
1,0.8614344710550415,0,1
1,0.5932387553613104,1,0
0,0.06248404042619727,0,1
0,0.38926790860640303,0,1
0,0.0022011167996389674,0,0
1,0.9574046090152993,1,1
0,0.01227864282581456,0,1
0,0.41202823787673276,1,1
1,0.9775678782365105,1,1
0,0.023350458573400984,0,1
1,0.6889222532960453,1,1
1,0.6502194354477753,1,1
0,0.24646588860483698,1,1
0,0.2514721897436754,1,1
0,0.0,0,0
1,0.550085179007713,0,1
1,0.7171562380481058,1,1
0,0.03911213361646251,0,1
0,0.10410521994815937,0,1
0,0.0008108108108108109,0,0
1,0.727391499430429,1,1
1,0.93366524817366,1,1
1,0.6507852607830524,0,1
0,0.00023502551705613752,0,1
0,0.2633375862705373,1,1
0,0.45208497362479394,0,1
0,0.15532096928417996,0,1
0,0.3169587422858467,0,1
0,0.015633648576149687,0,1
1,0.6344940502381421,0,1
0,0.03852784868786882,0,1
0,0.03574942288907906,0,1
0,0.30690674338027907,0,1
0,0.05965032111292358,0,1
0,0.0,0,1
0,0.37127513511308385,0,0
0,0.0,0,0
0,0.014839681275590388,0,1
0,0.07884074579513659,0,1
0,0.038648203852247584,0,0
0,0.3108173407934083,1,0
0,0.4712608740553372,0,1
1,0.5160070558883809,1,1
1,0.5919846974054879,1,1
0,0.4544428889187456,0,1
1,0.5581981967860277,1,1
0,0.399964135816461,1,1
1,0.9738232961643756,1,1
0,0.33412657419354935,0,1
0,0.0009494621647285918,0,1
0,0.0061153777253317,0,1
1,0.7250431909080824,1,1
0,0.2133951391153922,0,1
0,0.010515846802075164,0,1
0,0.010950404604492536,0,0
0,0.017951030946071752,0,0
0,0.0749207176322712,1,0
0,0.047574618411655785,0,1
0,0.03719314488860414,0,0
0,0.17470145438624754,0,1
0,0.012162485300685819,0,1
0,0.008976883055879818,0,1
0,0.31207668927133514,0,1
0,0.2466531018207579,0,0
0,0.39060126208446805,0,1
0,0.0034440267335004164,0,0
0,0.0016121212121212125,0,1
0,0.29061102968085506,0,1
0,0.004502631669463212,0,1
0,0.41485752564605116,1,1
0,0.11376017142849243,0,1
1,0.8226367925845293,1,1
0,0.32893929324338145,0,1
1,0.6580160796538895,1,1
1,0.7963202354997221,0,1
0,0.013967485016924361,0,0
0,0.03659266901408874,0,1
0,0.03153799741625558,0,1
1,0.8979040833519516,1,1
1,0.6599274053037462,1,1
1,0.6742131960970975,0,1
0,0.3139054197038049,0,1
0,0.015356390180603958,0,1
0,0.0,0,0
0,0.00679254435308653,0,0
0,0.10472243212316636,0,0
0,0.026556783691177224,0,0
0,0.2089438680376494,0,0
0,0.4862552308845209,0,1
0,0.0023051529790660227,0,0
0,0.0020043096289899358,0,1
1,0.6158510902696923,1,1
0,0.01580961800578311,0,1
0,0.08911736761075253,0,1
0,0.00579045973350259,0,0
0,0.026792363995062206,0,0
0,0.046086059222015294,0,0
1,0.599392151729386,1,1
0,0.0,0,1
0,0.0005568389355133279,0,0
0,0.042479451319103245,0,0
1,0.5396456020061331,0,1
1,0.5339028909355982,1,1
0,0.31387813219041055,1,1
0,0.08061151910101508,0,1
1,0.5731614981774266,1,1
0,0.00017857142857142857,0,0
0,0.0935062915668543,0,1
0,0.2775157647549113,0,0
0,0.025447796341257625,0,0
0,0.1326537552529872,0,0
1,0.9673968947013883,1,1
0,0.05471948818469434,0,1
1,0.508465466437588,1,1
0,0.010989631805561425,0,1
0,0.1948938577712405,0,1
0,0.12531789909709648,0,0
0,0.24926418194688593,0,1
0,0.0011776211593284764,0,0
1,0.5113802249946299,1,1
1,0.9233717601553052,1,1
1,0.6114288092567834,1,1
0,0.018128908879307733,0,0
0,0.363780883124313,1,1
0,0.13409326691696766,0,1
0,0.12128632262444929,0,0
0,0.004160957361691756,0,1
0,0.001815415821501014,0,1
0,0.053861539457598105,0,0
0,0.07998728400667578,1,0
0,0.1667888824494787,0,1
0,0.004135094029972538,0,1
0,0.000748663101604278,0,0
0,0.0004166666666666666,0,1
0,0.0,0,0
0,0.07333458027757236,0,0
0,0.08921024712508992,0,1
0,0.4106070150931153,1,1
1,0.9270637206109443,1,1
0,0.34057736551366596,1,1
0,0.09849700690736723,1,0
1,0.7470600254067241,1,1
0,0.0205188952501267,0,1
0,0.002611336032388664,0,1
1,0.8041699776543263,1,0
0,0.011832013797910275,0,0
0,0.06600596325598064,0,1
1,0.7788318850388888,1,1
1,0.6682503701217823,1,1
0,0.08620533785828118,0,1
1,0.6957980144996762,1,1
0,0.39686546434335696,1,1
0,0.007584362161405325,0,0
0,0.048707489954417725,0,1
0,0.052906476510176124,0,1
