y_test_pred,y_test_proba,y_test,A_test
0,0.3987150612901391,0,1
0,0.013997346992322536,0,1
0,0.002307709249857253,0,1
0,0.47937506609264396,1,1
1,0.5781946666860147,1,1
0,0.14662195395576033,0,1
1,0.5192555567544465,1,0
1,0.5444556822132114,1,1
0,0.01654652744175055,0,1
0,0.012888395146313106,0,0
0,0.08150503448821117,0,1
0,0.0005882352941176471,0,0
1,0.6990657830147387,1,1
0,0.4792470819013299,0,1
1,0.6843682961519488,1,1
0,0.002318181818181818,0,0
0,0.024465024631671887,0,1
0,0.3206729467756526,1,0
0,0.001756120085605169,0,1
1,0.8674900504063858,1,1
0,0.030528670638925802,0,1
0,0.00313048134530589,0,1
0,0.010232933762717358,0,0
0,0.02781727310530792,0,1
0,0.20588355832152902,0,1
0,0.0,0,0
0,0.0060603458871933795,0,0
0,0.2403266182858493,0,1
0,0.15572279668770894,1,1
1,0.9182839745812521,1,1
0,0.2063622020949905,0,1
0,0.03233599401645524,0,0
0,0.20148877390404957,0,0
0,0.0015072528802111383,0,0
0,0.27272789994930874,0,1
1,0.729254349162338,0,1
0,0.2049762925643312,0,1
0,0.35136033048625004,1,1
0,0.15835195842171348,0,1
0,0.012550875959565088,0,0
1,0.9677988154546807,1,1
0,0.019219984246668934,0,1
0,0.407617733725377,0,1
0,0.43841311916013675,1,0
0,0.2021184131327124,0,1
0,0.31998931417364923,0,0
0,0.01111230685972224,0,0
0,0.0018371858720229114,0,1
1,0.5704711092419382,1,1
0,0.45765367127910805,1,0
0,0.34957486338185767,0,1
0,0.22713615119729863,0,1
0,0.0005,0,0
1,0.6508860158152896,0,1
0,0.007471721838591595,0,1
0,0.013867587330392424,0,0
0,0.0006385665288479609,0,1
0,0.013401336699595102,0,0
0,0.3010322632722826,1,1
0,0.36906973294986845,1,0
0,0.014028972573367153,0,0
0,0.005864076106572108,0,0
0,0.002307709249857253,0,0
1,0.6585158606886898,1,1
0,0.0020049062812151127,0,1
1,0.6436895344964294,0,1
0,0.3663388311965642,0,1
0,0.011321124843873534,0,0
0,0.11051141048182456,0,0
1,0.6689767697002885,1,1
0,0.03391511652126949,0,0
0,0.00744570569963504,0,1
0,0.009396488845189673,0,0
0,0.2728013060992704,1,1
1,0.708455281751241,0,1
0,0.07098296504669438,0,0
0,0.47787274940892366,0,1
0,0.4658636929133732,1,1
1,0.996480774127833,1,1
0,0.07286323561392045,0,1
0,0.04839096320643033,0,0
0,0.0904364117571486,0,1
0,0.10816525904477507,0,1
0,0.0721102962165215,0,1
0,0.23391198322430712,0,1
0,0.20490756418344996,0,1
0,0.256029758298644,1,0
0,0.0005309364548494983,0,1
0,0.07550369833144015,0,1
0,0.029378126224311716,0,1
0,0.04348207053797495,1,1
0,0.13670993765867448,0,1
1,0.5882431816924647,1,1
0,0.11633337349953657,0,1
0,0.3340132451567592,0,1
0,0.01464654699271916,0,1
0,0.0020520593346933518,0,1
0,0.025815036163315132,0,0
0,0.1155513174179174,0,1
0,0.018172539675874354,0,1
0,0.0445503704943287,0,1
0,0.3987150612901391,0,1
1,0.956252611301709,1,1
0,0.02628164322395319,0,0
0,0.16111627295130496,0,1
0,0.0,0,1
0,0.11762785804766715,1,1
0,0.12975142483677607,0,1
0,0.006740873996237835,0,0
0,0.015025943988907874,0,1
0,0.00670574695879913,0,1
0,0.12940826885032203,0,1
0,0.14659827269220602,0,0
1,0.6592951465010736,1,0
1,0.5350066601622928,1,1
0,0.14071232427769695,1,1
0,0.42089649275131197,0,0
0,0.012636322325074315,0,1
0,0.0684207733736261,0,1
1,0.9868498168498169,1,1
0,0.4125640210770318,0,0
