y_test_pred,y_test_proba,y_test,A_test
0,0.31889613176012865,0,1
0,0.007373582789030852,0,1
0,0.0034642837817399556,0,1
0,0.3762296398373734,1,1
0,0.46670700498050616,1,1
0,0.13055187277767694,0,1
1,0.7628988135735737,1,0
0,0.45866719899383934,1,1
0,0.014688141361373171,0,1
0,0.03297667410688218,0,0
0,0.12206705348127488,0,1
0,3.472920391195364e-06,0,0
1,0.6972185344964856,1,1
0,0.39764050184913935,0,1
1,0.6187943982971551,1,1
0,0.005154900075364259,0,0
0,0.04248810957522037,0,1
0,0.42206426364422683,1,0
0,0.0009416340377335214,0,1
1,0.797391630820828,1,1
0,0.016848488771406343,0,1
0,0.003934469904158156,0,1
0,0.007605855001231778,0,0
0,0.038441827590829876,0,1
0,0.3289239647748152,0,1
0,0.00019056364489591159,0,0
0,0.011611223607753286,0,0
0,0.17633866640087006,0,1
0,0.12148576295542941,1,1
1,0.8886683457598386,1,1
0,0.1712472440477798,0,1
0,0.06767660612051418,0,0
0,0.2905378979271091,0,0
0,0.0005382853956327263,0,0
0,0.18695463963191344,0,1
1,0.6713213621600677,0,1
0,0.15356080682158627,0,1
0,0.3737224223606229,1,1
0,0.19696942825006317,0,1
0,0.03605644490232809,0,0
1,0.9554143785333935,1,1
0,0.01717676639262359,0,1
0,0.33857561659258195,0,1
1,0.660749956950295,1,0
0,0.14825090580871236,0,1
0,0.4126748977983292,0,0
0,0.026698725385071908,0,0
0,0.00044596849210010495,0,1
0,0.47723903381564114,1,1
1,0.708735171747798,1,0
0,0.31118594013634027,0,1
0,0.16495788266338987,0,1
0,3.474661329977459e-06,0,0
1,0.5774700132355071,0,1
0,0.005061433178959232,0,1
0,0.038816819192973244,0,0
0,8.363540423631229e-10,0,1
0,0.02780096467414087,0,0
0,0.2977144385875289,1,1
1,0.6596773605920864,1,0
0,0.02036771671403366,0,0
0,0.00822258289354399,0,0
0,0.0029567672295530358,0,0
1,0.5702657613468918,1,1
0,0.00048540785977803407,0,1
1,0.5600195557046899,0,1
0,0.3023448856304681,0,1
0,0.01638216734222814,0,0
0,0.12480982664588813,0,0
1,0.5507994981949482,1,1
0,0.07402068213167431,0,0
0,0.008670711996787279,0,1
0,0.003897247839343158,0,0
0,0.20021714612746436,1,1
1,0.6658133754243347,0,1
0,0.08771555303976163,0,0
0,0.38215773650274626,0,1
0,0.4843393453530293,1,1
1,0.9582234791542278,1,1
0,0.05731699529744682,0,1
0,0.0818792073483406,0,0
0,0.05424783823012086,0,1
0,0.0895096719995242,0,1
0,0.04363804132837569,0,1
0,0.1717620013933836,0,1
0,0.17331833519855647,0,1
0,0.239662003034557,1,0
0,0.0008137343661464865,0,1
0,0.07912845020766594,0,1
0,0.03659133853748597,0,1
0,0.0645624660687571,1,1
0,0.0930448010919132,0,1
1,0.5279378992340664,1,1
0,0.07247693774609824,0,1
0,0.2453065269729121,0,1
0,0.026146044946433758,0,1
0,0.006534217140109191,0,1
0,0.0377972271104414,0,0
0,0.09671785721926139,0,1
0,0.03832272233859714,0,1
0,0.02326226427093502,0,1
0,0.31889613176012865,0,1
1,0.9412288755491336,1,1
0,0.03086848563058044,0,0
0,0.21271649613868773,0,1
0,3.4025550997914825e-06,0,1
0,0.07906588262318931,1,1
0,0.11370389605503062,0,1
0,0.015614414808705965,0,0
0,0.010256795813690494,0,1
0,0.010265196309513855,0,1
0,0.12093481600921976,0,1
0,0.2353816137232709,0,0
1,0.8773898100650547,1,0
0,0.4260860902478111,1,1
0,0.09711845634230075,1,1
1,0.6344876915969373,0,0
0,0.011382718257053295,0,1
0,0.08777143165342857,0,1
1,0.970898138027884,1,1
1,0.6161826597415271,0,0
0,0.04144947749822881,0,1
0,0.010175549070581144,0,1
0,0.0648243990965553,0,1
0,0.19631310651693382,0,1
0,0.14293506726080857,0,1
0,0.014735344270480965,0,1
0,0.0020399419827760055,0,0
1,0.8937012761225985,1,1
0,0.4956739455240841,0,1
0,0.23122426628538878,1,1
1,0.6428040356887185,0,0
0,0.0008081896936352381,0,0
0,0.0016881001661996561,0,0
1,0.5082193203068133,0,1
0,0.04727492709548478,0,1
1,0.6223818091227452,1,0
0,0.008803933401521353,0,0
0,0.42326005443257403,1,1
1,0.6301451408108348,0,0
1,0.9533666402083416,1,1
0,0.16117985411651925,0,0
0,0.02087103917518022,0,0
0,0.0033437135330845417,0,0
1,0.5898218044155048,1,1
0,0.03502925946965494,0,0
0,0.0009533146607994161,0,1
0,0.24706262758856562,0,1
0,0.03959110249589587,0,1
0,0.44875830218526186,0,1
0,0.07225562117453974,0,1
0,0.07402287841404342,0,1
0,0.4358956015690356,1,1
0,0.002917796519524154,0,1
0,0.2849903269438719,0,1
1,0.9817498539045378,1,1
0,4.186456786816678e-06,0,0
0,0.0010969015620384851,0,0
1,0.9599644794043319,1,1
1,0.961271116278172,1,1
0,1.5057409747190552e-08,0,0
0,0.025810413877116283,0,1
0,0.0007070843442639156,0,1
0,0.011472265918305465,0,1
1,0.9372391694351484,1,1
0,0.20499366655299517,0,1
1,0.5965215632888887,0,1
0,0.11792026093131701,0,1
0,0.2777836226505497,0,1
0,0.15816261503164855,0,1
0,0.4847019097686827,0,1
1,0.7164994929319392,1,1
0,0.49347990096195676,1,1
0,0.44940445913866706,0,1
0,0.29082134350924527,0,1
0,0.05126783535796097,0,1
0,0.09711014117647165,0,1
0,0.00019707363493419515,0,1
0,0.005243779973757266,0,1
0,0.014903692702482044,0,0
0,0.06972342531540603,0,1
1,0.5757142446254284,1,1
1,0.7633229451554963,1,1
0,0.032633771083112814,0,1
1,0.9717624542691545,1,1
0,0.04220448242991051,0,1
1,0.5252590688410949,1,1
0,0.4371419684367258,0,1
0,0.1305248884309222,0,0
0,0.00831804566485499,0,0
0,0.08390577255616759,0,0
0,0.14498285864622854,0,1
0,0.27324938777235597,0,1
0,0.4042016128568952,0,1
0,0.3859363288747858,0,1
1,0.7074051589299533,1,1
0,0.32893496430629393,1,1
0,0.017865349338749895,0,0
0,0.01108973072648328,0,0
0,0.15285045562305385,0,1
0,0.0003676722451528316,0,0
1,0.5704667738061833,1,1
0,0.4233110631732691,0,0
0,0.0115150562258749,0,0
1,0.7797337617777348,1,1
0,0.00121251972012601,0,0
0,3.353034473124936e-06,0,1
0,0.44087474768695345,0,0
0,0.3219335466204926,1,1
1,0.6868781134970031,1,1
0,0.4897677106921824,0,1
0,0.000708044678351922,0,1
1,0.8260943435398889,1,1
0,0.21408657561589844,1,1
0,0.015179614918991063,0,0
0,0.2970283736440987,0,1
0,0.11256827751159157,0,1
0,0.03489812266768668,0,0
0,0.2390488528700785,0,1
0,0.00395025705195472,0,1
0,0.46755991305877703,0,0
0,0.03862456258799977,0,1
0,0.1702437130998762,1,1
0,0.3596608770618468,1,1
0,0.2960642989847446,0,1
0,0.0398019579117696,0,1
1,0.9411655187270732,1,1
0,0.007938220899568714,0,0
0,0.0023439181585271167,0,0
0,0.021931107760092963,0,0
1,0.6756356270140766,1,1
0,0.0012519293383552368,0,1
1,0.5220195363350566,1,1
0,0.056511733133709434,0,1
0,0.05917538687621816,0,1
0,0.017895987324125402,0,1
0,0.0003316872698157211,0,0
1,0.9395820520418016,1,1
0,0.21597246094878267,0,1
1,0.8217432155425676,0,1
1,0.826228863985253,1,0
0,0.0962134441143677,0,1
0,0.30279216091649774,0,1
0,0.007898896452759176,0,0
1,0.9473033066016013,1,1
0,0.007604469482925429,0,1
0,0.2974302040819352,1,1
1,0.9721426939328337,1,1
0,0.012252525139469405,0,1
1,0.6203013776680972,1,1
1,0.5419446831860149,1,1
0,0.21232341301077848,1,1
0,0.2066266170330024,1,1
0,3.3636936946451057e-06,0,0
0,0.4857295813394895,0,1
1,0.6648986961041742,1,1
0,0.03845366114652275,0,1
0,0.08173471991574885,0,1
0,0.0012605319973079175,0,0
1,0.6175908800164019,1,1
1,0.908504636713891,1,1
1,0.6191687780236962,0,1
0,0.001220459659834578,0,1
0,0.19551244319600578,1,1
0,0.3807761930176339,0,1
0,0.1723127997949033,0,1
0,0.2245221666547744,0,1
0,0.018130719189748526,0,1
1,0.5534516364656579,0,1
0,0.04735643439993935,0,1
0,0.06796032895608596,0,1
0,0.23512000060300264,0,1
0,0.059278366972006086,0,1
0,4.6156541886399884e-05,0,1
0,0.49281913727551163,0,0
0,3.4038814619329044e-06,0,0
0,0.013571203409102327,0,1
0,0.09095928078921353,0,1
0,0.02954603373954408,0,0
0,0.3381840068587221,1,0
0,0.42798212771156663,0,1
0,0.4379945768969667,1,1
1,0.5283007232855891,1,1
0,0.3687971952048227,0,1
1,0.5204761896647496,1,1
0,0.3383550691729823,1,1
1,0.9639418293073753,1,1
0,0.26986089949451764,0,1
0,5.868724462158538e-05,0,1
0,0.008698332996698803,0,1
1,0.6145926727148996,1,1
0,0.16353750070361608,0,1
0,0.01237535579915607,0,1
0,0.026363811615224646,0,0
0,0.026202583907470923,0,0
0,0.0664751132089818,1,0
0,0.05752354659010169,0,1
0,0.050058304877856334,0,0
0,0.12593974700386482,0,1
0,0.02165887003021242,0,1
0,0.003496403481802403,0,1
0,0.3658887492529664,0,1
0,0.3480475486934907,0,0
0,0.3193705822591869,0,1
0,0.0029739257783902057,0,0
0,0.001979171557927094,0,1
0,0.2431312829997394,0,1
0,0.00907669124550536,0,1
0,0.301003358795041,1,1
0,0.07904589398306876,0,1
1,0.7537355600359532,1,1
0,0.2763261341834502,0,1
1,0.5590911142022532,1,1
1,0.7396695829771857,0,1
0,0.012608676557629348,0,0
0,0.03207950435914628,0,1
0,0.05025540163591853,0,1
1,0.8219147228097111,1,1
1,0.5768186894628368,1,1
1,0.5801892695238503,0,1
0,0.2648753980729815,0,1
0,0.01935764125459483,0,1
0,3.4479656521647515e-06,0,0
0,0.009425710434404412,0,0
0,0.11905596996783074,0,0
0,0.02209275488145775,0,0
0,0.21642754860349667,0,0
0,0.3762296398373734,0,1
0,0.000650273934259016,0,0
0,0.0005338044072269501,0,1
1,0.5470183556252657,1,1
0,0.024356813047602507,0,1
0,0.06634421279662803,0,1
0,0.005563208812998684,0,0
0,0.06304240915069981,0,0
0,0.055366438237265725,0,0
0,0.4934053474567473,1,1
0,3.235620310978906e-06,0,1
0,5.2904460431174294e-11,0,0
0,0.05695915552186205,0,0
0,0.4547059225077005,0,1
1,0.6034182296901591,1,1
0,0.25499025078968834,1,1
0,0.0695570027043357,0,1
0,0.4920971958119033,1,1
0,5.330303303250104e-11,0,0
0,0.09866930467241261,0,1
0,0.2883578004266198,0,0
0,0.06509815235848443,0,0
0,0.16100413468161795,0,0
1,0.962888049345917,1,1
0,0.05840126779594156,0,1
0,0.414458305636468,1,1
0,0.00577024004770446,0,1
0,0.1182229292566243,0,1
0,0.19213815044691288,0,0
0,0.3115758340788473,0,1
0,0.0050392933079791615,0,0
