y_test_pred,y_test_proba,y_test,A_test
0.0,0.31180887884126807,0,1
0.0,0.006482873834081997,0,1
0.0,0.005714779847872218,0,1
0.0,0.4088924435347079,1,1
0.0,0.45897430375695325,1,1
0.0,0.11280831825369113,0,1
1.0,0.7439160360314326,1,0
0.0,0.4476095515195352,1,1
0.0,0.009783351176422267,0,1
0.0,0.030249263162324413,0,0
0.0,0.12490263046472258,0,1
0.0,0.0,0,0
1.0,0.6466754566589619,1,1
0.0,0.35452794426265594,0,1
1.0,0.6147163088997993,1,1
0.0,0.0011133922245600426,0,0
0.0,0.01807313391601272,0,1
0.0,0.42478794165306444,1,0
0.0,0.00028374449317141256,0,1
1.0,0.7839550953566036,1,1
0.0,0.02196666482263085,0,1
0.0,0.0018842958918890494,0,1
0.0,0.006459466603840188,0,0
0.0,0.041654431030735184,0,1
0.0,0.34519246504877316,0,1
0.0,0.0005548615935918164,0,0
0.0,0.021648273958977185,0,0
0.0,0.19980666833665417,0,1
0.0,0.12798770382011598,1,1
1.0,0.8851063705992618,1,1
0.0,0.16269854081701976,0,1
0.0,0.058024131339575055,0,0
0.0,0.2647931331393392,0,0
0.0,0.00016557453751450376,0,0
0.0,0.18670111341197093,0,1
1.0,0.6490173396487116,0,1
0.0,0.16072575742141482,0,1
0.0,0.4344782189355688,1,1
0.0,0.19623575766419168,0,1
0.0,0.0510466163316911,0,0
1.0,0.9692447549630172,1,1
0.0,0.01596303121483093,0,1
0.0,0.36651128129602495,0,1
1.0,0.6977521123635457,1,0
0.0,0.1361501910330905,0,1
0.0,0.42735155349906156,0,0
0.0,0.0235719352362647,0,0
0.0,0.0004623962518072763,0,1
1.0,0.5036291035939453,1,1
1.0,0.7451335166868269,1,0
0.0,0.30134294451702803,0,1
0.0,0.1656794359998937,0,1
0.0,4.434770987788007e-05,0,0
1.0,0.5920209596866152,0,1
0.0,0.0032323813208786647,0,1
0.0,0.026508820693239035,0,0
0.0,0.0004394336924806645,0,1
0.0,0.018077442056380944,0,0
0.0,0.272902598664516,1,1
1.0,0.6462250414927762,1,0
0.0,0.020410463081841995,0,0
0.0,0.00850899526278484,0,0
0.0,0.006185592841375114,0,0
1.0,0.6114562436636649,1,1
0.0,0.005187251642025115,0,1
1.0,0.5942454966018935,0,1
0.0,0.2923510950511014,0,1
0.0,0.011623414003328655,0,0
0.0,0.14590163365929204,0,0
1.0,0.5971038947483263,1,1
0.0,0.050372021878758354,0,0
0.0,0.010633927906739329,0,1
0.0,0.009774469842131199,0,0
0.0,0.22446131128753855,1,1
1.0,0.6363141047471739,0,1
0.0,0.07899328620701491,0,0
0.0,0.4023079577364944,0,1
0.0,0.4704404242515001,1,1
1.0,0.9925764225417353,1,1
0.0,0.04730563042389824,0,1
0.0,0.06664222200429674,0,0
0.0,0.057773268779651756,0,1
0.0,0.08430079753768457,0,1
0.0,0.03692678085331527,0,1
0.0,0.1808120301795386,0,1
0.0,0.17024715240486327,0,1
0.0,0.23889219021807157,1,0
0.0,5.387648208783748e-11,0,1
0.0,0.06495287000665195,0,1
0.0,0.052481976376986934,0,1
0.0,0.07202101696825204,1,1
0.0,0.07846741900656334,0,1
1.0,0.5303637260382358,1,1
0.0,0.09279573685143254,0,1
0.0,0.24225984060135064,0,1
0.0,0.021658182972362976,0,1
0.0,0.0058126068452525655,0,1
0.0,0.05155472735927991,0,0
0.0,0.09642021349842927,0,1
0.0,0.028593678989764826,0,1
0.0,0.030218326929124302,0,1
0.0,0.31180887884126807,0,1
1.0,0.9520743609429067,1,1
0.0,0.027014895146158437,0,0
0.0,0.19529581373205943,0,1
0.0,0.0,0,1
0.0,0.07772085500278278,1,1
0.0,0.11962993740037345,0,1
0.0,0.0220603306724993,0,0
0.0,0.014330811581591656,0,1
0.0,0.00691968601523767,0,1
0.0,0.13397286188650526,0,1
0.0,0.19969656451417117,0,0
1.0,0.8679075428846976,1,0
0.0,0.4606327091395514,1,1
0.0,0.11692636380563196,1,1
1.0,0.6372386575231563,0,0
0.0,0.014854828585881155,0,1
0.0,0.08228259543908312,0,1
1.0,0.9747114443177598,1,1
1.0,0.6062639426442568,0,0
0.0,0.05382473177441383,0,1
0.0,0.006009071619530862,0,1
0.0,0.06651162508345836,0,1
0.0,0.17376151299608225,0,1
0.0,0.14547332944083616,0,1
0.0,0.01640296546545934,0,1
0.0,0.0011950287498076562,0,0
1.0,0.8942835899481808,1,1
0.0,0.49517788200938273,0,1
0.0,0.23230121254776212,1,1
1.0,0.5806693129638141,0,0
0.0,5.375238260636857e-11,0,0
0.0,0.0019143315308544197,0,0
1.0,0.5291572286353513,0,1
0.0,0.06974309271916963,0,1
1.0,0.6532993984836417,1,0
0.0,0.019319678706535358,0,0
0.0,0.45461698385934834,1,1
1.0,0.5699488102205534,0,0
1.0,0.9632122392679949,1,1
0.0,0.14475390286330797,0,0
0.0,0.019522638218838293,0,0
0.0,0.00897490127170114,0,0
1.0,0.5993829067417291,1,1
0.0,0.05463241611199132,0,0
0.0,0.001217522278271393,0,1
0.0,0.2129312699419656,0,1
0.0,0.06164205132638174,0,1
0.0,0.4422721169852505,0,1
0.0,0.09071836772790687,0,1
0.0,0.08766300013804222,0,1
0.0,0.4142035200903326,1,1
0.0,0.0031027321026045507,0,1
0.0,0.3002735282694447,0,1
1.0,0.9920188092799277,1,1
0.0,0.0,0,0
0.0,0.003509032444554852,0,0
1.0,0.98531105966115,1,1
1.0,0.9636044216275008,1,1
0.0,0.0035039960893563024,0,0
0.0,0.02550223291424585,0,1
0.0,0.0026102397489224565,0,1
0.0,0.00861910273054824,0,1
1.0,0.9456079876244706,1,1
0.0,0.21525869709393805,0,1
1.0,0.6043213569798832,0,1
0.0,0.10917607303989416,0,1
0.0,0.2955463231227735,0,1
0.0,0.14996136608606803,0,1
0.0,0.4978189558525342,0,1
1.0,0.7016426209531093,1,1
0.0,0.4409758258344473,1,1
0.0,0.45453762727623237,0,1
0.0,0.3083227868611776,0,1
0.0,0.05794600354739975,0,1
0.0,0.0873864299359554,0,1
0.0,7.583985377002121e-05,0,1
0.0,0.0014483203471173545,0,1
0.0,0.021374041798126665,0,0
0.0,0.05519498454722326,0,1
1.0,0.6102389154056859,1,1
1.0,0.7611213624510044,1,1
0.0,0.017891725816167676,0,1
1.0,0.9629983143456116,1,1
0.0,0.04321635194269632,0,1
0.0,0.4951596502863213,1,1
0.0,0.4173706874170025,0,1
0.0,0.1713230582591544,0,0
0.0,0.015571387848403964,0,0
0.0,0.09803661573399991,0,0
0.0,0.1127055407185548,0,1
0.0,0.25121233707914015,0,1
0.0,0.38009393325004415,0,1
0.0,0.37194910073652254,0,1
1.0,0.7557708227156963,1,1
0.0,0.36101143863096435,1,1
0.0,0.019014342195081902,0,0
0.0,0.014887225027304595,0,0
0.0,0.14894244929435438,0,1
0.0,0.006337241226236574,0,0
0.0,0.4861703765332019,1,1
0.0,0.40295442599203596,0,0
0.0,0.009730038020210684,0,0
1.0,0.8012927960580736,1,1
0.0,4.472883029941592e-05,0,0
0.0,0.00014331259816785264,0,1
0.0,0.44425295804657206,0,0
0.0,0.2912820882785768,1,1
1.0,0.6991848243200208,1,1
0.0,0.47715485053139534,0,1
0.0,0.000529636828892416,0,1
1.0,0.8323275961044933,1,1
0.0,0.22897881022604946,1,1
0.0,0.022171958306412352,0,0
0.0,0.3409338888673147,0,1
0.0,0.11618049546606471,0,1
0.0,0.04542024468386193,0,0
0.0,0.2467758571666101,0,1
0.0,0.01477907311032282,0,1
0.0,0.4628197479553828,0,0
0.0,0.04525850739946694,0,1
0.0,0.2161437179145992,1,1
0.0,0.38814462015346735,1,1
0.0,0.2856705336075564,0,1
0.0,0.057705491573111806,0,1
1.0,0.9725035865447529,1,1
0.0,0.01476161702554296,0,0
0.0,1.0852667126517303e-09,0,0
0.0,0.023849387242879404,0,0
1.0,0.7406627586078011,1,1
0.0,0.0014168388899482131,0,1
1.0,0.5020496955294028,1,1
0.0,0.06603749009574426,0,1
0.0,0.0818650656692908,0,1
0.0,0.024872632569554666,0,1
0.0,0.0,0,0
1.0,0.9500829688081565,1,1
0.0,0.20491011616041332,0,1
1.0,0.8103975403005025,0,1
1.0,0.8323593435310682,1,0
0.0,0.0741510618464826,0,1
0.0,0.299010300266409,0,1
0.0,0.007260318767145404,0,0
1.0,0.9294555541392768,1,1
0.0,0.010111324673423367,0,1
0.0,0.29258098542207556,1,1
1.0,0.9799258259944726,1,1
0.0,0.01743214166384889,0,1
1.0,0.6442228015692208,1,1
1.0,0.5278390544807675,1,1
0.0,0.1880867294533501,1,1
0.0,0.1869312656893179,1,1
0.0,0.0001427404190253607,0,0
1.0,0.5044955321620651,0,1
1.0,0.6540302947333431,1,1
0.0,0.03670040623233494,0,1
0.0,0.0785332056910698,0,1
0.0,0.0008912978796767679,0,0
1.0,0.6538825288614212,1,1
1.0,0.9343193801273173,1,1
1.0,0.6013827593374378,0,1
0.0,3.646736679285549e-05,0,1
0.0,0.20968116493516206,1,1
0.0,0.37343823748245764,0,1
0.0,0.18007161766522964,0,1
0.0,0.23329391067996835,0,1
0.0,0.012118685085001588,0,1
1.0,0.5644995130859332,0,1
0.0,0.048255423961587246,0,1
0.0,0.038754206800564135,0,1
0.0,0.22820641269003644,0,1
0.0,0.08003523419174158,0,1
0.0,0.000201987724746253,0,1
0.0,0.45492615713559637,0,0
0.0,0.0001461239573105108,0,0
0.0,0.01700752345539766,0,1
0.0,0.1016445014421032,0,1
0.0,0.04101719049867311,0,0
0.0,0.3444712644675595,1,0
0.0,0.38460983401423715,0,1
0.0,0.45858344528988404,1,1
1.0,0.5211859588946203,1,1
0.0,0.38571163232121397,0,1
0.0,0.4555584589329225,1,1
0.0,0.3576345717777374,1,1
1.0,0.9823019943423911,1,1
0.0,0.27319045140116155,0,1
0.0,2.3043554633199417e-05,0,1
0.0,0.010998991977473617,0,1
1.0,0.6463322738622819,1,1
0.0,0.16102574450135296,0,1
0.0,0.01518648470854867,0,1
0.0,0.02352664869868562,0,0
0.0,0.024495475695586667,0,0
0.0,0.0894961073919107,1,0
0.0,0.052672792723109686,0,1
0.0,0.043859749729534374,0,0
0.0,0.1307306049277954,0,1
0.0,0.018373559107874495,0,1
0.0,0.005824648011909362,0,1
0.0,0.33076787851648326,0,1
0.0,0.3239730282597187,0,0
0.0,0.3360353384684476,0,1
0.0,0.007813207419962847,0,0
0.0,2.3429744867279515e-05,0,1
0.0,0.23780076590014904,0,1
0.0,0.002713964722112403,0,1
0.0,0.3122065091042806,1,1
0.0,0.0773911101041318,0,1
1.0,0.7542125337682032,1,1
0.0,0.2559538940704936,0,1
1.0,0.611621924824124,1,1
1.0,0.7525632586858261,0,1
0.0,0.020007282954859554,0,0
0.0,0.0181731184814594,0,1
0.0,0.048806871136194106,0,1
1.0,0.839508344962264,1,1
1.0,0.5698175181825137,1,1
1.0,0.5905037141498723,0,1
0.0,0.1918629922908183,0,1
0.0,0.030447452685072863,0,1
0.0,4.415128509674091e-05,0,0
0.0,0.004228315514299267,0,0
0.0,0.11763362604961809,0,0
0.0,0.04232219076043672,0,0
0.0,0.24920182591932957,0,0
0.0,0.4088924435347079,0,1
0.0,0.0004349767785424026,0,0
0.0,1.9180877002358712e-10,0,1
1.0,0.5133260575583933,1,1
0.0,0.018718486626143133,0,1
0.0,0.08832803990327494,0,1
0.0,0.0022781929546445137,0,0
0.0,0.07363454805742038,0,0
0.0,0.04505464237084195,0,0
1.0,0.5117550291017426,1,1
0.0,0.0,0,1
