y_test_pred,y_test_proba,y_test,A_test
0.0,0.3903158,0,1
0.0,0.0051785605,0,1
0.0,0.0115056485,0,1
0.0,0.33167154,1,1
1.0,0.5272556,1,1
0.0,0.079163894,0,1
1.0,0.5095137,1,0
0.0,0.4647416,1,1
0.0,0.00902285,0,1
0.0,0.0062623755,0,0
0.0,0.05689017,0,1
0.0,0.00032603083,0,0
1.0,0.7550126,1,1
0.0,0.2258959,0,1
1.0,0.70368564,1,1
1.0,0.002588676,0,0
0.0,0.0071695945,0,1
0.0,0.23470688,1,0
0.0,0.0015072577,0,1
1.0,0.8730592,1,1
0.0,0.026258076,0,1
0.0,0.0109090395,0,1
0.0,0.0066837813,0,0
0.0,0.027284646,0,1
0.0,0.1721459,0,1
0.0,0.0007766108,0,0
0.0,0.0013911857,0,0
0.0,0.033147424,0,1
0.0,0.16483341,1,1
1.0,0.94655704,1,1
0.0,0.23810585,0,1
0.0,0.019825635,0,0
0.0,0.09836953,0,0
0.0,0.0013397028,0,0
0.0,0.1939713,0,1
1.0,0.7588557,0,1
0.0,0.26760313,0,1
0.0,0.34847432,1,1
0.0,0.13523419,0,1
0.0,0.013324539,0,0
1.0,0.9989417,1,1
0.0,0.01493019,0,1
0.0,0.47420368,0,1
0.0,0.32956785,1,0
0.0,0.25461146,0,1
0.0,0.27844656,0,0
0.0,0.0078100264,0,0
0.0,0.0014078511,0,1
1.0,0.9443263,1,1
1.0,0.5312181,1,0
0.0,0.29801035,0,1
0.0,0.21766628,0,1
0.0,0.0003391894,0,0
1.0,0.62320644,0,1
0.0,0.00096531986,0,1
1.0,0.008573707,0,0
0.0,0.0024122854,0,1
0.0,0.02593081,0,0
0.0,0.21791142,1,1
1.0,0.46190724,1,0
0.0,0.002587236,0,0
1.0,0.0032208092,0,0
0.0,0.008253085,0,0
1.0,0.6849749,1,1
0.0,0.00017632532,0,1
1.0,0.62320644,0,1
0.0,0.36277166,0,1
0.0,0.0044007106,0,0
0.0,0.12369738,0,0
1.0,0.9435059,1,1
0.0,0.012926981,0,0
0.0,0.0057632127,0,1
0.0,0.016449379,0,0
1.0,0.8356707,1,1
1.0,0.75877243,0,1
1.0,0.025607442,0,0
1.0,0.5626223,0,1
1.0,0.64725137,1,1
1.0,0.99760973,1,1
0.0,0.02430224,0,1
1.0,0.028320037,0,0
0.0,0.007810008,0,1
0.0,0.034634173,0,1
0.0,0.027627671,0,1
0.0,0.21979569,0,1
0.0,0.49814132,0,1
0.0,0.15578018,1,0
0.0,0.0013858561,0,1
0.0,0.011942352,0,1
0.0,0.0155114075,0,1
0.0,0.026501574,1,1
0.0,0.17063308,0,1
1.0,0.67938566,1,1
0.0,0.017878857,0,1
0.0,0.20555554,0,1
0.0,0.008041977,0,1
0.0,0.008705157,0,1
0.0,0.009726299,0,0
0.0,0.10334069,0,1
0.0,0.011137683,0,1
0.0,0.02184867,0,1
0.0,0.3903158,0,1
1.0,0.99499905,1,1
0.0,0.032689843,0,0
0.0,0.09455989,0,1
0.0,0.0014362083,0,1
0.0,0.116139226,1,1
0.0,0.032657765,0,1
0.0,0.008418469,0,0
0.0,0.0011206169,0,1
0.0,0.0061499774,0,1
0.0,0.09700593,0,1
0.0,0.19720612,0,0
1.0,0.7324296,1,0
1.0,0.536477,1,1
0.0,0.14034583,1,1
0.0,0.27875766,0,0
0.0,0.0025360738,0,1
0.0,0.055106103,0,1
1.0,0.996815,1,1
0.0,0.48200473,0,0
0.0,0.050737023,0,1
0.0,0.021024877,0,1
0.0,0.026994912,0,1
0.0,0.016208794,0,1
0.0,0.096412614,0,1
0.0,0.022880351,0,1
0.0,0.0043705744,0,0
1.0,0.9808545,1,1
0.0,0.39367574,0,1
0.0,0.31689075,1,1
0.0,0.46219325,0,0
0.0,0.002351315,0,0
0.0,0.0009070021,0,0
1.0,0.61887234,0,1
0.0,0.022368535,0,1
1.0,0.94026107,1,0
0.0,0.0067242146,0,0
0.0,0.3936785,1,1
0.0,0.33118483,0,0
1.0,0.9996631,1,1
0.0,0.06364122,0,0
0.0,0.0038205017,0,0
0.0,0.0027095864,0,0
1.0,0.7523182,1,1
0.0,0.028393677,0,0
0.0,0.008573752,0,1
0.0,0.17548005,0,1
0.0,0.016354468,0,1
1.0,0.5765744,0,1
0.0,0.09836636,0,1
0.0,0.053052265,0,1
1.0,0.583197,1,1
0.0,0.0018381332,0,1
0.0,0.351703,0,1
1.0,0.99904066,1,1
0.0,0.00052315224,0,0
0.0,0.000622015,0,0
1.0,0.9948384,1,1
1.0,0.99856406,1,1
0.0,0.00029390588,0,0
0.0,0.012064375,0,1
0.0,0.0021040766,0,1
0.0,0.02022423,0,1
1.0,0.991418,1,1
0.0,0.21789898,0,1
1.0,0.79091895,0,1
0.0,0.18849483,0,1
0.0,0.45018008,0,1
0.0,0.08565648,0,1
1.0,0.5493405,0,1
1.0,0.7911637,1,1
0.0,0.4950419,1,1
0.0,0.4530657,0,1
0.0,0.24323322,0,1
0.0,0.053588044,0,1
0.0,0.123348355,0,1
0.0,0.0002059375,0,1
0.0,0.0076291044,0,1
0.0,0.006421324,0,0
0.0,0.04189641,0,1
1.0,0.89920413,1,1
1.0,0.9723532,1,1
0.0,0.0011476852,0,1
1.0,0.99415475,1,1
0.0,0.09797698,0,1
1.0,0.5478162,1,1
1.0,0.5659662,0,1
0.0,0.036168333,0,0
0.0,0.0024627962,0,0
0.0,0.040006753,0,0
0.0,0.056084882,0,1
0.0,0.23921056,0,1
0.0,0.4152126,0,1
0.0,0.3533669,0,1
1.0,0.9857314,1,1
0.0,0.38404214,1,1
0.0,0.00043122127,0,0
0.0,0.008648613,0,0
0.0,0.061292794,0,1
0.0,0.0032330283,0,0
1.0,0.5710844,1,1
0.0,0.13494588,0,0
0.0,0.017675584,0,0
1.0,0.98354524,1,1
0.0,0.00020134983,0,0
0.0,0.000558959,0,1
0.0,0.3023595,0,0
0.0,0.3957366,1,1
1.0,0.75360596,1,1
1.0,0.51959467,0,1
0.0,0.0014977946,0,1
1.0,0.90313745,1,1
0.0,0.28008413,1,1
1.0,0.009452746,0,0
0.0,0.03277979,0,1
0.0,0.120190054,0,1
0.0,0.018800128,0,0
0.0,0.3329731,0,1
0.0,0.00094204047,0,1
1.0,0.56081975,0,0
0.0,0.0063589956,0,1
0.0,0.28859353,1,1
0.0,0.47323343,1,1
0.0,0.31187093,0,1
0.0,0.024274554,0,1
1.0,0.9987865,1,1
0.0,0.012506313,0,0
0.0,0.00010544777,0,0
0.0,0.007898278,0,0
1.0,0.97314835,1,1
0.0,0.00037465183,0,1
1.0,0.56766975,1,1
0.0,0.04192129,0,1
0.0,0.04907801,0,1
0.0,0.011114699,0,1
0.0,0.000670546,0,0
1.0,0.9991208,1,1
0.0,0.31851533,0,1
1.0,0.871018,0,1
1.0,0.73534054,1,0
0.0,0.055876236,0,1
1.0,0.50753,0,1
1.0,0.0004745572,0,0
1.0,0.9948643,1,1
0.0,0.015957272,0,1
1.0,0.91486984,1,1
1.0,0.9993741,1,1
0.0,0.018940981,0,1
1.0,0.9708561,1,1
1.0,0.60200673,1,1
0.0,0.3072342,1,1
0.0,0.23598808,1,1
0.0,0.0011974336,0,0
0.0,0.1300918,0,1
1.0,0.76004946,1,1
0.0,0.015129648,0,1
0.0,0.060108952,0,1
0.0,0.00046638015,0,0
1.0,0.9605957,1,1
1.0,0.98813045,1,1
1.0,0.69368094,0,1
0.0,0.00037940772,0,1
0.0,0.29312372,1,1
0.0,0.4021026,0,1
0.0,0.095220886,0,1
0.0,0.3628698,0,1
0.0,0.003971755,0,1
0.0,0.72004,0,1
0.0,0.018390672,0,1
0.0,0.05313702,0,1
0.0,0.31610778,0,1
0.0,0.061100908,0,1
0.0,0.0005611591,0,1
0.0,0.25067422,0,0
0.0,0.0011215712,0,0
0.0,0.057755686,0,1
0.0,0.2730161,0,1
0.0,0.045775782,0,0
0.0,0.37691024,1,0
0.0,0.44994408,0,1
1.0,0.6134997,1,1
0.0,0.65773535,1,1
1.0,0.576517,0,1
0.0,0.4813804,1,1
0.0,0.4266015,1,1
1.0,0.9979856,1,1
0.0,0.32142892,0,1
0.0,0.0032919855,0,1
0.0,0.0016308547,0,1
1.0,0.6864284,1,1
0.0,0.035547845,0,1
0.0,0.010630031,0,1
0.0,0.0037715791,0,0
0.0,0.011804824,0,0
1.0,0.5657061,1,0
0.0,0.051221423,0,1
0.0,0.017966487,0,0
0.0,0.17891756,0,1
0.0,0.022338113,0,1
0.0,0.0020093082,0,1
0.0,0.16060503,0,1
0.0,0.25431782,0,0
0.0,0.4941155,0,1
0.0,0.011041622,0,0
0.0,0.0007549094,0,1
0.0,0.24199632,0,1
0.0,0.004870682,0,1
1.0,0.5470503,1,1
0.0,0.14724365,0,1
0.0,0.9761705,1,1
0.0,0.38691008,0,1
1.0,0.78810215,1,1
1.0,0.77390796,0,1
0.0,0.008465492,0,0
0.0,0.03917114,0,1
0.0,0.016972147,0,1
0.0,0.9937875,1,1
1.0,0.5818928,1,1
1.0,0.6938111,0,1
0.0,0.1332213,0,1
0.0,0.009213122,0,1
0.0,0.0013927951,0,0
0.0,0.008754831,0,0
0.0,0.011012064,0,0
0.0,0.0030816714,0,0
0.0,0.19770798,0,0
0.0,0.33167154,0,1
0.0,0.0005259963,0,0
0.0,0.0005080018,0,1
1.0,0.6310622,1,1
0.0,0.0037045153,0,1
0.0,0.007061454,0,1
0.0,0.0008571808,0,0
0.0,0.041168332,0,0
0.0,0.05235571,0,0
1.0,0.52237004,1,1
0.0,0.0003493593,0,1
0.0,0.00028267826,0,0
0.0,0.016355624,0,0
0.0,0.6046901,0,1
1.0,0.6456965,1,1
0.0,0.35809886,1,1
0.0,0.14336088,0,1
1.0,0.54529816,1,1
0.0,0.0009749157,0,0
0.0,0.079436906,0,1
0.0,0.20446046,0,0
0.0,0.04104997,0,0
0.0,0.14481932,0,0
1.0,0.99796116,1,1
0.0,0.020652218,0,1
0.0,0.45459712,1,1
0.0,0.0010132862,0,1
0.0,0.12308394,0,1
0.0,0.17562488,0,0
0.0,0.15765677,0,1
0.0,0.0018578591,0,0
0.0,0.48159078,1,1
1.0,0.99649256,1,1
1.0,0.9878357,1,1
1.0,0.046402242,0,0
0.0,0.38664085,1,1
0.0,0.11596313,0,1
0.0,0.10901156,0,0
0.0,0.0009373659,0,1
0.0,0.0021346034,0,1
0.0,0.042430323,0,0
0.0,0.038143996,1,0
0.0,0.105526954,0,1
0.0,0.0015213962,0,1
0.0,6.11907e-05,0,0
0.0,0.0002022187,0,1
0.0,0.00018580505,0,0
0.0,0.02756271,0,0
0.0,0.052273553,0,1
0.0,0.3512511,1,1
1.0,0.99805707,1,1
