y_test_pred,y_test_proba,y_test,A_test
0.0,0.3264914299885215,0,1
0.0,0.029831844358324748,0,1
0.0,0.06286690377453381,0,1
0.0,0.2729362011936422,1,1
1.0,0.746877293705551,1,1
0.0,0.10919172086217607,0,1
0.0,0.43908673471950904,1,0
0.0,0.46283899599419037,1,1
0.0,0.007716255956953014,0,1
0.0,0.017546273737219526,0,0
0.0,0.07734602939411171,0,1
1.0,0.00631232101710795,0,0
1.0,0.7044093676139525,1,1
0.0,0.4789080676741577,0,1
1.0,0.6912220194833881,1,1
1.0,0.018093228290329676,0,0
0.0,0.0012309979510548527,0,1
0.0,0.1885397236554751,1,0
0.0,0.013321144895824331,0,1
1.0,0.8494653538493273,1,1
0.0,0.1908267165113322,0,1
0.0,0.023946134117477508,0,1
0.0,0.005373940256187919,0,0
0.0,0.03264848409964472,0,1
0.0,0.08600077947124676,0,1
0.0,0.0020466976033116724,0,0
0.0,0.004165629157143875,0,0
1.0,0.6526261480337389,0,1
0.0,0.17615207897675464,1,1
1.0,0.9991377654250271,1,1
0.0,0.3123990223677898,0,1
0.0,0.015034528812956026,0,0
0.0,0.11713057301874083,0,0
0.0,0.0010781291123743574,0,0
0.0,0.09279155922705182,0,1
1.0,0.7688267097666165,0,1
0.0,0.3849907778064914,0,1
0.0,0.09605741296715076,1,1
0.0,0.14938271570512143,0,1
0.0,0.020060084742908133,0,0
1.0,0.979172163924126,1,1
0.0,0.027259250636585654,0,1
0.0,0.4908870826049756,0,1
1.0,0.7345150201181834,1,0
0.0,0.2212624324537511,0,1
0.0,0.252265504451792,0,0
1.0,0.019279852640385457,0,0
0.0,0.010329723298740068,0,1
1.0,0.8079952287961493,1,1
0.0,0.4090794563293269,1,0
0.0,0.28292132588888286,0,1
0.0,0.23917817377305284,0,1
0.0,0.006704805010461057,0,0
1.0,0.5054106737142161,0,1
0.0,0.000573168878972599,0,1
0.0,0.04005015704700715,0,0
0.0,0.019453900775910547,0,1
0.0,0.043620313539092105,0,0
0.0,0.1664394307399768,1,1
0.0,0.26464729306176843,1,0
0.0,0.020543191323474687,0,0
0.0,0.022935613022018922,0,0
0.0,0.0615113517049535,0,0
1.0,0.5817622880383638,1,1
0.0,0.005902045452429833,0,1
1.0,0.511219890606428,0,1
0.0,0.35298760147627184,0,1
0.0,0.01285334961652134,0,0
0.0,0.04982708555162062,0,0
1.0,0.8210469471859049,1,1
