y_test_pred,y_test_proba,y_test,A_test
0.0,0.4738785990117127,0,1
0.0,0.02072691928677438,0,1
0.0,0.053503914107232584,0,1
0.0,0.4075581444357823,1,1
1.0,0.5524349692770307,1,1
0.0,0.17981457482190102,0,1
1.0,0.5413820647239187,1,0
1.0,0.6324978792382187,1,1
0.0,0.0374849077108952,0,1
0.0,0.004151541424905015,0,0
0.0,0.17403797136735608,0,1
0.0,0.0006838884252633103,0,0
1.0,0.8312919552437941,1,1
0.0,0.4019756748095857,0,1
1.0,0.7593413293785987,1,1
0.0,0.008798721679089828,0,0
0.0,0.011529320971379257,0,1
0.0,0.36668667952669615,1,0
0.0,0.007681661295314001,0,1
1.0,0.8852711114769606,1,1
0.0,0.11556908300082354,0,1
0.0,0.009734064862053915,0,1
0.0,0.0027729426098498594,0,0
0.0,0.0693611406569405,0,1
0.0,0.08292002804106903,0,1
0.0,0.0003764751341762092,0,0
0.0,0.001706204930079071,0,0
0.0,0.1372711094561634,0,1
0.0,0.2337294531881923,1,1
1.0,0.9999868047365129,1,1
0.0,0.32460159299885194,0,1
0.0,0.03606841845709449,0,0
0.0,0.3819973155773735,0,0
0.0,0.0016511762670323245,0,0
0.0,0.21074928740999568,0,1
1.0,0.7909492276807741,0,1
0.0,0.408770746011752,0,1
0.0,0.3128898952592405,1,1
0.0,0.29365540277185326,0,1
0.0,0.04655862324699619,0,0
1.0,0.8822345516666297,1,1
0.0,0.02777148121179116,0,1
1.0,0.5970556562017648,0,1
1.0,0.5663745661109457,1,0
0.0,0.38758020027767043,0,1
0.0,0.4623144118497327,0,0
0.0,0.011285324193288293,0,0
0.0,0.0030553473240368533,0,1
0.0,0.21929976854683522,1,1
1.0,0.6875168759386249,1,0
0.0,0.44352525943119314,0,1
0.0,0.3259279488895516,0,1
0.0,0.0009726259279125346,0,0
1.0,0.6491967389869516,0,1
0.0,0.002731070104576171,0,1
0.0,0.016552621323091647,0,0
0.0,0.003006112858002932,0,1
0.0,0.022718398602074,0,0
0.0,0.26881129778826895,1,1
0.0,0.3723260598737533,1,0
0.0,0.0041486300633340216,0,0
0.0,0.0037249363419409537,0,0
0.0,0.04349637695031573,0,0
1.0,0.7729464600243536,1,1
0.0,0.15547772998143253,0,1
1.0,0.6441107467056821,0,1
0.0,0.4711605376948353,0,1
0.0,0.014889302858252063,0,0
0.0,0.09073611952653242,0,0
1.0,0.6666041773496065,1,1
0.0,0.06352852933931938,0,0
0.0,0.00907251729574862,0,1
0.0,0.013021598482379614,0,0
0.0,0.24455193990466123,1,1
1.0,0.7601088557948004,0,1
0.0,0.06897737911964678,0,0
1.0,0.5811516627894832,0,1
1.0,0.7645244297251693,1,1
1.0,0.8286949709219339,1,1
0.0,0.05702238272912231,0,1
0.0,0.021886012704887752,0,0
0.0,0.1863110408606663,0,1
0.0,0.18532813611008914,0,1
0.0,0.1116274599367221,0,1
0.0,0.2724031589512966,0,1
0.0,0.3139617134157609,0,1
0.0,0.11926761559002605,1,0
0.0,0.0024667738512496916,0,1
0.0,0.019882231082025584,0,1
0.0,0.021565036241180953,0,1
0.0,0.03564908952210266,1,1
0.0,0.27114178628274427,0,1
1.0,0.7359376898598744,1,1
0.0,0.21360412030190082,0,1
0.0,0.3454585163295568,0,1
0.0,0.03304746840267877,0,1
0.0,0.03671136288132172,0,1
0.0,0.01819961094215119,0,0
0.0,0.08945707529219342,0,1
0.0,0.015072399398446228,0,1
0.0,0.08055998497292396,0,1
0.0,0.4738785990117127,0,1
1.0,0.8659117535405401,1,1
0.0,0.07903002563511523,0,0
0.0,0.12964924818977833,0,1
0.0,0.00098083519684416,0,1
0.0,0.11394430153075327,1,1
0.0,0.2141384365700694,0,1
0.0,0.003610800925516784,0,0
0.0,0.25341034282447283,0,1
0.0,0.0026941152596217694,0,1
0.0,0.28184438487862445,0,1
0.0,0.3447902561754846,0,0
1.0,0.8207745331685073,1,0
1.0,0.74550080251684,1,1
0.0,0.242599228935789,1,1
1.0,0.5009018715905876,0,0
0.0,0.001141077745238035,0,1
0.0,0.043586489077906534,0,1
1.0,0.8716989226092463,1,1
0.0,0.32791757697856333,0,0
0.0,0.31908104026650647,0,1
0.0,0.021661843947725187,0,1
0.0,0.027790645721740836,0,1
1.0,0.5470881387189794,0,1
0.0,0.16218732417662535,0,1
0.0,0.04235891812994638,0,1
0.0,0.004075406017658297,0,0
1.0,0.7254543654485449,1,1
0.0,0.38169248130322375,0,1
0.0,0.34540624760501504,1,1
0.0,0.28142125584210237,0,0
0.0,0.002769550068052019,0,0
0.0,0.00018768080942145997,0,0
1.0,0.7198283836738053,0,1
0.0,0.011778465400115824,0,1
1.0,0.5142539711789305,1,0
