y_test_pred,y_test_proba,y_test,A_test
0,0.30731914781454844,0,1
0,0.012204019315958596,0,1
0,0.03064920853039575,0,1
0,0.3396073343296429,1,1
1,0.6876305166135911,1,1
0,0.06831938094672971,0,1
0,0.46286139968230755,1,0
1,0.5406495026836035,1,1
0,0.009336767805005785,0,1
0,0.011974790462464822,0,0
0,0.1072920205920567,0,1
0,0.0018487060026312894,0,0
1,0.7872535898605956,1,1
0,0.3651501944666779,0,1
1,0.6349889367620385,1,1
0,0.009934315170034826,0,0
0,0.007293637105007109,0,1
0,0.2603620447381654,1,0
0,0.0061771700767213516,0,1
1,0.8747841158895595,1,1
0,0.11526501828053412,0,1
0,0.02265684241322961,0,1
0,0.0031321167178539203,0,0
0,0.05395729896329695,0,1
0,0.047606082635286893,0,1
0,0.0010191236941377822,0,0
0,0.0019068933196633628,0,0
0,2.0905947535418658e-11,0,1
0,0.1485041051132574,1,1
1,1.0,1,1
0,0.24015263023383804,0,1
0,0.03119942173474856,0,0
0,0.28882006290442613,0,0
0,0.0028955101601228694,0,0
0,0.1325815774662476,0,1
1,0.7361265745420245,0,1
0,0.24599684526154217,0,1
0,0.14887780547309423,1,1
0,0.23943996963445813,0,1
0,0.027203173370117035,0,0
1,0.9999214712167915,1,1
0,0.03380717771518377,0,1
0,0.47348004751081524,0,1
1,0.9461513426620095,1,0
0,0.27852213883319427,0,1
0,0.34836337763809605,0,0
0,0.009136914547502643,0,0
0,0.003450214772742111,0,1
0,3.364459291483396e-07,1,1
1,0.5405175829590464,1,0
0,0.3653062392966113,0,1
0,0.20453402836905618,0,1
0,0.0020504777558122632,0,0
0,0.4560574138210164,0,1
0,0.002999044680096951,0,1
0,0.022941817340699052,0,0
0,0.006789766986593276,0,1
0,0.040233371723766835,0,0
0,0.24257213656354493,1,1
0,0.3976034951809738,1,0
0,0.006600278735259911,0,0
0,0.010737154672022959,0,0
0,0.027919953411625707,0,0
1,0.7027602590781428,1,1
0,0.18255944903558644,0,1
0,0.44961895645862043,0,1
0,0.37880027607194877,0,1
0,0.01430066293582117,0,0
0,0.06976824553669143,0,0
1,0.9574113232634593,1,1
0,0.03839494010564691,0,0
0,0.01188125865316256,0,1
0,0.02140760788443876,0,0
0,1.4295981054471674e-05,1,1
1,0.6128198366193954,0,1
0,0.030604642869291113,0,0
1,0.6210558614748913,0,1
1,0.6390725573005513,1,1
1,0.9900968445073424,1,1
0,0.04438901481943857,0,1
0,0.012102151903918435,0,0
0,2.504817649262178e-06,0,1
0,0.11387976062899398,0,1
0,0.06388563280024771,0,1
0,0.21409964839158271,0,1
0,0.3089295892453226,0,1
0,0.07018545620317855,1,0
0,0.006250349298156973,0,1
0,0.008244443026385042,0,1
0,0.016140387408419807,0,1
0,0.058185117278045165,1,1
0,0.18529641465109947,0,1
1,0.7467819554593346,1,1
0,4.1654405139299895e-06,0,1
0,0.18534317357866126,0,1
0,0.017573768156472682,0,1
0,0.021993701178592062,0,1
0,0.016898496998406905,0,0
0,0.01829225468714871,0,1
0,0.026327471218358774,0,1
0,0.058778965792830075,0,1
0,0.30731914781454844,0,1
1,0.9994783003332192,1,1
0,0.03811761428871585,0,0
0,0.11622157422959886,0,1
0,0.0030057850270661865,0,1
0,0.08258773157213377,1,1
0,1.7960231232487253e-06,0,1
