y_test_pred,y_test_proba,y_test,A_test
0,0.355728602920656,0,1
0,0.0061918602011069,0,1
0,0.018696401306136024,0,1
0,0.35286719571471414,1,1
1,0.5863472809223766,1,1
0,0.1560603285761887,0,1
0,0.48694590974403906,1,0
1,0.5317693906347627,1,1
0,0.014392970899945874,0,1
0,0.00196933526923908,0,0
0,0.10223827298085908,0,1
0,8.806748193945488e-05,0,0
1,0.7518978909784153,1,1
0,0.28839097937877956,0,1
1,0.7161601360512679,1,1
0,0.002283127679090094,0,0
0,0.016481721653209897,0,1
0,0.27326383201624765,1,0
0,0.0011156980916042075,0,1
1,0.8298297189989585,1,1
0,0.038124726807429725,0,1
0,0.006062477562209815,0,1
0,0.0022196005696123386,0,0
0,0.04419158304256072,0,1
0,0.03671550458049516,0,1
0,0.00015543812070629965,0,0
0,0.00025869259148774776,0,0
0,0.13596580934548916,0,1
0,0.13508849122171915,1,1
1,0.999991196616731,1,1
0,0.2559398301075077,0,1
0,0.027969759614673014,0,0
0,0.2902254864389015,0,0
0,0.0006619436954640918,0,0
0,0.1312519786831052,0,1
1,0.6881888083752521,0,1
0,0.28231526881273117,0,1
0,0.1841296993818534,1,1
0,0.21892484739355883,0,1
0,0.024275950170572817,0,0
1,0.8879894478742569,1,1
0,0.018179517487802502,0,1
0,0.45007593159727144,0,1
1,0.5749721690065124,1,0
0,0.3090372279192263,0,1
0,0.42540739426821483,0,0
0,0.003582532118955215,0,0
0,0.0007886492214697249,0,1
0,0.221340922636232,1,1
1,0.6258876494471707,1,0
0,0.3027243009411761,0,1
0,0.14033844848517563,0,1
0,0.00020462949726938307,0,0
1,0.5343704001725168,0,1
0,0.0031909664471005657,0,1
0,0.00505886007256283,0,0
0,0.001118776868824403,0,1
0,0.0199485387359786,0,0
0,0.2380891787873601,1,1
0,0.3098531167682237,1,0
0,0.0012445134574571176,0,0
0,0.0015868146278470003,0,0
0,0.015107568259957481,0,0
1,0.7351682016740152,1,1
0,0.052737926304472396,0,1
1,0.5254125167229036,0,1
0,0.2891648601281593,0,1
0,0.009423978099028374,0,0
0,0.05281820251161358,0,0
1,0.8356146865210328,1,1
0,0.038935021331057515,0,0
0,0.009128952936151352,0,1
0,0.012306590790496898,0,0
0,0.26723653994840857,1,1
1,0.7095963022251188,0,1
0,0.07139242044796737,0,0
0,0.43098898792532975,0,1
1,0.7294043348188531,1,1
1,0.8684466406787866,1,1
0,0.0310071600774378,0,1
0,0.016983747934840455,0,0
0,0.1890293424564643,0,1
0,0.05800214792994142,0,1
0,0.07347147907392919,0,1
0,0.10922342793322343,0,1
0,0.16365882969704662,0,1
0,0.09804506607163066,1,0
0,0.0008104666969189676,0,1
0,0.0035286082401082644,0,1
0,0.011408254279155327,0,1
0,0.037859071858318716,1,1
0,0.17092315912186248,0,1
1,0.6715600376109137,1,1
0,0.23091602295034888,0,1
0,0.21116104829682256,0,1
0,0.022299744198016738,0,1
0,0.00722969411510781,0,1
0,0.01176101680743027,0,0
0,0.038778039038068035,0,1
0,0.011926945379585998,0,1
0,0.055888274733264284,0,1
0,0.355728602920656,0,1
1,0.8757834569416985,1,1
0,0.028467376160235477,0,0
0,0.07360256681821095,0,1
0,0.0003813575178564012,0,1
0,0.06865971163650295,1,1
0,0.24181842110807947,0,1
0,0.0026414393184095624,0,0
0,0.1510217355652345,0,1
0,0.0010682339564584854,0,1
0,0.19881053184822373,0,1
0,0.2639321506429788,0,0
1,0.7829528596487128,1,0
1,0.6833684852399027,1,1
0,0.1445809750407035,1,1
0,0.4338854186223927,0,0
0,0.0006381292662306354,0,1
0,0.017517429132834748,0,1
1,0.8909119916699522,1,1
0,0.16836911144232428,0,0
0,0.20505549185337268,0,1
0,0.015015524271437177,0,1
0,0.012092665693095904,0,1
1,0.570908395867458,0,1
0,0.10457108791391724,0,1
0,0.04090783866560154,0,1
0,0.0022503377943878934,0,0
1,0.8717869035906051,1,1
0,0.30643053053885105,0,1
0,0.26413562161786797,1,1
0,0.38509989759024077,0,0
0,0.001079609521074562,0,0
0,0.00013002518312851152,0,0
1,0.6032949447840855,0,1
0,0.007655358966902394,0,1
0,0.47876796769397184,1,0
0,0.0054978583418178,0,0
0,0.38214843374525403,1,1
0,0.3722203273739525,0,0
1,0.9997875915052821,1,1
0,0.06522009650513845,0,0
0,0.009518325083399812,0,0
0,0.004810948994461568,0,0
1,0.682510474722212,1,1
0,0.04040930664443362,0,0
0,0.016183946592272663,0,1
0,0.18678921006216537,0,1
0,0.12490378435728912,0,1
1,0.5428621191569898,0,1
0,0.10440316663401811,0,1
0,0.10857750573413985,0,1
1,0.6292765732133108,1,1
0,0.000590364145238748,0,1
0,0.2533357939135973,0,1
1,0.9997588786888907,1,1
0,0.00016293860273935108,0,0
0,0.0006181489112861648,0,0
1,0.8928262487260546,1,1
1,0.9895225199278219,1,1
0,0.0003186553904889,0,0
0,0.02294164785944509,0,1
0,0.0009832848047982966,0,1
0,0.018045291188994696,0,1
1,0.901854495746504,1,1
0,0.10070215515699191,0,1
1,0.7717637036583254,0,1
0,0.05893721855390531,0,1
0,0.4096160952519023,0,1
0,0.05754371561144416,0,1
1,0.5819618163435494,0,1
1,0.7781358336858422,1,1
1,0.5211678472355001,1,1
1,0.5297056393032793,0,1
0,0.23593534721813353,0,1
0,0.01465915960740228,0,1
0,0.20951162763116227,0,1
0,6.756521577626486e-05,0,1
0,0.0031256849893673702,0,1
0,0.005968943102989265,0,0
0,0.08564314271682649,0,1
1,0.6418786801589145,1,1
1,0.6696947549746234,1,1
0,0.22735489265876485,0,1
1,0.7760946394697268,1,1
0,0.06794163376517522,0,1
1,0.6233108592892851,1,1
1,0.5766716004993222,0,1
0,0.04826236760774085,0,0
0,0.0505788880695354,0,0
0,0.1278755375632177,0,0
0,0.033926761586137055,0,1
0,0.1814437934564182,0,1
0,0.2260976234392124,0,1
0,0.4043948267105454,0,1
1,0.8167464971153444,1,1
0,0.3737347990142918,1,1
0,0.0008343123624306194,0,0
0,0.008494729446642278,0,0
0,0.1308162493184368,0,1
0,0.0030447020424832403,0,0
1,0.6090374628208772,1,1
0,0.21723880187629505,0,0
0,0.012977415975224667,0,0
1,0.7201093374930706,1,1
0,7.093956556682152e-05,0,0
0,0.00018527462668828352,0,1
0,0.33840921819067743,0,0
0,0.42706003643186446,1,1
1,0.7482579970384562,1,1
1,0.5284277668011665,0,1
0,0.0006582500968068714,0,1
1,0.8793571734579406,1,1
0,0.188753634097012,1,1
0,0.014496577429407284,0,0
0,0.30463407115470037,0,1
0,0.24465779556380504,0,1
0,0.015259840563202617,0,0
0,0.46887946496914207,0,1
0,0.0015806018281053031,0,1
0,0.39906583105691473,0,0
0,0.0074721992234592395,0,1
0,0.23777870675996474,1,1
1,0.5500353727564731,1,1
0,0.2252124617643503,0,1
0,0.07512190760195073,0,1
1,0.999766824910447,1,1
0,0.031573008700728766,0,0
0,7.686701693356968e-05,0,0
0,0.0037221197320212213,0,0
1,0.9991755683864334,1,1
0,0.0001771205281579479,0,1
1,0.5421429367706821,1,1
0,0.0919052942222058,0,1
0,0.06439843570043356,0,1
0,0.02011265939381721,0,1
0,0.00010481712724555892,0,0
1,0.9997725814054743,1,1
0,0.3178506610732665,0,1
1,0.8259540844282408,0,1
1,0.6471559395930435,1,0
0,0.02439002995961721,0,1
1,0.54463428540857,0,1
0,0.00040066495116004706,0,0
1,0.9999950523345906,1,1
0,0.0041209651542841366,0,1
0,0.17554459672528697,1,1
1,0.9997704788573835,1,1
0,0.02569493550396495,0,1
1,0.6121901488774298,1,1
1,0.5431750273379993,1,1
0,0.33704220065377244,1,1
0,0.3285228853450948,1,1
0,0.0005247921402300411,0,0
0,0.26477132528347025,0,1
1,0.7852592861404049,1,1
0,0.006929846430622145,0,1
0,0.0411136553796094,0,1
0,0.00023926021745267653,0,0
1,0.6239520646440625,1,1
1,0.9997336820390518,1,1
1,0.7564725672658899,0,1
0,8.018600469641464e-05,0,1
0,0.2525440718335369,1,1
0,0.3485582891982087,0,1
0,0.051383882760732594,0,1
0,0.2848492829095143,0,1
0,0.001458555989057724,0,1
1,0.7298745466683044,0,1
0,0.005549737093636172,0,1
0,0.03819403315268866,0,1
0,0.2105854410474511,0,1
0,0.08527565164462755,0,1
0,0.00040956517341858854,0,1
0,0.3929260388748579,0,0
0,0.00031210463857135666,0,0
0,0.09454310716119194,0,1
0,0.12791629221114453,0,1
0,0.02809091793884039,0,0
0,0.4425971643677708,1,0
0,0.424938700203271,0,1
1,0.6547877863478748,1,1
1,0.6508511938871868,1,1
1,0.5464906853452242,0,1
1,0.6271078586142668,1,1
0,0.2495135769013172,1,1
1,0.9209787863737692,1,1
0,0.2738877189648844,0,1
0,0.0010633161447032098,0,1
0,0.0007705029180866923,0,1
1,0.7191310120942894,1,1
1,0.6275957549129793,0,1
0,0.027735872008163423,0,1
0,0.0014821786820860292,0,0
0,0.009820789208922967,0,0
0,0.22363764035809056,1,0
0,0.04796134570112287,0,1
0,0.06646483593515948,0,0
0,0.1498800817846449,0,1
0,0.03306189464856663,0,1
0,0.0033362521405488244,0,1
0,0.10622263331950049,0,1
0,0.3476875196465674,0,0
0,0.29966936006509537,0,1
0,0.02239455416291884,0,0
0,0.00010727205049640843,0,1
0,0.21267806124482658,0,1
0,0.0023005612192651126,0,1
0,0.4718819447319752,1,1
0,0.08186494930145066,0,1
1,0.7033000483302051,1,1
0,0.31281922966112863,0,1
1,0.8464910251634358,1,1
1,0.7098140707602947,0,1
0,0.020200698041262947,0,0
0,0.016143800810263113,0,1
0,0.031215609106935334,0,1
1,1.0,1,1
1,0.6997582526480489,1,1
1,0.7234630309692244,0,1
0,0.24554389629596982,0,1
0,0.016823345127750924,0,1
0,0.0004637279000848522,0,0
0,0.008917422029747048,0,0
0,0.08014981902226395,0,0
0,0.017590410539879423,0,0
0,0.3552435779165185,0,0
0,0.35286719571471414,0,1
0,8.993346889220495e-05,0,0
0,0.00017998871607727827,0,1
1,0.5536296255801142,1,1
0,0.005758017473570017,0,1
0,0.15527848224539803,0,1
0,0.00021149635164266798,0,0
0,0.06018725761308336,0,0
0,0.03493421272404361,0,0
1,0.5024411375104967,1,1
0,0.0001267959746428475,0,1
0,0.00022514110950447715,0,0
0,0.0109536845574061,0,0
1,0.5008565227947561,0,1
1,0.7263658778666043,1,1
0,0.47271979775471634,1,1
0,0.07101209763818249,0,1
0,0.4555986677868097,1,1
0,0.0009855569851363103,0,0
0,0.1050184061147644,0,1
0,0.20260728284453086,0,0
0,0.044105710770468216,0,0
0,0.2430857207491487,0,0
