y_test_pred,y_test_proba,y_test,A_test
0.0,0.39711639926368525,0,1
0.0,0.036158446788486405,0,1
0.0,0.07140211221661683,0,1
0.0,0.41022598241669644,1,1
1.0,0.6376016064871795,1,1
0.0,0.19854040627155284,0,1
1.0,0.6376447165405142,1,0
1.0,0.5416704603958855,1,1
0.0,0.04317647152934975,0,1
0.0,0.006200576348275634,0,0
0.0,0.21976198432521843,0,1
0.0,9.442105435893585e-05,0,0
1.0,0.7344659319504379,1,1
0.0,0.40415173075018096,0,1
1.0,0.6702581393292418,1,1
0.0,0.011037651150018153,0,0
0.0,0.038130603065018046,0,1
1.0,0.30917080881312464,1,0
0.0,0.004886775973117112,0,1
1.0,0.8099851594683792,1,1
0.0,0.16110015447381254,0,1
0.0,0.021447103232715644,0,1
0.0,0.009633101071909636,0,0
0.0,0.09704002588126479,0,1
0.0,0.13619819896197835,0,1
0.0,0.0007204339386527683,0,0
0.0,0.00038149577562114856,0,0
0.0,0.37482313194247824,0,1
0.0,0.1619553402867892,1,1
0.0,0.9925270972648293,1,1
0.0,0.326093907767952,0,1
0.0,0.049435910135818655,0,0
0.0,0.3587455276467856,0,0
0.0,0.00618735174494374,0,0
0.0,0.22947706366079,0,1
1.0,0.7718676899996028,0,1
0.0,0.3334748360097219,0,1
0.0,0.29453667442787584,1,1
0.0,0.24933046088048483,0,1
0.0,0.03677729770487226,0,0
1.0,0.7035453246308124,1,1
0.0,0.03933954226267469,0,1
1.0,0.517783100893141,0,1
0.0,0.44468930792680555,1,0
0.0,0.4014489975652593,0,1
0.0,0.3862206771495705,0,0
0.0,0.014949660637079846,0,0
0.0,0.005227824854073957,0,1
0.0,0.38394477732048093,1,1
1.0,0.6158585460746945,1,0
0.0,0.3853289206063842,0,1
0.0,0.29477947989314807,0,1
0.0,0.001035993520453409,0,0
1.0,0.5483924312540855,0,1
0.0,0.006590393251415046,0,1
0.0,0.02303532042219634,0,0
0.0,0.00646081684473514,0,1
0.0,0.06312827685352404,0,0
0.0,0.2777348447989716,1,1
0.0,0.3482348747642701,1,0
0.0,0.009152079223278957,0,0
0.0,0.008127320577638004,0,0
0.0,0.059623482050485226,0,0
1.0,0.6985619047002528,1,1
0.0,0.0861298954338307,0,1
1.0,0.5417270475765206,0,1
0.0,0.4139660466984589,0,1
0.0,0.015207333495648916,0,0
0.0,0.08296069573874043,0,0
1.0,0.6354364858283433,1,1
0.0,0.048890886587244935,0,0
0.0,0.013096770565980414,0,1
0.0,0.03600233389104881,0,0
0.0,0.39665873911397037,1,1
1.0,0.6687113469746176,0,1
0.0,0.12718209237615843,0,0
1.0,0.602800043503536,0,1
1.0,0.6952152061570619,1,1
1.0,0.6952687551410579,1,1
0.0,0.054199100824922,0,1
0.0,0.03981147941760103,0,0
0.0,0.35667315779457337,0,1
0.0,0.15903363939236873,0,1
0.0,0.07232646162287597,0,1
0.0,0.2863585109670929,0,1
0.0,0.3539336873106865,0,1
0.0,0.2144789873427165,1,0
0.0,0.004968517500805932,0,1
0.0,0.005422330964909272,0,1
0.0,0.0563336024574725,0,1
0.0,0.06847082824573643,1,1
0.0,0.26318476017498404,0,1
1.0,0.6746610861361085,1,1
0.0,0.38013192438236576,0,1
0.0,0.22921859691249552,0,1
0.0,0.052837771807144565,0,1
0.0,0.016855068556281178,0,1
0.0,0.01984129521409604,0,0
0.0,0.12714150390851495,0,1
0.0,0.032555057268713626,0,1
0.0,0.17134668864483893,0,1
0.0,0.39711639926368525,0,1
1.0,0.6983087138292698,1,1
0.0,0.0979880000537877,0,0
0.0,0.12457794900975389,0,1
0.0,0.0024229877567680095,0,1
0.0,0.04349571413845432,1,1
0.0,0.38827456003061156,0,1
1.0,0.009139425041837897,0,0
0.0,0.22193159394447068,0,1
0.0,0.007678181327388828,0,1
0.0,0.22948544790815356,0,1
0.0,0.3588365711178657,0,0
1.0,0.7715061689464996,1,0
1.0,0.6249458023223834,1,1
0.0,0.17417232937513114,1,1
1.0,0.513300834280701,0,0
0.0,0.0007832957673275136,0,1
0.0,0.07333837603351322,0,1
1.0,0.7041755674028793,1,1
0.0,0.3489318762794583,0,0
0.0,0.17452452521148457,0,1
0.0,0.04733265450751848,0,1
0.0,0.03264132959934179,0,1
1.0,0.546677153688369,0,1
0.0,0.21598874144984478,0,1
0.0,0.06252318224471333,0,1
0.0,0.006318827565706563,0,0
1.0,0.7589925749505039,1,1
0.0,0.3637118937727794,0,1
0.0,0.3403220069125175,1,1
0.0,0.49756883548334063,0,0
0.0,0.007886917954009035,0,0
1.0,0.00032680055517383754,0,0
1.0,0.6705001557540728,0,1
0.0,0.020186990900248693,0,1
0.0,0.3917374273900094,1,0
0.0,0.006674333010750147,0,0
0.0,0.4222038482104166,1,1
0.0,0.48324851533453583,0,0
1.0,0.9716474703928133,1,1
0.0,0.11295776720144951,0,0
0.0,0.287177346319859,0,0
0.0,0.006908063425148928,0,0
1.0,0.6572708683943275,1,1
0.0,0.06631507998053825,0,0
0.0,0.016634834375123125,0,1
0.0,0.30334674806757084,0,1
0.0,0.15333135076718313,0,1
1.0,0.613371133736063,0,1
0.0,0.18177413120417335,0,1
0.0,0.1646671855250804,0,1
1.0,0.602758491468068,1,1
0.0,0.004283310668835859,0,1
0.0,0.3461274037973835,0,1
1.0,0.970196628152823,1,1
