y_test_pred,y_test_proba,y_test,A_test
1.0,0.5571881050060108,0,1
0.0,0.01672616108266502,0,1
0.0,0.010050370844393633,0,1
0.0,0.4703671735219593,1,1
1.0,0.5979628688252443,1,1
0.0,0.15039088989492538,0,1
0.0,0.45443056535553644,1,0
1.0,0.552651230473011,1,1
0.0,0.030071718245584647,0,1
0.0,0.024725143365204278,0,0
0.0,0.10042429963618232,0,1
0.0,0.0009523809523809524,0,0
1.0,0.726821246748961,1,1
0.0,0.4811599344712096,0,1
1.0,0.6586546803005091,1,1
0.0,0.0031019370122630997,0,0
0.0,0.018148150768994706,0,1
0.0,0.3994540445437035,1,0
0.0,0.0007424778761061947,0,1
0.0,0.9127340835719224,1,1
0.0,0.09004123249603829,0,1
0.0,0.002815829598185513,0,1
0.0,0.009612303627691061,0,0
0.0,0.06350880593671458,0,1
0.0,0.21762276157297808,0,1
0.0,0.0027564102564102567,0,0
0.0,0.008677900202824385,0,0
0.0,0.2556999414117987,0,1
0.0,0.17639484964685218,1,1
1.0,0.8929000140090396,1,1
0.0,0.17534990343739357,0,1
0.0,0.04983819033988381,0,0
1.0,0.1882266875878476,0,0
0.0,0.003505216049104483,0,0
0.0,0.259112764683989,0,1
0.0,0.77402244603872,0,1
0.0,0.23733658741444488,0,1
0.0,0.360866665451913,1,1
0.0,0.21873412290280647,0,1
0.0,0.015578894701070708,0,0
1.0,0.9730718441156684,1,1
0.0,0.020175481923363974,0,1
1.0,0.5007297552121082,0,1
0.0,0.4489404238028585,1,0
0.0,0.4944999197605522,0,1
0.0,0.3555630264667539,0,0
0.0,0.02353261576597069,0,0
0.0,0.0017320360798621667,0,1
1.0,0.6203313747449583,1,1
0.0,0.4858950796495058,1,0
0.0,0.31981413012983134,0,1
0.0,0.2966738124945741,0,1
0.0,0.0,0,0
1.0,0.5029967850459773,0,1
0.0,0.005636220904681156,0,1
0.0,0.023382063315291374,0,0
0.0,0.0008215222439059649,0,1
0.0,0.021889579797430635,0,0
0.0,0.3263663912986703,1,1
0.0,0.3778908759534906,1,0
0.0,0.010270084218332294,0,0
0.0,0.0034314134141720347,0,0
0.0,0.009633704177726963,0,0
1.0,0.7688886932921033,1,1
0.0,0.0019870129870129868,0,1
0.0,0.476667500786356,0,1
0.0,0.3722969565324414,0,1
0.0,0.0038097211294048335,0,0
0.0,0.12589952347553476,0,0
