y_test_pred,y_test_proba,y_test,A_test
1.0,0.549328145485879,0,1
0.0,0.012353563068375643,0,1
0.0,0.005239003852202189,0,1
1.0,0.41549286305363964,1,1
1.0,0.5847095764118143,1,1
0.0,0.14457425434226495,0,1
1.0,0.4618488419449638,1,0
1.0,0.5657049718911116,1,1
0.0,0.022418860984859394,0,1
0.0,0.016587076917414272,0,0
0.0,0.12430840461146278,0,1
0.0,6.41025641025641e-05,0,0
1.0,0.7474380167994441,1,1
1.0,0.4935039032265741,0,1
1.0,0.6625007496461913,1,1
0.0,0.005726603002866033,0,0
0.0,0.028553114307681544,0,1
1.0,0.38131164828385855,1,0
0.0,0.0,0,1
1.0,0.9032156760511175,1,1
0.0,0.0934915331137174,0,1
0.0,0.004938482976549956,0,1
0.0,0.010275494054926622,0,0
0.0,0.04915394675175822,0,1
0.0,0.19571368898757308,0,1
0.0,0.0,0,0
0.0,0.010118866136878115,0,0
0.0,0.27426563241789503,0,1
0.0,0.16731466534906508,1,1
1.0,0.8816620713187613,1,1
0.0,0.20011912798838416,0,1
0.0,0.02355398639098408,0,0
1.0,0.1865934516868918,0,0
0.0,0.0017577825670498084,0,0
0.0,0.2991574167556397,0,1
1.0,0.784760156728201,0,1
0.0,0.2724483623513252,0,1
0.0,0.3374937703714563,1,1
0.0,0.2043896482607532,0,1
0.0,0.018898609032089113,0,0
1.0,0.9782406481851743,1,1
0.0,0.012535683661998805,0,1
1.0,0.4698268839750645,0,1
1.0,0.47046134151168895,1,0
1.0,0.4560678411256508,0,1
1.0,0.3443953855419676,0,0
0.0,0.037980432805468325,0,0
0.0,0.0015042129157737882,0,1
1.0,0.6335827457544659,1,1
1.0,0.4546615055300195,1,0
0.0,0.3313460267187135,0,1
0.0,0.2772898593425925,0,1
0.0,0.0025460992907801413,0,0
1.0,0.5142281101150299,0,1
0.0,0.003477784777784778,0,1
0.0,0.03656345753756314,0,0
0.0,0.001470512302563639,0,1
0.0,0.028261478673612908,0,0
0.0,0.30556541497794787,1,1
1.0,0.3526612323700631,1,0
0.0,0.013273781300558712,0,0
0.0,0.006613426280520925,0,0
0.0,0.00500090861410695,0,0
1.0,0.7730298316711216,1,1
0.0,0.003892284350736856,0,1
1.0,0.48895632437090364,0,1
1.0,0.3783909244760891,0,1
0.0,0.00485628293819685,0,0
1.0,0.11079663894895656,0,0
1.0,0.7530199092782632,1,1
0.0,0.04273600281770007,0,0
0.0,0.014518399773551174,0,1
0.0,0.0053332632280000715,0,0
0.0,0.30555944678722574,1,1
1.0,0.6573364323044841,0,1
0.0,0.0703619057001169,0,0
1.0,0.502162573364991,0,1
1.0,0.4492664595681599,1,1
1.0,0.9611285089139697,1,1
0.0,0.06593057505860704,0,1
0.0,0.061736221613974254,0,0
0.0,0.10824766941588809,0,1
0.0,0.191205118801841,0,1
0.0,0.10239934492955102,0,1
0.0,0.19069677876323218,0,1
0.0,0.21971146145264733,0,1
1.0,0.31964501698626085,1,0
0.0,4.1237113402061855e-05,0,1
0.0,0.06146539468047293,0,1
0.0,0.0636438878375328,0,1
0.0,0.033097478546317706,1,1
0.0,0.21352100742975846,0,1
1.0,0.6033505727967261,1,1
0.0,0.123699326391836,0,1
0.0,0.2403259189375367,0,1
0.0,0.019254230284931593,0,1
0.0,0.006259623858642471,0,1
0.0,0.01498506588094374,0,0
0.0,0.12393655069844968,0,1
0.0,0.021894161755385548,0,1
0.0,0.07373587128028335,0,1
1.0,0.549328145485879,0,1
1.0,0.9477811486527692,1,1
0.0,0.02858265077973003,0,0
0.0,0.16084371177104523,0,1
0.0,2.190580503833516e-05,0,1
0.0,0.1307606713248954,1,1
0.0,0.16629538021762574,0,1
0.0,0.017315007299959856,0,0
0.0,0.015371795371055869,0,1
0.0,0.010987321721418204,0,1
0.0,0.11471941592287753,0,1
1.0,0.2233259362102586,0,0
1.0,0.7039662359304818,1,0
1.0,0.46506381840841954,1,1
0.0,0.17886600647856968,1,1
1.0,0.4252234767055674,0,0
0.0,0.014476345682140537,0,1
0.0,0.06299189674736258,0,1
1.0,0.9668567031991354,1,1
1.0,0.35794586994251393,0,0
0.0,0.10178630950833178,0,1
0.0,0.014367085645953957,0,1
0.0,0.04535777316028012,0,1
0.0,0.28719131280641413,0,1
0.0,0.143269753799919,0,1
0.0,0.010478858845478327,0,1
0.0,0.0015649044039882495,0,0
1.0,0.9282496333336848,1,1
0.0,0.3225345739202054,0,1
1.0,0.37959539471291104,1,1
1.0,0.28264184928176295,0,0
0.0,0.0005560001281650766,0,0
0.0,0.002576196750109794,0,0
1.0,0.5966992021598048,0,1
0.0,0.04761113864025107,0,1
1.0,0.49417669086003385,1,0
0.0,0.029838185891308714,0,0
1.0,0.4527768746614062,1,1
1.0,0.2688773293208986,0,0
1.0,0.9634742154412085,1,1
1.0,0.09887658848700694,0,0
0.0,0.02389204525979311,0,0
0.0,0.006111386507251534,0,0
1.0,0.7277692279320153,1,1
0.0,0.033642478025803224,0,0
0.0,0.002115795717134899,0,1
0.0,0.1625454029412022,0,1
0.0,0.07181950487376607,0,1
1.0,0.4922512653319905,0,1
0.0,0.19643196385927614,0,1
0.0,0.05553209788226787,0,1
1.0,0.6519455922084202,1,1
0.0,0.002523607730346375,0,1
1.0,0.36660959544424554,0,1
1.0,0.9873687389581244,1,1
0.0,0.0,0,0
0.0,3.1746031746031745e-05,0,0
1.0,0.9693108226985835,1,1
1.0,0.9676275775098019,1,1
0.0,0.0,0,0
0.0,0.026682951349200974,0,1
0.0,0.0002074688796680498,0,1
0.0,0.02660637568612711,0,1
1.0,0.9626553182693814,1,1
0.0,0.2819177244646387,0,1
1.0,0.6823712179886,0,1
0.0,0.13827489759429823,0,1
1.0,0.41982981267113284,0,1
0.0,0.09916873720162808,0,1
1.0,0.6783776810067097,0,1
1.0,0.753263454499982,1,1
1.0,0.5227260528462842,1,1
1.0,0.6225231121086503,0,1
0.0,0.32574015641956583,0,1
0.0,0.11470097400183496,0,1
0.0,0.13271111870160246,0,1
0.0,8.272491756947716e-05,0,1
0.0,0.005627297358089495,0,1
0.0,0.014158619410847416,0,0
0.0,0.08057785751716783,0,1
1.0,0.5823626603180644,1,1
1.0,0.8394049998690399,1,1
0.0,0.03530507359682514,0,1
1.0,0.979974004920168,1,1
0.0,0.1162534641807984,0,1
1.0,0.6931220703930363,1,1
1.0,0.5959647752997878,0,1
0.0,0.07202085114769015,0,0
0.0,0.01066322913825409,0,0
1.0,0.07818871139065119,0,0
0.0,0.12711606098941888,0,1
1.0,0.3508781468836146,0,1
1.0,0.40527257492745206,0,1
1.0,0.4142904677848461,0,1
1.0,0.7912892909752087,1,1
1.0,0.5190990269004919,1,1
0.0,0.023624339334359586,0,0
0.0,0.00356799416015131,0,0
0.0,0.1613974989422895,0,1
0.0,0.00316333669842389,0,0
1.0,0.639403564779277,1,1
1.0,0.16990322509433783,0,0
0.0,0.033434720416930415,0,0
1.0,0.8488100725901658,1,1
0.0,0.0,0,0
0.0,2.190580503833516e-05,0,1
1.0,0.3446264822196186,0,0
1.0,0.4082211808872366,1,1
1.0,0.7583351596530503,1,1
1.0,0.5354368125787411,0,1
0.0,0.0002074688796680498,0,1
1.0,0.8604746328866573,1,1
0.0,0.2459362997594308,1,1
0.0,0.018877294307930677,0,0
1.0,0.39027098819117334,0,1
0.0,0.2375434152264991,0,1
0.0,0.061289571046631665,0,0
1.0,0.4448542756198433,0,1
0.0,0.018896610797141923,0,1
1.0,0.3844329169032246,0,0
0.0,0.031000577117901697,0,1
1.0,0.3791465481579933,1,1
1.0,0.618321822976929,1,1
1.0,0.369188719455768,0,1
0.0,0.03936415717165079,0,1
1.0,0.9725431743185827,1,1
0.0,0.010172069600003298,0,0
0.0,3.1746031746031745e-05,0,0
0.0,0.010745769825277501,0,0
1.0,0.6234231944094412,1,1
0.0,0.002403041335972523,0,1
1.0,0.6126898259597819,1,1
0.0,0.17138091654622412,0,1
0.0,0.19298538565627937,0,1
0.0,0.04411800498702222,0,1
0.0,2.5906735751295337e-05,0,0
1.0,0.9559283754958519,1,1
1.0,0.42410490575788407,0,1
1.0,0.7972023834837925,0,1
1.0,0.5440488848061755,1,0
0.0,0.05015597286106457,0,1
1.0,0.5328382444361024,0,1
0.0,0.0023570665445665447,0,0
1.0,0.9457367956149745,1,1
0.0,0.016442069370391842,0,1
1.0,0.4216974742831862,1,1
1.0,0.9702155337661269,1,1
0.0,0.07778025927154733,0,1
1.0,0.7530724167447639,1,1
1.0,0.6098834014154475,1,1
1.0,0.4108137751378725,1,1
1.0,0.3704454285051941,1,1
0.0,0.0015219058050383357,0,0
1.0,0.6662048023824643,0,1
1.0,0.7331775484536707,1,1
0.0,0.07521640856875293,0,1
0.0,0.11225168144421417,0,1
0.0,0.00025,0,0
1.0,0.8080015203008266,1,1
