y_test_pred,y_test_proba,y_test,A_test
0,0.3751021302096024,0,1
0,0.008255825964330752,0,1
0,0.004597500221036132,0,1
0,0.4632844756853599,1,1
1,0.550039722090054,1,1
0,0.155915015472226,0,1
1,0.5268100594081639,1,0
1,0.521703194673795,1,1
0,0.01739586107960469,0,1
0,0.016920424014556762,0,0
0,0.08222731302307128,0,1
0,7.93837707900208e-05,0,0
1,0.7205218486822872,1,1
0,0.4880820506147338,0,1
1,0.6593440100117738,1,1
0,0.0017542053184910328,0,0
0,0.02597715464204184,0,1
0,0.3636801349234507,1,0
0,0.0004217854217854218,0,1
1,0.8458804010713844,1,1
0,0.037643555923026956,0,1
0,0.004091038232544972,0,1
0,0.006607868847475922,0,0
0,0.042262953544927005,0,1
0,0.24302502327068143,0,1
0,0.0,0,0
0,0.004025185326336933,0,0
0,0.24372597849113437,0,1
0,0.16184059923341168,1,1
1,0.9137871171296205,1,1
0,0.17820499297258227,0,1
0,0.04068888142588791,0,0
0,0.2161054153540624,0,0
0,0.0015380456047300235,0,0
0,0.2516597300524667,0,1
1,0.7385921916714672,0,1
0,0.23152630389461032,0,1
0,0.33140008071150895,1,1
0,0.17046625351787748,0,1
0,0.01532001607960708,0,0
1,0.9785663679850227,1,1
0,0.015799928518792163,0,1
0,0.44469668471769397,0,1
0,0.4943978648217592,1,0
0,0.21005875021141948,0,1
0,0.35442673051497475,0,0
0,0.013476964136448742,0,0
0,0.0004923099195716117,0,1
1,0.588455177279357,1,1
1,0.500313955742228,1,0
0,0.37942337333991555,0,1
0,0.19854481351650438,0,1
0,9.857762875547186e-05,0,0
1,0.6516779913681897,0,1
0,0.004729880098714214,0,1
0,0.020497348567738133,0,0
0,0.0002631578947368421,0,1
0,0.01912463997088464,0,0
0,0.34028734290759516,1,1
0,0.3643806820672234,1,0
0,0.01483117969269043,0,0
0,0.0029138227265744616,0,0
0,0.004597500221036132,0,0
1,0.6834843917852946,1,1
0,0.002744710876272229,0,1
1,0.6528339232236905,0,1
0,0.37597584696075054,0,1
0,0.0068440261530347685,0,0
0,0.11574757590083952,0,0
1,0.689145594942893,1,1
0,0.02767124956533121,0,0
0,0.0074815126981765245,0,1
0,0.006007451060407691,0,0
0,0.2655598533072722,1,1
1,0.7361639293766664,0,1
0,0.08865119350549262,0,0
0,0.4597297560592777,0,1
0,0.41082794544793244,1,1
1,0.9832771010518876,1,1
0,0.07109443609505123,0,1
0,0.04552394252686469,0,0
0,0.07814683156772842,0,1
0,0.10643908744225941,0,1
0,0.07245689363134372,0,1
0,0.23093122703582009,0,1
0,0.16310729492498963,0,1
0,0.25480493484225614,1,0
0,0.0,0,1
0,0.06191828737544397,0,1
0,0.045618064558267384,0,1
0,0.04905165448407235,1,1
0,0.11563637924943734,0,1
1,0.6259479772168772,1,1
0,0.11672691787432804,0,1
0,0.32721150599513454,0,1
0,0.022475636864142747,0,1
0,0.004084629191995,0,1
0,0.02157038250827813,0,0
0,0.11306458431761941,0,1
0,0.02902626692482402,0,1
0,0.0324722049772975,0,1
0,0.3751021302096024,0,1
1,0.9414734554709735,1,1
0,0.022360185029751067,0,0
0,0.16784671353475944,0,1
0,2.0790020790020793e-05,0,1
0,0.12949177526773142,1,1
0,0.12338716528001241,0,1
0,0.0070488865687860945,0,0
0,0.0055240277339254715,0,1
0,0.0042354363146002725,0,1
0,0.13146207803322463,0,1
0,0.16981356673016837,0,0
1,0.6758446136674574,1,0
0,0.49209323216213763,1,1
0,0.12965653726297605,1,1
0,0.3764853972603599,0,0
0,0.010534947199845974,0,1
0,0.07793014215251495,0,1
1,0.9804768352087693,1,1
0,0.41190784908748895,0,0
0,0.06899585140079195,0,1
0,0.004872235513021443,0,1
0,0.050912489844358866,0,1
0,0.23404526712518386,0,1
0,0.11288772232283566,0,1
0,0.012912031714377032,0,1
0,0.0008536184268320539,0,0
1,0.9380001666454074,1,1
0,0.4416954688947472,0,1
0,0.3071039730596872,1,1
0,0.31685792338718494,0,0
0,0.0,0,0
0,0.003288611388611389,0,0
