y_test_pred,y_test_proba,y_test,A_test
0,0.40408527645287534,0,1
0,0.00838000531171108,0,1
0,0.005458603916470723,0,1
1,0.5022012591917415,1,1
1,0.580691076313898,1,1
0,0.15140615494971338,0,1
1,0.5244532161095214,1,0
1,0.5285090698425775,1,1
0,0.012912817048006214,0,1
0,0.021301776698171675,0,0
0,0.06893763732352465,0,1
0,0.00025974025974025974,0,0
1,0.7129564780652152,1,1
0,0.45619516139129845,0,1
1,0.6956452737273435,1,1
0,0.0013602852308436067,0,0
0,0.028862375557454283,0,1
0,0.30013703590655094,1,0
0,0.0,0,1
1,0.8521909760804275,1,1
0,0.018868875043168934,0,1
0,0.004048448420135254,0,1
0,0.007147080307830895,0,0
0,0.02468083147657046,0,1
0,0.21673971317764526,0,1
0,0.0,0,0
0,0.006981363328863442,0,0
0,0.2556861755599612,0,1
0,0.15095270672825098,1,1
1,0.9112758009053984,1,1
0,0.21827224635838174,0,1
0,0.03048925654299904,0,0
0,0.21222177684015428,0,0
0,0.00035624539838022983,0,0
0,0.2610984549625425,0,1
1,0.7251037699653847,0,1
0,0.19648881238087548,0,1
0,0.31698930313806317,1,1
0,0.1742304601195396,0,1
0,0.0058921771033732685,0,0
1,0.97160264877865,1,1
0,0.01599660713891592,0,1
0,0.4209314976252629,0,1
0,0.48066610041873215,1,0
0,0.21354200685634112,0,1
0,0.31238954799239194,0,0
0,0.012174197789074262,0,0
0,0.0008,0,1
1,0.6059153295920585,1,1
0,0.49352662298090805,1,0
0,0.3725463183448421,0,1
0,0.2076948933075823,0,1
0,0.00011627906976744187,0,0
1,0.6447768158876764,0,1
0,0.005842405483189978,0,1
0,0.02829973782304073,0,0
0,0.0010910865684962071,0,1
0,0.015160513133783662,0,0
0,0.33550434960004955,1,1
0,0.3572035269956652,1,0
0,0.016917996307328348,0,0
0,0.005558756855871338,0,0
0,0.005188333646200452,0,0
1,0.7014482876527234,1,1
0,0.0015235310498468396,0,1
1,0.6434833679377769,0,1
0,0.3562107543362567,0,1
0,0.003344529772278195,0,0
0,0.12322499555877571,0,0
1,0.6462134940068998,1,1
0,0.04381827700297559,0,0
0,0.006667470623960611,0,1
0,0.004889765321658792,0,0
0,0.27934934568820874,1,1
1,0.7309113369567328,0,1
0,0.08565127287507276,0,0
0,0.47244377370043084,0,1
0,0.41747954261281356,1,1
1,0.981261599222034,1,1
0,0.07364391722377216,0,1
0,0.041438413611280714,0,0
0,0.06858207261588377,0,1
0,0.12205835414446739,0,1
0,0.06084277788800472,0,1
0,0.22989511111241345,0,1
0,0.20516729277742504,0,1
0,0.24047999183136418,1,0
0,0.0,0,1
0,0.055332860198014304,0,1
0,0.04152570189558533,0,1
0,0.04878626994424501,1,1
0,0.12302568751983728,0,1
1,0.6033697986998562,1,1
0,0.09592399856415984,0,1
0,0.3061847728737446,0,1
0,0.022690407901509942,0,1
0,0.0047970426974660646,0,1
0,0.023678666936517018,0,0
0,0.1118745451743076,0,1
0,0.015411533146800327,0,1
0,0.035832244414418415,0,1
0,0.40408527645287534,0,1
1,0.9556807679715601,1,1
0,0.02804559899370792,0,0
0,0.18739449614061104,0,1
0,0.0,0,1
0,0.10044308072906556,1,1
0,0.1424513337223758,0,1
0,0.0036495246873496506,0,0
0,0.013062150526152807,0,1
0,0.009996151658243321,0,1
0,0.13430812376953696,0,1
0,0.17899309987234346,0,0
1,0.6583366330140544,1,0
1,0.5564724240737972,1,1
0,0.13939129808964795,1,1
0,0.40201437490338815,0,0
0,0.012747182841227547,0,1
0,0.09003068491942054,0,1
1,0.9645963056661586,1,1
0,0.3687903288500772,0,0
0,0.06093629823428234,0,1
0,0.007928173277240642,0,1
0,0.04700637670963924,0,1
0,0.21248354767444677,0,1
0,0.1320769604152417,0,1
0,0.00905475243057806,0,1
0,0.0007720057720057721,0,0
1,0.9111594663206718,1,1
0,0.4071950638295986,0,1
0,0.2631589930186866,1,1
0,0.34415671302321865,0,0
0,0.0001234567901234568,0,0
0,0.0011140583554376659,0,0
1,0.5938739880432821,0,1
0,0.053373648118686313,0,1
0,0.4901130421402228,1,0
0,0.015969536721431064,0,0
1,0.5122158387942668,1,1
0,0.3167416523204254,0,0
1,0.9714378280460496,1,1
0,0.09340356943271715,0,0
0,0.034896625723385526,0,0
0,0.0025,0,0
1,0.6934654709090223,1,1
0,0.020708094825022307,0,0
0,0.001522671373746369,0,1
0,0.1923133584674957,0,1
0,0.080168306575783,0,1
1,0.5216235892458945,0,1
0,0.11782289679534545,0,1
0,0.07326819867154165,0,1
1,0.5261367099143212,1,1
0,0.00332603557711567,0,1
0,0.3263014760814725,0,1
1,0.9853416027145008,1,1
0,7.49063670411985e-05,0,0
0,0.0022349167349167347,0,0
1,0.9617010647904959,1,1
1,0.9815244628014952,1,1
0,0.00017045454545454544,0,0
0,0.015374990536826784,0,1
0,0.0008507042322689637,0,1
0,0.010156295259351151,0,1
1,0.9616567195920601,1,1
0,0.2755904443089392,0,1
1,0.689385430474852,0,1
0,0.14979832393379197,0,1
0,0.3428610666239934,0,1
0,0.13289947537080418,0,1
1,0.5816868113841133,0,1
1,0.7658975045061738,1,1
1,0.5044593756303014,1,1
1,0.5097829650506638,0,1
0,0.3578476680999493,0,1
0,0.06351637517846022,0,1
0,0.10778712782062065,0,1
0,0.0,0,1
0,0.0009854596911072371,0,1
0,0.007721811442329385,0,0
0,0.08812110453037604,0,1
1,0.6321729315393284,1,1
1,0.8376134521236461,1,1
0,0.015626084004251688,0,1
1,0.9691617958191235,1,1
0,0.06459390222091468,0,1
1,0.5984783863889913,1,1
0,0.46573170127814506,0,1
0,0.06446414574215886,0,0
0,0.01212245359278253,0,0
0,0.06938336945649258,0,0
0,0.08546143644990208,0,1
0,0.34272284779419737,0,1
0,0.4404915634760367,0,1
0,0.46822699198328366,0,1
1,0.783082109370808,1,1
0,0.39952155072506723,1,1
0,0.020581578075822043,0,0
0,0.006646750487509145,0,0
0,0.12657113374195583,0,1
0,0.002603263585229731,0,0
1,0.655591684245203,1,1
0,0.18348162176813104,0,0
0,0.014687596384433782,0,0
1,0.8123029989275127,1,1
0,0.0,0,0
0,0.0,0,1
0,0.337978254159352,0,0
0,0.3697602802713646,1,1
1,0.7672429619506863,1,1
1,0.6035264629939646,0,1
0,0.00016202498698594483,0,1
1,0.8721617702462316,1,1
0,0.2730566969162925,1,1
0,0.014473445540397678,0,0
0,0.36505952453694696,0,1
0,0.16776259206645636,0,1
0,0.037407607569671875,0,0
0,0.34004408428120253,0,1
0,0.010423650238735257,0,1
0,0.39393996231490874,0,0
0,0.029469926278961018,0,1
0,0.2624972476097181,1,1
0,0.4626766745272209,1,1
0,0.36011912779866206,0,1
0,0.044844443810484295,0,1
1,0.9616041674425273,1,1
0,0.013725312420599323,0,0
0,0.0,0,0
0,0.008933436160945342,0,0
1,0.6856307870950303,1,1
0,0.0017640096618357487,0,1
1,0.5990478054013888,1,1
0,0.08597268850583745,0,1
0,0.104211885849219,0,1
0,0.016912115435744262,0,1
0,0.0,0,0
1,0.9285612546308627,1,1
0,0.2659661478221695,0,1
1,0.8668297279185868,0,1
1,0.5859069374863997,1,0
0,0.06085802570707151,0,1
0,0.3860602424064549,0,1
0,0.004365712065712066,0,0
1,0.9350893734251303,1,1
0,0.01005242198179984,0,1
0,0.3652484581002104,1,1
1,0.9820482105552232,1,1
0,0.015596846259201377,0,1
1,0.6898275699301194,1,1
1,0.6032367095008342,1,1
0,0.2635109892822338,1,1
0,0.27662969255207,1,1
0,0.0,0,0
1,0.5807953741372074,0,1
1,0.723345443201154,1,1
0,0.049489911730710406,0,1
