y_test_pred,y_test_proba,y_test,A_test
0,0.315833529223854,0,1
0,0.009102760785380306,0,1
0,0.007557519410639864,0,1
0,0.40891926977791304,1,1
0,0.46756968326307696,1,1
0,0.10447434825030796,0,1
1,0.7423303600337334,1,0
0,0.4153950843802213,1,1
0,0.03362413798453632,0,1
0,0.028827706008799782,0,0
0,0.14238712970799375,0,1
0,0.0029828154887384982,0,0
1,0.6423376654707391,1,1
0,0.4221705874459903,0,1
1,0.6240952773134265,1,1
0,0.0016353684422666806,0,0
0,0.03405308239488148,0,1
0,0.4150931369206383,1,0
0,0.0005364928118904125,0,1
1,0.7975524066554882,1,1
0,0.023859592253107024,0,1
0,0.002332776694312812,0,1
0,0.00869504319689346,0,0
0,0.050875932879456374,0,1
0,0.32175517423423855,0,1
0,0.0007670022270790661,0,0
0,0.005844024874655569,0,0
0,0.16289501616419888,0,1
0,0.12425255550809118,1,1
1,0.8855849575251719,1,1
0,0.14947016861207965,0,1
0,0.0812014458822816,0,0
0,0.2908404444931538,0,0
0,0.0011137648057137574,0,0
0,0.21333978317525837,0,1
1,0.671050207304716,0,1
0,0.15022801311494532,0,1
0,0.34188921011191303,1,1
0,0.17973426450770225,0,1
0,0.02424438545649871,0,0
1,0.9724386493988211,1,1
0,0.02234169172760869,0,1
0,0.3406973281516051,0,1
1,0.6610338032513097,1,0
0,0.1529235346229707,0,1
0,0.42615658436991594,0,0
0,0.01604028951061282,0,0
0,0.0011668539638676257,0,1
0,0.48941708593875766,1,1
1,0.737578648420718,1,0
0,0.31772168550373936,0,1
0,0.1584183105394969,0,1
0,1.33457586467935e-05,0,0
1,0.565586751809607,0,1
0,0.0029429221708153906,0,1
0,0.031057903528392196,0,0
0,0.0,0,1
0,0.023040778546778287,0,0
0,0.2526158611325028,1,1
1,0.6236787504794079,1,0
0,0.016536290081902785,0,0
0,0.006675780703105183,0,0
0,0.006397921067306432,0,0
1,0.5729396377409691,1,1
0,0.00758915380494761,0,1
1,0.5449185926569495,0,1
0,0.28120570922572946,0,1
0,0.016383979895571256,0,0
0,0.14785609747587958,0,0
1,0.6141301082827144,1,1
0,0.05995740297681181,0,0
0,0.004892703493129369,0,1
0,0.009047531238187276,0,0
0,0.25357807746278554,1,1
1,0.6726124895433016,0,1
0,0.07197972961172483,0,0
0,0.38841751608699426,0,1
1,0.5013050842065533,1,1
1,0.9964776249979306,1,1
0,0.0481487330109633,0,1
0,0.067079746609536,0,0
0,0.06634227941416478,0,1
0,0.0866934871625222,0,1
0,0.026916718755955183,0,1
0,0.16545374545146288,0,1
0,0.14300560744717697,0,1
0,0.26797446092530647,1,0
0,5.715686814550319e-05,0,1
0,0.059482735963369594,0,1
0,0.04533472109348421,0,1
0,0.06373999992946465,1,1
0,0.08920829892425278,0,1
1,0.5029003896710603,1,1
0,0.0681601767739631,0,1
0,0.2484295389369524,0,1
0,0.023759005404026236,0,1
0,0.010542234076348812,0,1
0,0.04600796728596591,0,0
0,0.08218657211644431,0,1
0,0.04324358952224395,0,1
0,0.02908359560005685,0,1
0,0.315833529223854,0,1
1,0.9662184934137048,1,1
0,0.031790255410995644,0,0
0,0.1568603080132616,0,1
0,1.3202038649852495e-05,0,1
0,0.06870232279223684,1,1
0,0.11113062705817237,0,1
0,0.018753888159041318,0,0
0,0.014759157175020573,0,1
0,0.007466184486886232,0,1
0,0.11644138317868467,0,1
0,0.2428893158111114,0,0
1,0.8645973892449258,1,0
0,0.4137349630408189,1,1
0,0.11327984308802652,1,1
1,0.6660911093008741,0,0
0,0.01711221908876007,0,1
0,0.10662501704234233,0,1
1,0.9783479646627998,1,1
1,0.6035145594382999,0,0
0,0.053027551193594376,0,1
0,0.006589484751072827,0,1
0,0.06312669589353949,0,1
0,0.16522699592637735,0,1
0,0.14038947299260052,0,1
0,0.01230182779827787,0,1
0,0.0015338547648522547,0,0
1,0.9106610877120063,1,1
1,0.5053172693332326,0,1
0,0.19660221959835703,1,1
1,0.6409715468410834,0,0
0,5.690786197327335e-05,0,0
0,0.0022310338885259055,0,0
1,0.5418194403389291,0,1
0,0.06401245532276137,0,1
1,0.6670094745366266,1,0
0,0.015006545219761146,0,0
0,0.44141017823398965,1,1
1,0.617471719809461,0,0
1,0.9705082070027158,1,1
0,0.153324788081943,0,0
0,0.032813095430134734,0,0
0,0.0017902025108507663,0,0
1,0.6079494405686693,1,1
0,0.04236166496078846,0,0
0,0.0018564126396189403,0,1
0,0.23326597069223037,0,1
0,0.050426562706882096,0,1
0,0.47921259815913625,0,1
0,0.07598240312769235,0,1
0,0.07242403797577068,0,1
0,0.4270456450766147,1,1
0,0.0016971251440746089,0,1
0,0.28767585588607364,0,1
1,0.9905564284564309,1,1
0,4.2745789374463796e-05,0,0
0,0.0091320632435386,0,0
1,0.976858985286548,1,1
1,0.9847210101211428,1,1
0,7.937171397877696e-05,0,0
0,0.012439214902603742,0,1
0,0.0016441134196981115,0,1
0,0.01710391716524823,0,1
1,0.9495843802557722,1,1
0,0.2346971910652589,0,1
1,0.605131247945163,0,1
0,0.11575903919786751,0,1
0,0.27720315405703905,0,1
0,0.13722372194141197,0,1
0,0.49652010673062325,0,1
1,0.7063039427505886,1,1
0,0.43891041776394424,1,1
0,0.40920714420183235,0,1
0,0.25248260266872735,0,1
0,0.055458859929460425,0,1
0,0.08502556688005132,0,1
0,4.087421454270276e-05,0,1
0,0.0029214041885601057,0,1
0,0.013955686730230552,0,0
0,0.07288950062069645,0,1
1,0.5994215529010961,1,1
1,0.7686494776510794,1,1
0,0.02157431309876789,0,1
1,0.9644540822386358,1,1
0,0.06116762048903863,0,1
1,0.5131457717904022,1,1
0,0.42621661269766714,0,1
0,0.17434061324688957,0,0
0,0.009805245493476984,0,0
0,0.11376481846727397,0,0
0,0.1162074441234287,0,1
0,0.26674539309083367,0,1
0,0.37238481385931094,0,1
0,0.3935930200451438,0,1
1,0.7254311948839695,1,1
0,0.3350132080766461,1,1
0,0.013306105814911356,0,0
0,0.008423388840283253,0,0
0,0.12559443523028171,0,1
0,0.005537929260883035,0,0
1,0.5420703526773888,1,1
0,0.380361755508859,0,0
0,0.017304197553973936,0,0
1,0.8046902595420906,1,1
0,1.3403286162908108e-05,0,0
0,4.484969944338069e-05,0,1
0,0.4146009866474763,0,0
0,0.30896206187617603,1,1
1,0.6637954080900687,1,1
0,0.48590358387260646,0,1
0,0.0007503291955253781,0,1
1,0.8088426291730049,1,1
0,0.2582616602781386,1,1
0,0.01656079823116748,0,0
0,0.35660885751926635,0,1
0,0.12605912447925519,0,1
0,0.0613102288860371,0,0
0,0.2557575141705526,0,1
0,0.01119722676668542,0,1
0,0.4247190493999419,0,0
0,0.04065279057241172,0,1
0,0.18179447269195814,1,1
0,0.358979178117893,1,1
0,0.281274955168544,0,1
0,0.06254924481254044,0,1
1,0.9708636656452488,1,1
0,0.006073197810165016,0,0
0,3.895430872714056e-05,0,0
0,0.012523625856033475,0,0
1,0.6816678641630802,1,1
0,0.0007927265688020968,0,1
1,0.5354077418360701,1,1
0,0.0657662729275936,0,1
0,0.06759903052005874,0,1
0,0.012227030905165252,0,1
0,7.108364502714903e-05,0,0
1,0.9578842109739392,1,1
0,0.20401246212106303,0,1
1,0.8208087908047536,0,1
1,0.8243805321959894,1,0
0,0.07889579311073638,0,1
0,0.3007697001990507,0,1
0,0.004689654857281924,0,0
1,0.9535595029862354,1,1
0,0.01204157678145019,0,1
0,0.3386986671188012,1,1
1,0.9885857849967725,1,1
0,0.019528208092499288,0,1
1,0.6705661354449379,1,1
1,0.5303366706966318,1,1
0,0.18700737000111606,1,1
0,0.2089040439949141,1,1
0,1.2798600427428956e-05,0,0
0,0.4681508449511155,0,1
1,0.6326016383275168,1,1
0,0.04865374497457076,0,1
0,0.07535047234801931,0,1
0,0.0009904966141756572,0,0
1,0.6613750122600468,1,1
1,0.9669480735828027,1,1
1,0.5820624155939388,0,1
0,1.3447454447292231e-05,0,1
0,0.19050141761474645,1,1
0,0.3816145472713567,0,1
0,0.15917037409970616,0,1
0,0.2185444820610458,0,1
0,0.017059542083190746,0,1
1,0.549868734390002,0,1
0,0.05751956461107179,0,1
0,0.058267708516732776,0,1
0,0.2688363446135357,0,1
0,0.09011452024418411,0,1
0,8.64376684718955e-06,0,1
0,0.47241481967674265,0,0
0,1.320883292625313e-05,0,0
0,0.02115600470447043,0,1
0,0.1113431592027933,0,1
0,0.04061938631733341,0,0
0,0.3493929247822931,1,0
0,0.41490896610984757,0,1
0,0.466399295814699,1,1
1,0.5178187897541023,1,1
0,0.363507502458955,0,1
0,0.4732054321654554,1,1
0,0.31635302062458615,1,1
1,0.9874809858913772,1,1
0,0.2575591736377796,0,1
0,1.6271320629506303e-10,0,1
0,0.006494339735688187,0,1
1,0.6191750847435131,1,1
0,0.12814260023232582,0,1
0,0.009240415856911124,0,1
0,0.02011071168060878,0,0
0,0.027049495747580476,0,0
0,0.10295646896846182,1,0
0,0.05131718589141787,0,1
0,0.041960898363888985,0,0
0,0.13420776547605262,0,1
0,0.0241977450190116,0,1
0,0.006601280255937575,0,1
0,0.37270306307693024,0,1
0,0.3538489273912958,0,0
0,0.3410799499714777,0,1
0,0.0030276481531706896,0,0
0,0.001000317172221326,0,1
0,0.22634378813485223,0,1
0,0.004097701404313066,0,1
0,0.3171895654510899,1,1
0,0.09378081300079498,0,1
1,0.7436420547570112,1,1
0,0.2745833618681099,0,1
1,0.6323637146685069,1,1
1,0.7470477235073592,0,1
0,0.028438605617544504,0,0
0,0.0261785928927317,0,1
0,0.07630397119340121,0,1
1,0.8572662162226599,1,1
1,0.5731254762398936,1,1
1,0.5998174754100237,0,1
0,0.24339007760417966,0,1
0,0.020737763253466344,0,1
0,1.3341531846157916e-05,0,0
0,0.0070365375572191855,0,0
0,0.12504668077577383,0,0
0,0.02610596364741515,0,0
0,0.2543870905820558,0,0
0,0.40891926977791304,0,1
0,0.0011469032141642214,0,0
0,0.0014445378464665653,0,1
1,0.5410919357610973,1,1
0,0.01806049052322999,0,1
0,0.07910004377180802,0,1
0,0.005036975268072824,0,0
0,0.07299956657777697,0,0
0,0.052739259839043054,0,0
0,0.47790951405009885,1,1
0,0.00021065394712440513,0,1
0,0.003447098147121365,0,0
0,0.07510636905191262,0,0
0,0.4424125634719031,0,1
1,0.5576539441558642,1,1
0,0.25557043637332083,1,1
0,0.08168518504100104,0,1
1,0.5147493487636828,1,1
0,4.3299143341382126e-05,0,0
0,0.09064290544524821,0,1
0,0.2748328282471184,0,0
0,0.05118891950674802,0,0
0,0.17534389573547496,0,0
1,0.9808622534761647,1,1
0,0.05515823933909531,0,1
0,0.39069614133674885,1,1
0,0.01004279894786869,0,1
0,0.11165401249514781,0,1
0,0.219961447038754,0,0
0,0.3775838773687876,0,1
0,0.004330631925363334,0,0
0,0.4554788792591272,1,1
1,0.96876346128529,1,1
1,0.6500989001777009,1,1
0,0.022650567062506177,0,0
0,0.3107061915755424,1,1
0,0.0993751305801547,0,1
0,0.2088717087672774,0,0
0,0.0016301572127998404,0,1
0,0.004843288825467213,0,1
0,0.04816523137576982,0,0
0,0.12012021199106548,1,0
0,0.14314847018492233,0,1
0,0.0060501483523774015,0,1
0,0.0043284068699251475,0,0
0,0.0007229445422370349,0,1
0,1.3249402055176669e-05,0,0
0,0.07264637554926136,0,0
0,0.05596055222492281,0,1
0,0.32541371491597054,1,1
1,0.9451922543760545,1,1
0,0.26714823380503583,1,1
0,0.1797279381919382,1,0
1,0.6841399546582285,1,1
0,0.020728109281787987,0,1
0,0.00047077720165102815,0,1
1,0.8899581641506819,1,0
0,0.007299394213894123,0,0
0,0.08414037706514337,0,1
1,0.7320164369087663,1,1
1,0.6375548009448212,1,1
0,0.05776126492138274,0,1
1,0.6689978904265512,1,1
0,0.33441146995752313,1,1
0,0.0010584768055270507,0,0
0,0.0331464502531214,0,1
0,0.0741936703037427,0,1
0,0.27496989463530697,0,1
0,0.03890075127881809,0,1
0,0.0027158753905220513,0,0
0,8.571541345686499e-06,0,0
0,0.05672451990787271,0,1
1,0.6850939707974161,1,0
0,0.12347151689546107,0,1
0,0.12171068182094036,0,1
0,1.320883292625313e-05,0,1
0,0.05202756813030929,0,1
0,0.16640505901068922,0,1
0,0.0303012469783631,0,1
0,0.009311188702899844,0,0
0,0.04941355655911731,0,0
1,0.9115547293854733,1,0
0,0.2995821921872207,1,1
0,0.18998858182171513,0,0
0,0.017886200801557617,0,0
0,0.0013028778336589349,0,0
0,0.053938773941899144,0,1
0,0.4491718740595793,1,0
0,0.19077469041724696,0,1
0,0.003536653091793063,0,0
0,3.0359611202736197e-05,0,1
1,0.6717920776626134,1,1
0,0.002364560861080131,0,1
1,0.6116327471968391,1,1
0,0.006376337963758785,0,0
1,0.5459972840331238,0,1
0,6.140893996045191e-05,0,1
1,0.5279606893492135,0,1
0,0.0467055017158233,0,1
0,0.29460927266449866,0,0
0,0.3092785152486343,1,1
1,0.8679884146266186,1,0
0,0.010056956237232873,0,0
0,0.0714697029394152,0,1
1,0.8790235775427914,1,1
0,0.0008863078228673264,0,0
1,0.6232687804287527,1,1
0,0.2323894207464348,0,0
0,0.29637875960604065,0,1
0,0.24238506775232985,0,1
0,0.15634999094114652,0,1
0,0.005894183878328428,0,0
0,0.06909743084101144,0,0
0,0.28207826885133686,0,1
0,0.4288018347976773,1,1
0,0.00021164023204894852,0,1
0,0.0022552250353483384,0,1
1,0.956580735975114,1,1
0,0.013117907393562866,0,1
1,0.7310266341357324,1,1
1,0.6632034981822224,0,1
0,0.10990596323880317,0,1
0,1.1580411437448496e-10,0,0
0,0.3121340647279876,0,0
0,0.018740363970630655,0,0
0,0.0004864265057008964,0,1
0,0.005884900650726383,0,1
0,0.13866595755237082,1,1
0,0.018159982566022626,0,0
1,0.584191470807498,1,1
0,0.02213488015789112,0,1
0,0.08718410988780458,0,1
0,0.010898369373570485,0,0
0,0.3465655905062073,0,1
0,0.28615809991927726,1,1
0,0.0014110744576002802,0,0
1,0.7675776326965833,0,0
0,0.06450784585097748,0,0
0,0.4534757424290131,0,1
0,0.032546426239550716,0,0
0,0.44211118922888826,1,0
0,0.00019712116673624327,0,1
0,0.20182906224777913,1,1
0,0.07222645446256527,0,0
0,0.06008449233460754,0,1
0,0.27499237923811043,1,1
1,0.7230492997305847,1,1
0,0.058675159351774364,0,1
0,0.09348872844944349,0,1
0,0.05600957084584833,0,0
0,0.0017402253045227193,0,0
0,0.12885780328031057,0,1
0,0.057721343291081896,0,0
0,0.014123677133060819,0,1
0,0.05465040467185964,0,1
0,0.02646160271740326,0,1
0,0.19997718735896272,0,1
0,0.2673408274477038,0,0
0,0.0009026124507111309,0,1
0,0.27824440982423193,0,0
0,0.27669279282262393,0,0
0,0.4621225223328125,0,1
0,0.29375664257475237,0,1
0,0.08465652552625186,0,1
0,0.009301487897546517,0,1
0,0.4770071154705465,0,0
0,0.01899284348441019,0,0
0,0.1303302273009254,1,1
0,0.2259995138546428,0,1
0,0.3592447254340816,1,1
0,0.1112496491195028,0,0
0,0.3730169221585674,0,1
0,0.42361523689222497,0,0
1,0.93160559385052,1,1
0,1.3202038649852495e-05,0,0
0,0.05948852277494032,0,1
0,0.18198837435153764,0,1
0,4.31687296125708e-05,0,0
0,1.338250747163392e-05,0,1
0,0.3161879777913897,0,0
0,0.0036255734367145326,0,0
0,0.044886737111488946,0,0
0,0.008051336809450978,0,0
0,0.1483276856741492,0,0
0,0.026080079156591832,0,1
0,0.10141078384807624,0,1
0,0.03783638903749979,0,1
0,0.08689445980445747,0,0
0,0.08921523942279588,0,0
0,0.37231935052578974,0,1
0,0.20867156363599043,0,1
1,0.9671619978147868,1,1
0,0.11279258346178483,0,1
1,0.9855306706512548,1,1
0,0.025808938338534874,0,1
0,0.46287820757312526,0,1
0,0.08711411078121158,0,0
0,0.005766866952638602,0,1
0,0.08057307496559249,0,1
1,0.9864816228791449,1,1
0,0.0010516271344629088,0,1
0,0.29086605686250605,0,1
0,0.2792006733985804,1,1
1,0.5576861299169765,1,1
0,0.4644593773899485,0,1
1,0.6831837763442519,1,1
0,0.002631912516844385,0,0
0,0.021829984001880843,0,1
0,0.3052904573932479,1,1
0,0.06535591587300481,0,1
1,0.6468612532201112,1,0
0,0.045388303642458584,0,1
0,0.43081518130938107,0,1
0,0.029557386936342477,0,1
0,0.05682907561837011,0,1
0,0.0007395591739042115,0,1
0,0.32951958293270384,0,0
0,0.1056546439819352,0,1
0,0.02353980533722271,0,1
0,0.3743488087501572,0,1
0,0.32090025666344696,0,1
0,0.23204326404634099,0,1
0,0.2843541400243257,0,1
0,0.3164781391289105,0,1
0,0.05854775079735962,0,1
1,0.5163048658535273,1,1
0,0.15765915045306236,0,1
0,0.061792600785296706,0,1
0,0.194832942206413,1,1
1,0.5828842618889565,1,1
0,0.008360899895014212,0,0
0,0.06176098535321549,0,1
0,0.08907361610194027,0,1
0,0.0007412212013300883,0,0
0,0.21321914049541127,0,1
0,0.08103990658013725,0,0
0,0.15208818381727038,0,1
0,0.01645983820323002,0,1
0,0.008492571120922538,0,1
1,0.7500255140104847,1,1
0,0.058377816805111594,0,1
0,0.00027046021807031363,0,1
0,0.008062139666706035,0,0
0,0.0007503291955253781,0,1
0,0.3239252393458651,0,1
0,0.04813312390957098,0,0
0,0.2843640298776537,1,1
0,0.12493828218593224,1,1
0,0.3352397920636084,0,1
0,0.00023286158844370452,0,1
0,0.000510896111705024,0,0
0,0.23647522761197162,0,0
0,0.20391728288080826,0,0
0,0.011299450088307884,0,1
0,0.002345435019457088,0,0
0,0.298722147853795,0,1
0,0.019404683949356887,0,1
1,0.9501446372572732,1,1
0,0.10627151544572049,0,1
0,0.49252001347832447,0,1
0,0.04899716618523291,0,1
1,0.534996884265263,0,1
0,0.02261429304426236,0,1
1,0.9433019851280842,1,1
1,0.6272307760757355,0,1
1,0.8490093410717939,1,0
0,0.04046024343994175,0,1
0,0.07635652436312235,0,0
0,0.00013149392306928097,0,1
1,0.5060284921993393,0,1
1,0.951492032916498,1,1
0,0.03092371811356867,0,1
0,0.006029568355032373,0,1
0,8.502336766223651e-06,0,1
0,0.02643904750003587,0,0
0,0.1958907261300269,0,1
1,0.6429830541558864,0,1
1,0.7844941155629499,1,0
0,0.014287599205275123,0,0
0,0.08176943174705553,0,1
0,0.023156192889075295,0,0
0,0.013864111672000233,0,0
0,0.011907469677282229,0,0
0,0.30946433053932826,0,1
1,0.8570912251195881,1,0
0,6.075747997209051e-05,0,1
0,0.46191994624066574,1,1
1,0.5126318712964012,1,0
0,0.17670515042842236,0,1
0,0.0672574251927383,0,0
0,0.35351596898520876,0,1
1,0.8904390240597656,1,1
0,0.01908665547327869,0,0
0,0.02046062855677803,0,1
0,0.05262090084703411,0,0
0,0.17985179827847392,0,0
