y_test_pred,y_test_proba,y_test,A_test
1.0,0.46555018,0,1
0.0,0.0083010495,0,1
0.0,0.010373471,0,1
1.0,0.46424583,1,1
1.0,0.43593046,1,1
0.0,0.065599665,0,1
1.0,0.45217678,1,0
1.0,0.5740136,1,1
0.0,0.014873783,0,1
0.0,0.007108376,0,0
0.0,0.06850032,0,1
0.0,0.000507348,0,0
1.0,0.8135191,1,1
0.0,0.2358987,0,1
1.0,0.6783733,1,1
0.0,0.0033378585,0,0
0.0,0.005533031,0,1
1.0,0.28695938,1,0
0.0,0.0018476178,0,1
1.0,0.8848799,1,1
0.0,0.029593455,0,1
0.0,0.014336383,0,1
0.0,0.009553063,0,0
0.0,0.052837633,0,1
0.0,0.08621851,0,1
0.0,0.00068419025,0,0
0.0,0.0009361785,0,0
0.0,0.05713403,0,1
0.0,0.21302935,1,1
1.0,0.95095026,1,1
0.0,0.3201583,0,1
0.0,0.020031316,0,0
1.0,0.105504796,0,0
0.0,0.0009075346,0,0
0.0,0.21854116,0,1
1.0,0.76118505,0,1
0.0,0.24122903,0,1
0.0,0.31041315,1,1
0.0,0.18444328,0,1
0.0,0.025613273,0,0
1.0,0.9993019,1,1
0.0,0.016831944,0,1
1.0,0.47053164,0,1
1.0,0.5666631,1,0
1.0,0.35713038,0,1
1.0,0.3733799,0,0
0.0,0.0086662425,0,0
0.0,0.0012941092,0,1
1.0,0.9384932,1,1
1.0,0.5316925,1,0
0.0,0.27693692,0,1
0.0,0.25599837,0,1
0.0,0.00058302336,0,0
1.0,0.5839024,0,1
0.0,0.0008377981,0,1
0.0,0.0075446954,0,0
0.0,0.0022746853,0,1
0.0,0.019897617,0,0
0.0,0.22932506,1,1
1.0,0.412185,1,0
0.0,0.0020755236,0,0
0.0,0.0021727278,0,0
0.0,0.005113664,0,0
1.0,0.6937253,1,1
0.0,0.00029984897,0,1
1.0,0.58620954,0,1
1.0,0.38974062,0,1
0.0,0.003972089,0,0
1.0,0.05773163,0,0
1.0,0.9715054,1,1
0.0,0.034741517,0,0
0.0,0.007808981,0,1
0.0,0.019411273,0,0
1.0,0.8078311,1,1
1.0,0.6934908,0,1
0.0,0.044542976,0,0
1.0,0.566725,0,1
1.0,0.59881204,1,1
1.0,0.9974197,1,1
0.0,0.018004062,0,1
0.0,0.02275302,0,0
0.0,0.009025814,0,1
0.0,0.09270955,0,1
0.0,0.07373276,0,1
0.0,0.18125056,0,1
1.0,0.37137866,0,1
1.0,0.2528697,1,0
0.0,0.001986438,0,1
0.0,0.01970253,0,1
0.0,0.021987097,0,1
0.0,0.036954977,1,1
0.0,0.26185268,0,1
1.0,0.6292617,1,1
0.0,0.022412298,0,1
0.0,0.27271712,0,1
0.0,0.011409611,0,1
0.0,0.023021575,0,1
0.0,0.008127745,0,0
0.0,0.11991353,0,1
0.0,0.012549422,0,1
0.0,0.055373784,0,1
1.0,0.46555018,0,1
1.0,0.9957086,1,1
0.0,0.02820794,0,0
0.0,0.07371471,0,1
0.0,0.00090171734,0,1
0.0,0.16480844,1,1
0.0,0.025753153,0,1
0.0,0.0052617104,0,0
0.0,0.0012312592,0,1
0.0,0.008398856,0,1
0.0,0.10263787,0,1
1.0,0.21388745,0,0
1.0,0.7824099,1,0
1.0,0.4883684,1,1
0.0,0.25661027,1,1
1.0,0.35546598,0,0
0.0,0.0039341087,0,1
0.0,0.039155595,0,1
1.0,0.9967249,1,1
1.0,0.52544975,0,0
0.0,0.12467988,0,1
0.0,0.02110012,0,1
0.0,0.015449229,0,1
0.0,0.026800849,0,1
0.0,0.07910154,0,1
0.0,0.029710678,0,1
0.0,0.003300914,0,0
1.0,0.9849855,1,1
1.0,0.37912378,0,1
1.0,0.3415914,1,1
1.0,0.30078503,0,0
0.0,0.002098723,0,0
0.0,0.0006738799,0,0
1.0,0.6720701,0,1
0.0,0.036833957,0,1
1.0,0.9238936,1,0
0.0,0.008523262,0,0
1.0,0.34967932,1,1
1.0,0.32925326,0,0
1.0,0.99981207,1,1
1.0,0.06447304,0,0
0.0,0.0031075354,0,0
0.0,0.0029520346,0,0
1.0,0.670298,1,1
0.0,0.023777379,0,0
0.0,0.013675855,0,1
0.0,0.191054,0,1
0.0,0.008105648,0,1
1.0,0.6543057,0,1
0.0,0.18069276,0,1
0.0,0.05953613,0,1
1.0,0.67163455,1,1
0.0,0.0013036634,0,1
1.0,0.40735027,0,1
1.0,0.9987791,1,1
0.0,0.000623714,0,0
0.0,0.00084886333,0,0
1.0,0.994753,1,1
1.0,0.99835014,1,1
0.0,0.00026001086,0,0
0.0,0.01139221,0,1
0.0,0.001803957,0,1
0.0,0.03196075,0,1
1.0,0.9936087,1,1
0.0,0.23004164,0,1
1.0,0.7506683,0,1
0.0,0.1633506,0,1
1.0,0.51650494,0,1
0.0,0.12944032,0,1
1.0,0.64854634,0,1
1.0,0.7455296,1,1
1.0,0.48243573,1,1
1.0,0.56715107,0,1
0.0,0.26937503,0,1
0.0,0.061929733,0,1
0.0,0.17657247,0,1
0.0,0.00023797809,0,1
0.0,0.010085392,0,1
0.0,0.008154728,0,0
0.0,0.07926632,0,1
1.0,0.8551359,1,1
1.0,0.97179216,1,1
0.0,0.0013058137,0,1
1.0,0.9905177,1,1
0.0,0.13399294,0,1
1.0,0.65199953,1,1
1.0,0.66897786,0,1
0.0,0.042269133,0,0
0.0,0.0049697096,0,0
1.0,0.070190206,0,0
